,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
10,600.53,587.47,547.43,479.27,676.48,589.03,580.7,429.85,671.25,598.63,553.54,551.89,576.2,523.83,539.09,667.01,613.19,451.02,621.66,602.76,515.86,589.33,605.89,542.97,615.41,637.21,597.45,650.0,677.19,434.17,427.97,411.62,595.48,672.67,520.71,736.82,652.83,390.0,664.26,591.87,557.7,529.87,631.27,565.18,587.13,656.52,472.49,566.12,555.58,607.1,626.25,586.49,583.2,555.92,665.55,646.21,549.39,498.97,663.37,561.21,552.23,615.74,533.01,591.6,594.81,589.52,523.89,571.55,606.06,540.4,568.67,528.63,599.22,517.48,474.24,607.39,562.99,531.14,556.5,572.93,667.15,534.41,669.1,589.2,583.5,608.62,592.08,471.26,577.98,606.63,521.58,583.92,573.44,575.62,556.34,638.17,625.88,619.27,600.53,593.23
11,691.92,629.15,585.48,555.94,735.73,656.56,626.89,506.94,740.12,658.43,589.01,606.93,606.05,575.72,566.3,721.05,639.31,487.57,662.05,636.48,518.11,665.17,657.33,615.95,704.23,701.02,664.75,718.83,732.08,505.15,448.15,377.72,628.15,739.29,576.56,788.98,692.82,435.22,695.86,629.0,585.63,545.47,688.2,625.86,653.49,720.66,540.02,608.97,604.37,678.12,677.26,659.23,661.5,616.81,750.81,704.67,610.07,550.53,728.65,632.24,618.29,673.36,609.82,656.83,635.08,638.04,577.85,640.76,664.38,560.58,662.8,619.94,664.11,528.73,492.1,649.46,636.03,580.46,617.94,650.14,708.04,591.07,728.64,638.2,628.83,693.32,652.91,514.16,642.44,674.47,597.64,639.72,643.72,631.06,600.0,711.4,683.89,686.84,677.17,661.25
12,772.21,701.92,676.15,624.65,811.31,739.1,665.58,589.76,801.5,701.51,663.24,666.27,658.99,660.51,636.0,767.48,682.04,580.47,717.49,688.64,602.63,723.67,726.26,697.13,794.84,771.37,718.77,780.58,848.53,571.19,521.79,429.59,715.08,843.48,634.89,894.01,774.52,506.78,742.93,683.75,645.96,616.82,792.32,706.61,733.27,809.87,601.28,658.95,670.85,753.11,791.66,742.37,724.35,692.88,824.1,742.34,653.48,620.45,817.88,677.87,710.72,703.8,693.27,736.43,710.44,707.65,659.87,696.49,691.54,612.79,748.19,705.69,727.11,594.5,595.16,772.61,688.13,614.65,701.9,729.28,763.9,615.74,815.21,704.94,716.79,754.78,756.07,594.2,722.81,714.17,648.99,746.76,700.58,698.86,671.95,768.54,763.9,744.52,770.12,716.34
13,852.03,766.76,730.03,665.04,907.86,791.58,701.26,625.35,835.84,733.01,734.46,718.79,692.45,729.08,685.73,815.02,699.78,660.45,780.78,686.52,657.6,800.56,819.13,760.03,861.52,831.78,792.93,829.45,911.71,668.6,624.54,484.9,683.92,968.97,672.57,1007.15,857.75,552.3,795.07,737.82,661.46,655.75,902.62,760.5,818.5,870.78,685.11,682.87,702.39,829.2,883.87,787.45,774.06,768.66,912.51,805.74,680.96,680.99,862.69,707.24,800.11,774.17,761.07,804.02,773.78,760.22,742.41,720.32,745.61,647.25,837.41,777.45,756.95,634.25,721.3,863.05,726.33,663.89,749.65,819.57,794.51,658.62,889.54,721.84,817.31,856.79,864.39,671.68,804.35,750.55,786.64,797.8,769.49,754.17,755.61,873.12,855.57,851.7,825.5,753.15
14,943.53,826.26,757.57,721.72,993.91,829.11,685.43,712.62,907.25,811.32,784.29,800.19,737.35,773.64,764.07,871.5,782.96,706.95,866.89,798.52,699.29,892.91,893.02,804.18,897.21,830.91,865.37,936.11,987.39,754.27,696.47,546.65,742.02,975.6,685.13,1088.63,915.66,571.37,853.16,792.44,725.6,677.5,996.85,842.73,877.05,901.78,713.7,752.78,769.38,897.06,929.08,849.5,837.75,845.69,964.08,923.66,748.71,754.62,944.31,754.84,885.05,832.87,816.03,877.68,832.42,784.56,819.28,764.06,786.13,717.23,918.56,855.15,801.88,721.66,815.75,926.25,781.71,721.55,824.27,798.48,885.52,694.73,981.87,781.07,868.93,969.06,960.54,751.03,858.8,828.23,868.14,845.02,843.11,798.51,832.25,927.16,905.79,955.85,907.21,840.98
15,1086.63,915.07,783.0,800.08,1040.08,875.6,747.78,813.74,1009.92,849.48,839.98,886.26,795.8,813.33,885.36,921.03,830.48,760.96,958.56,851.69,762.82,1011.05,919.92,844.56,947.15,865.77,947.65,1058.0,1040.09,864.27,683.9,462.27,887.43,1052.22,799.71,1149.22,916.81,605.41,797.67,860.24,761.39,707.78,1092.47,886.73,959.91,1022.43,744.09,874.72,828.49,985.02,1003.73,907.06,853.52,941.56,1058.72,994.02,825.81,817.69,1019.54,823.53,968.37,862.55,915.29,949.35,902.12,868.33,892.57,882.74,861.13,751.82,1010.22,922.48,843.74,740.04,884.51,992.84,827.51,814.86,901.42,844.29,953.48,791.51,1081.23,841.1,934.21,1053.0,1007.7,799.73,947.25,885.81,944.87,903.26,886.92,825.78,916.69,984.99,928.95,1046.24,1004.09,909.7
16,1088.52,971.66,825.62,841.44,1045.23,909.61,779.05,920.61,1105.07,893.85,918.83,944.89,832.17,878.53,923.19,1002.55,861.04,848.73,1090.03,854.98,848.21,1113.56,934.18,901.85,1039.73,932.15,1042.26,1152.09,1115.61,868.07,671.86,459.08,1219.7,999.1,926.23,1144.58,932.85,671.36,888.4,793.78,804.05,777.66,1198.34,963.23,1057.97,1083.85,788.94,980.08,882.54,1081.46,1066.05,967.21,918.36,1041.42,1113.64,1020.04,918.31,904.59,1094.38,873.87,1037.18,852.42,993.19,1017.49,974.59,877.9,967.94,962.6,949.21,717.18,1054.27,970.76,876.49,774.32,1003.44,1044.65,883.89,918.55,939.06,945.37,992.94,852.06,1187.33,894.62,1017.1,1114.3,1065.4,836.84,1044.38,977.92,998.93,978.96,949.62,890.98,1005.13,1065.4,1075.65,1099.73,1058.98,938.23
17,1262.17,1024.65,835.98,902.38,1117.47,981.21,811.61,982.12,1185.58,907.65,998.16,1004.76,847.39,934.07,994.34,1073.16,940.61,912.03,1182.27,899.76,836.69,1163.82,957.16,980.74,1120.0,1039.46,1116.71,1152.73,1197.25,833.59,708.05,450.69,1499.81,1072.82,1022.99,1255.29,955.61,748.33,964.71,780.69,895.06,881.19,1281.45,1071.42,1138.13,1135.82,877.84,1083.36,892.13,1161.78,1108.89,1056.13,943.83,1110.62,1241.33,1073.05,993.18,986.67,1143.26,966.79,1081.23,804.59,1051.31,1069.59,984.0,928.52,1013.64,1048.41,955.1,770.9,1092.41,1031.93,913.79,833.94,1089.91,1110.39,948.14,980.88,1018.87,1069.83,1057.71,859.93,1264.94,932.83,1099.85,1206.8,1171.71,946.23,1137.56,1066.54,1058.44,1021.06,1014.19,957.34,1094.74,1135.64,1191.96,1157.01,1108.11,1025.63
18,1233.61,1108.41,854.28,1001.94,1213.78,1013.7,904.43,1080.66,1263.56,918.76,1053.85,1066.06,919.8,939.58,1050.85,1118.25,974.51,982.26,1284.48,959.47,895.18,1234.1,984.12,1089.91,1213.68,1146.25,1203.26,1221.72,1368.39,873.74,793.22,537.39,1687.24,1079.49,1139.2,1392.87,1076.04,968.77,1049.44,868.75,1005.05,977.88,1370.29,1161.23,1173.68,1161.29,996.11,1116.82,1007.18,1135.61,1192.12,1149.3,1018.68,1218.38,1396.32,1193.77,1073.37,1074.51,1249.81,1000.17,1136.78,883.8,1093.64,1170.03,1040.93,984.55,1090.8,1104.81,968.44,831.02,1142.95,1082.31,981.38,788.78,1150.68,1197.31,1016.81,1036.0,1089.9,1181.53,1091.03,917.87,1330.1,979.63,1181.64,1239.87,1265.91,998.99,1226.83,1124.29,1122.99,1097.52,1070.71,1007.95,1191.44,1150.11,1319.46,1267.14,1216.69,1090.78
19,1311.52,1199.1,884.58,1097.89,1320.66,1152.25,892.35,1190.23,1355.87,1002.53,1061.12,1152.25,1006.36,1000.17,1158.54,1188.31,1005.94,1054.69,1256.46,980.93,945.01,1344.54,1050.57,1190.68,1292.12,1254.8,1331.15,1323.42,1509.09,921.21,827.84,897.49,1662.2,1095.4,1279.93,1481.99,1148.09,1035.31,1093.43,948.98,1061.51,1034.03,1361.3,1204.13,1238.14,1197.33,1035.48,1143.41,1107.21,1270.35,1309.78,1215.64,1084.07,1304.68,1447.81,1246.03,1070.42,1176.16,1301.52,1071.75,1238.43,968.04,1184.33,1210.87,1120.02,980.36,1167.89,1138.22,1021.38,915.7,1180.62,1181.25,1020.28,812.76,1122.07,1246.11,1050.31,1171.79,1203.11,1280.67,1156.0,981.31,1352.54,1130.74,1214.61,1325.27,1407.1,1036.7,1342.86,1087.36,1210.42,1164.24,1146.44,1096.61,1253.73,1243.11,1380.17,1230.84,1224.6,1157.5
