,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
10,2793.3,2793.62,2795.05,2796.58,2797.82,2797.92,2799.48,2802.54,2802.95,2803.41,2804.89,2805.57,2809.19,2809.68,2808.5,2807.5,2807.71,2811.52,2813.08,2816.33,2820.23,2814.8,2810.3,2808.35,2804.89,2802.26,2798.47,2796.27,2798.32,2797.58,2796.05,2799.0,2798.22,2794.45,2790.72,2787.57,2786.91,2786.2,2783.9,2781.51,2778.57,2780.9,2784.14,2784.28,2783.49,2781.42,2780.73,2782.61,2782.77,2782.06,2784.04,2786.42,2788.3,2789.48,2783.09,2789.65,2795.01,2802.61,2797.47,2811.46,2805.68,2804.27,2804.82,2806.08,2808.23,2809.62,2819.92,2822.75,2828.21,2844.98,2853.62,2836.52,2837.69,2847.07,2858.66,2864.05,2857.06,2854.21,2869.46,2884.74,2911.32,2953.82,2929.97,2910.17,2928.73,2897.87,2855.12,2872.78,2875.77,2866.81,2871.55,2860.15,2846.58,2829.92,2852.98,2839.11,2841.97,2837.87,2821.91,2831.06
11,3051.16,3051.66,3053.39,3055.19,3056.64,3056.64,3058.76,3062.34,3062.54,3063.33,3065.0,3065.78,3070.44,3070.34,3069.28,3067.87,3068.47,3073.1,3074.6,3078.93,3083.23,3075.96,3071.42,3068.77,3064.77,3061.64,3057.03,3054.73,3057.41,3056.01,3054.52,3058.28,3056.71,3052.41,3047.86,3044.3,3043.7,3042.7,3039.92,3037.11,3033.54,3037.01,3040.38,3040.55,3039.5,3036.98,3036.39,3038.73,3038.63,3037.92,3040.49,3043.18,3045.44,3046.04,3039.44,3047.14,3054.12,3060.78,3057.27,3073.43,3065.46,3064.6,3064.65,3066.6,3068.88,3071.4,3082.3,3087.35,3093.68,3114.71,3120.14,3101.77,3104.05,3114.47,3127.91,3134.81,3124.84,3124.1,3142.88,3161.88,3195.14,3240.45,3207.91,3191.33,3209.19,3172.17,3123.52,3146.17,3149.5,3137.17,3142.54,3128.53,3114.05,3094.73,3123.17,3103.81,3108.2,3102.82,3083.79,3097.19
12,3322.22,3322.94,3325.01,3327.09,3328.76,3328.62,3331.41,3335.56,3335.46,3336.67,3338.54,3339.4,3345.3,3344.39,3343.55,3341.61,3342.71,3348.31,3349.61,3355.26,3359.92,3350.43,3346.03,3342.54,3337.97,3334.34,3328.77,3326.43,3329.87,3327.61,3326.26,3330.96,3328.36,3323.53,3318.06,3314.1,3313.58,3312.25,3308.91,3305.69,3301.4,3306.28,3309.68,3309.87,3308.53,3305.5,3305.07,3307.94,3307.49,3306.8,3310.06,3313.06,3315.74,3315.38,3309.12,3317.64,3326.18,3331.84,3330.89,3349.05,3338.61,3338.41,3337.77,3340.67,3343.02,3346.71,3357.57,3365.28,3373.07,3399.14,3400.23,3380.95,3384.68,3396.64,3411.6,3419.23,3407.7,3409.06,3431.2,3455.2,3493.86,3545.54,3500.66,3487.41,3504.62,3460.97,3406.0,3433.3,3437.85,3422.93,3427.99,3410.9,3395.12,3373.32,3407.62,3382.16,3389.19,3380.86,3359.45,3378.33
13,3594.01,3594.97,3597.41,3599.79,3601.68,3601.45,3604.97,3609.63,3609.26,3610.93,3612.98,3614.06,3621.12,3619.43,3618.73,3616.33,3618.01,3624.53,3625.78,3632.78,3637.57,3625.87,3621.58,3617.18,3612.03,3607.78,3601.27,3598.95,3603.06,3599.95,3598.83,3604.39,3600.71,3595.27,3588.86,3584.5,3584.04,3582.32,3578.4,3574.7,3569.81,3576.09,3579.53,3579.73,3578.05,3574.51,3574.32,3577.67,3576.86,3576.26,3580.24,3583.58,3586.59,3585.24,3579.51,3588.62,3598.67,3603.47,3605.25,3625.06,3612.45,3613.04,3612.03,3615.63,3618.17,3623.73,3634.04,3644.59,3654.33,3683.73,3681.38,3661.92,3667.36,3680.36,3696.72,3705.63,3692.8,3696.13,3721.71,3756.15,3797.65,3853.83,3796.77,3786.91,3803.25,3750.46,3690.66,3721.09,3728.62,3711.45,3714.64,3695.86,3676.7,3653.91,3692.97,3662.31,3671.22,3660.27,3637.04,3660.61
14,3866.51,3867.76,3870.59,3873.27,3875.35,3875.12,3879.39,3884.56,3883.99,3886.08,3888.33,3889.74,3897.86,3895.42,3894.85,3892.02,3894.38,3901.8,3903.12,3911.48,3916.19,3902.34,3898.03,3892.71,3886.89,3881.95,3874.52,3872.33,3876.99,3873.07,3872.27,3878.55,3873.77,3867.64,3860.25,3855.5,3855.06,3852.92,3848.39,3844.14,3838.82,3846.46,3849.94,3850.1,3848.04,3844.05,3844.11,3847.91,3846.75,3846.31,3851.04,3854.73,3857.98,3855.34,3850.59,3860.61,3872.14,3875.57,3880.61,3901.33,3887.03,3888.23,3887.22,3891.77,3894.28,3902.01,3911.28,3925.78,3937.39,3969.48,3962.62,3944.27,3951.83,3966.55,3984.73,3993.69,3979.89,3985.16,4014.49,4061.35,4104.54,4163.88,4094.83,4090.99,4105.93,4038.98,3977.05,4011.37,4022.26,4002.39,4004.02,3983.24,3958.83,3937.56,3979.2,3945.32,3955.65,3941.24,3916.53,3943.58
15,4139.74,4141.31,4144.56,4147.55,4149.81,4149.65,4154.73,4160.33,4159.62,4162.17,4164.63,4166.49,4175.54,4172.4,4171.86,4168.68,4171.84,4180.09,4181.65,4191.37,4195.72,4179.83,4175.37,4169.09,4162.6,4156.89,4148.54,4146.54,4151.64,4146.94,4146.56,4153.44,4147.51,4140.6,4132.23,4127.13,4126.66,4124.03,4118.84,4113.97,4108.43,4117.38,4120.91,4121.0,4118.52,4114.08,4114.48,4118.67,4117.16,4116.96,4122.45,4126.56,4130.19,4125.7,4122.51,4134.04,4146.63,4148.01,4157.34,4178.68,4162.6,4164.01,4163.45,4168.91,4171.33,4180.99,4189.74,4207.96,4221.48,4258.04,4245.64,4228.47,4237.76,4255.52,4276.36,4283.0,4268.44,4276.5,4309.71,4365.17,4416.83,4477.54,4395.09,4399.31,4410.04,4327.65,4267.88,4304.93,4317.53,4296.13,4295.1,4272.2,4242.33,4224.45,4266.66,4230.64,4242.37,4223.5,4197.07,4227.08
16,4413.73,4415.63,4419.29,4422.66,4425.04,4425.06,4431.0,4436.94,4436.16,4439.16,4441.85,4444.35,4454.13,4450.39,4449.81,4446.36,4450.38,4459.43,4461.41,4472.46,4476.17,4458.32,4453.63,4446.33,4439.11,4432.53,4423.31,4421.61,4427.01,4421.61,4421.74,4429.04,4421.95,4414.14,4404.76,4399.36,4398.81,4395.63,4389.78,4384.2,4378.66,4388.86,4392.43,4392.41,4389.45,4384.64,4385.41,4389.93,4388.09,4388.22,4394.49,4399.05,4403.86,4396.87,4395.1,4407.79,4422.36,4421.24,4435.71,4457.28,4438.78,4440.79,4440.44,4446.92,4449.38,4461.19,4470.24,4492.33,4507.6,4550.34,4532.15,4513.91,4525.94,4546.55,4569.34,4575.43,4559.11,4570.59,4607.45,4666.93,4734.31,4793.84,4697.88,4713.9,4714.79,4619.64,4562.89,4602.03,4613.85,4591.91,4588.25,4562.63,4527.5,4513.8,4554.18,4518.38,4530.06,4507.12,4480.16,4513.67
17,4688.42,4690.72,4694.82,4698.55,4701.05,4701.35,4708.16,4714.4,4713.62,4717.09,4720.0,4723.28,4733.65,4729.34,4728.65,4725.02,4730.04,4739.8,4742.41,4754.77,4757.46,4737.82,4732.79,4724.44,4716.46,4708.88,4698.86,4697.54,4703.07,4697.03,4697.82,4705.34,4697.06,4688.26,4677.88,4672.19,4671.53,4667.76,4661.19,4654.83,4649.51,4660.9,4664.51,4664.34,4660.87,4655.69,4656.93,4661.7,4659.54,4660.1,4667.16,4672.19,4678.45,4668.61,4668.39,4681.96,4699.7,4695.33,4715.2,4736.1,4716.48,4718.61,4718.58,4725.79,4728.42,4742.63,4752.54,4777.5,4796.22,4844.28,4820.7,4800.73,4815.98,4839.27,4863.49,4869.62,4850.86,4867.16,4906.11,4969.61,5052.9,5116.59,5005.23,5032.64,5019.43,4913.88,4859.17,4900.69,4910.0,4888.72,4884.22,4854.32,4813.79,4804.56,4841.45,4808.41,4818.48,4791.48,4765.98,4800.45
18,4963.88,4966.59,4971.16,4975.27,4977.82,4978.53,4986.28,4992.75,4992.04,4995.94,4999.06,5003.36,5014.05,5009.31,5008.37,5004.73,5010.85,5021.18,5024.68,5038.3,5039.62,5018.36,5012.82,5003.4,4994.61,4985.93,4975.16,4974.34,4979.81,4973.25,4974.83,4982.29,4972.83,4962.93,4951.58,4945.63,4944.8,4940.37,4933.09,4925.85,4921.02,4933.49,4937.15,4936.78,4932.72,4927.29,4929.06,4933.96,4931.56,4932.61,4940.42,4946.04,4953.02,4940.56,4942.8,4957.28,4978.45,4971.05,4995.95,5014.85,4995.25,4997.76,4997.76,5005.7,5008.38,5026.06,5036.6,5063.1,5087.05,5138.53,5111.71,5089.01,5108.65,5134.98,5160.42,5165.6,5144.6,5166.6,5207.16,5276.8,5378.65,5441.62,5317.68,5354.09,5327.31,5207.86,5157.73,5202.17,5207.07,5187.58,5182.19,5145.99,5100.87,5097.88,5130.66,5099.94,5107.32,5076.98,5052.74,5088.47
19,5240.1,5243.25,5248.31,5252.83,5255.39,5256.63,5265.36,5271.93,5271.4,5275.75,5279.1,5284.59,5295.37,5290.31,5289.01,5285.49,5292.82,5303.63,5308.2,5323.06,5322.58,5299.96,5293.69,5283.19,5273.58,5263.65,5252.2,5252.07,5257.25,5250.23,5252.78,5259.92,5249.29,5238.19,5225.85,5219.72,5218.63,5213.45,5205.42,5197.26,5193.23,5206.69,5210.4,5209.76,5205.05,5199.39,5201.78,5206.68,5204.1,5205.8,5214.32,5220.57,5228.34,5213.29,5218.19,5234.26,5258.11,5248.99,5277.87,5294.06,5275.45,5277.7,5277.8,5286.6,5289.55,5311.57,5322.42,5349.65,5379.37,5434.92,5403.68,5379.2,5404.28,5433.64,5460.88,5463.25,5440.44,5467.14,5510.82,5590.54,5711.38,5766.2,5635.29,5676.13,5637.93,5503.05,5459.8,5506.84,5506.53,5489.82,5480.54,5438.19,5388.76,5392.72,5422.32,5392.11,5398.01,5363.24,5341.55,5376.97
20,5517.04,5520.71,5526.29,5531.19,5533.75,5535.64,5545.36,5551.96,5551.7,5556.53,5560.07,5566.97,5577.6,5572.29,5570.52,5567.27,5575.96,5587.09,5593.03,5609.07,5606.3,5582.58,5575.45,5563.85,5553.33,5542.03,5530.0,5530.7,5535.34,5527.99,5531.69,5538.2,5526.39,5513.98,5500.7,5494.42,5493.0,5487.03,5478.22,5469.04,5466.15,5480.44,5484.21,5483.25,5477.8,5472.04,5475.11,5479.89,5477.17,5479.65,5488.87,5495.77,5503.97,5486.65,5494.25,5512.25,5538.65,5528.76,5561.97,5574.16,5556.31,5558.58,5559.14,5568.52,5571.9,5598.13,5609.58,5637.69,5675.53,5732.51,5695.17,5672.5,5700.26,5734.3,5763.59,5761.96,5737.82,5769.85,5818.21,5909.18,6050.15,6090.7,5955.04,6000.59,5951.42,5801.34,5767.22,5812.51,5808.4,5794.93,5779.65,5731.19,5676.5,5690.38,5714.2,5686.8,5689.8,5648.29,5631.7,5666.73
