,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
0,248.75,255.99,254.07,261.42,252.91,254.18,257.35,241.67,259.35,249.58,243.44,254.8,249.02,246.63,258.96,253.15,244.81,242.91,263.75,247.18,246.24,259.71,248.41,252.15,256.9,259.03,252.54,247.09,249.75,267.12,252.35,256.29,244.62,258.6,262.97,248.75,262.48,256.48,255.3,245.03,247.34,249.22,253.58,263.64,256.77,256.16,258.65,250.07,245.44,251.53,253.86,267.14,257.04,250.09,255.06,253.23,242.06,243.34,253.62,258.66,244.41,261.54,239.49,258.36,256.4,255.15,253.06,258.29,248.07,238.24,246.57,258.25,259.11,250.66,252.24,269.11,271.63,246.61,239.28,258.07
1,508.51,519.76,509.24,509.25,490.47,527.05,504.5,477.13,492.17,486.21,476.75,514.57,495.72,480.11,516.84,497.62,488.92,466.4,531.41,500.54,456.56,507.66,510.64,524.74,510.47,514.5,504.37,507.79,494.7,520.6,534.71,546.12,492.36,450.03,551.79,484.71,542.64,522.32,494.76,491.92,495.17,469.42,489.5,545.4,504.47,524.04,510.86,520.41,472.29,483.63,515.14,537.92,499.1,495.11,517.36,520.94,495.95,472.86,506.25,501.57,475.94,533.2,498.22,515.78,513.26,509.46,500.29,526.52,476.26,486.45,479.99,528.62,519.1,483.47,489.11,574.08,542.61,484.06,483.47,501.66
2,766.18,799.15,761.82,731.24,740.33,800.68,737.56,657.63,775.1,748.11,746.49,757.81,769.26,718.45,754.81,769.17,738.55,741.08,769.65,776.28,758.6,741.41,791.77,789.68,748.54,746.75,705.37,771.61,786.47,785.67,816.1,813.84,748.74,700.74,762.59,690.23,811.05,773.28,698.63,743.04,743.04,726.46,702.76,826.1,777.78,775.52,739.78,741.27,734.87,743.23,774.26,777.82,753.47,751.1,785.97,766.72,798.83,733.72,773.6,771.97,717.44,809.11,750.17,764.28,778.43,761.41,720.76,796.25,714.29,721.75,743.9,799.96,788.61,723.05,772.11,864.03,798.2,732.83,734.32,768.14
3,1031.58,1139.7,1048.77,943.84,1017.94,1040.3,976.41,914.66,1084.14,1045.61,975.36,1006.68,1054.19,970.62,984.22,1099.22,980.96,980.21,1015.62,1064.72,1004.28,1000.12,1108.89,1007.06,979.54,989.64,931.9,1049.91,1104.48,1031.87,1136.39,966.47,766.39,1055.53,1032.12,1013.53,1064.84,965.14,914.52,870.98,1006.08,950.31,918.24,1115.61,1013.32,1054.23,1055.83,957.74,1064.01,996.02,1057.45,1046.12,1004.3,955.36,1080.76,1054.46,1063.63,1008.86,1031.87,1041.08,982.01,1089.35,970.18,1064.02,1045.22,1026.54,1002.3,1066.39,1037.35,993.17,965.92,1087.82,1051.08,956.61,972.28,1129.66,1058.91,970.31,1030.63,1041.77
4,1224.49,1323.51,1299.01,1174.25,1245.52,1230.06,1197.09,1128.35,1410.98,1342.51,1209.02,1287.93,1307.14,1191.83,1246.44,1322.57,1262.34,1194.25,1313.28,1411.04,1180.93,1293.85,1417.05,1202.69,1230.41,1283.87,1194.44,1349.02,1400.06,1304.15,1307.45,1104.23,899.76,1685.46,1155.65,1366.58,1248.37,1164.86,1180.84,1165.81,1088.15,1179.95,1188.11,1423.94,1290.03,1357.4,1311.83,1190.4,1382.67,1242.49,1357.11,1302.87,1258.85,1216.26,1388.32,1302.6,1275.74,1310.31,1326.47,1313.19,1223.62,1355.63,1132.08,1343.15,1310.4,1298.04,1189.11,1342.76,1319.59,1286.14,1079.37,1322.4,1290.42,1175.08,1188.54,1471.14,1303.18,1220.26,1349.85,1266.39
5,1435.08,1734.27,1544.11,1350.18,1503.08,1501.28,1469.98,1339.15,1669.62,1625.41,1393.91,1573.97,1562.59,1375.19,1494.86,1596.26,1532.64,1480.53,1574.63,1712.51,1412.53,1428.32,1658.27,1403.65,1514.79,1567.08,1518.5,1625.2,1574.17,1587.61,1404.98,1316.73,1005.72,2273.48,1428.64,1682.88,1566.08,1366.96,1470.95,1445.53,1229.14,1486.94,1518.5,1709.3,1617.92,1641.56,1555.8,1495.71,1706.23,1418.25,1640.5,1533.83,1556.42,1419.73,1657.22,1646.9,1521.02,1589.97,1618.62,1553.11,1531.54,1587.72,1224.09,1595.98,1554.36,1477.84,1430.43,1576.35,1615.04,1459.34,1324.94,1546.73,1547.77,1396.18,1444.32,1770.0,1566.4,1482.61,1609.61,1551.89
6,1690.39,1856.86,1839.58,1532.22,1831.88,1810.78,1680.59,1655.71,1997.36,1907.93,1566.99,1822.82,1821.0,1653.89,1655.58,1846.52,1764.94,1691.65,1850.16,2034.69,1668.17,1681.94,1929.77,1605.67,1854.14,1874.38,1849.5,1923.34,1843.21,2005.62,1625.05,1625.5,1329.44,2735.43,1604.92,2039.9,1928.41,1718.74,2070.23,1742.62,1534.86,1834.26,1843.83,2006.58,1923.11,1858.71,1759.18,1861.19,1917.15,1770.84,1763.06,1824.31,1865.78,1700.35,1990.97,2040.78,1871.8,1881.87,1925.06,1878.56,1741.81,1836.62,1513.3,1822.83,1875.11,1729.01,1680.09,1862.03,1865.35,1636.99,1582.29,1787.79,1788.14,1665.45,1501.92,2027.88,1863.97,1753.93,1857.49,1826.4
7,1973.28,2142.05,2151.19,1731.53,2159.48,2142.7,2078.83,1770.78,2352.1,2216.75,1867.94,1981.6,2125.94,1962.61,1913.48,2193.43,2038.44,1894.96,2132.14,2141.26,1852.51,1918.7,2270.66,1873.47,2185.31,2161.14,2190.43,2296.4,2167.32,2389.09,1857.39,1827.7,2382.87,2846.38,1789.06,2451.29,2227.79,1995.7,2343.17,1970.62,1830.66,2084.58,2092.98,2153.67,2149.36,2122.74,1975.93,2077.52,2112.42,2103.34,2144.96,2175.28,2133.17,1966.63,2293.48,2283.24,2115.07,2020.52,2262.24,2121.19,2020.72,2165.95,1815.74,2134.88,2098.57,2020.23,1818.38,2150.41,2073.95,1880.98,1890.92,2006.3,2114.53,1883.59,1685.33,2118.21,2101.46,1961.58,2260.41,2179.15
8,2178.82,2387.29,2413.31,1941.51,2523.9,2406.88,2407.2,2007.83,2583.58,2476.97,2140.34,2118.87,2396.67,2242.77,2172.62,2543.22,2391.25,2054.7,2383.71,2439.69,2187.4,2233.87,2596.76,2146.73,2422.67,2476.1,2486.82,2699.43,2594.27,2750.28,2113.68,1779.36,2902.06,3080.58,1997.32,2766.05,2512.95,1936.67,2486.17,2464.5,2177.98,2353.32,2379.99,2463.84,2369.12,2541.71,1905.23,2276.38,2345.46,2395.9,2491.88,2499.53,2355.72,2124.84,2612.0,2654.22,2291.51,2185.13,2585.26,2282.99,2208.4,2402.33,2052.81,2453.11,2394.07,2351.1,2001.17,2439.41,2404.68,2143.67,2275.04,2311.62,2335.4,2175.45,1741.39,2347.21,2407.93,2184.84,2519.51,2465.51
9,2525.52,2615.67,2586.79,2129.43,2945.53,2701.38,2585.76,2023.18,2878.94,2746.35,2509.32,2392.05,2651.05,2424.72,2432.76,2958.01,2733.89,2194.75,2760.4,2838.61,2452.3,2530.75,2921.29,2373.25,2650.16,2826.34,2686.0,2914.41,2910.45,2690.78,2047.99,1770.62,2735.71,3018.43,2273.41,3105.28,2915.61,1878.89,3050.9,2751.37,2462.16,2513.05,2836.89,2699.31,2693.35,2916.5,2114.21,2601.75,2677.02,2727.67,2869.83,2748.67,2562.69,2456.84,2938.51,2766.72,2516.43,2291.23,2957.86,2536.84,2416.64,2687.34,2236.55,2716.03,2695.5,2665.34,2237.72,2691.4,2726.06,2425.14,2586.9,2513.34,2595.63,2527.38,2037.48,2725.01,2574.95,2380.69,2692.07,2623.92
10,3001.99,2935.89,2736.19,2396.92,3378.02,2943.59,2902.51,2151.54,3351.68,2991.59,2766.92,2758.42,2879.51,2618.77,2694.11,3331.53,3064.93,2258.69,3103.55,3010.93,2579.06,2943.9,3027.86,2714.33,3074.76,3183.59,2985.87,3247.32,3382.91,2172.7,2141.35,2060.01,2973.5,3358.72,2603.16,3679.67,3263.21,1952.7,3314.32,2958.72,2787.87,2649.62,3151.55,2824.88,2934.03,3279.54,2362.98,2830.17,2777.58,3034.55,3130.68,2929.86,2914.08,2778.73,3324.49,3228.54,2745.83,2494.81,3313.62,2804.81,2760.08,3076.68,2664.41,2956.42,2972.5,2946.09,2618.85,2856.22,3028.53,2701.1,2841.96,2642.19,2994.32,2586.98,2371.76,3034.7,2813.98,2655.55,2781.77,2863.73
11,3458.64,3144.48,2926.68,2779.79,3674.12,3280.97,3133.77,2536.5,3695.63,3290.45,2944.64,3033.55,3029.22,2878.23,2830.43,3601.7,3196.41,2442.26,3305.64,3180.03,2591.75,3322.44,3285.07,3078.72,3517.97,3502.38,3322.2,3591.26,3657.44,2527.44,2242.91,1893.14,3136.5,3691.18,2882.31,3940.73,3463.98,2179.12,3471.79,3145.1,2928.15,2728.75,3435.78,3128.09,3265.52,3600.02,2700.49,3044.94,3021.95,3389.65,3386.46,3292.58,3304.9,3083.05,3750.24,3520.77,3048.92,2752.68,3639.85,3159.73,3090.14,3364.79,3048.17,3282.43,3174.05,3188.81,2888.6,3202.02,3320.02,2802.47,3311.9,3098.2,3318.66,2643.85,2461.7,3245.23,3179.02,2902.39,3088.82,3249.34
12,3822.49,3472.71,3344.32,3089.84,4013.6,3657.09,3294.01,2917.21,3964.95,3471.59,3281.06,3296.13,3260.29,3266.98,3145.08,3798.12,3376.63,2872.6,3547.73,3406.59,2980.5,3579.49,3593.68,3448.71,3932.23,3817.18,3557.37,3863.11,4198.93,2825.57,2579.72,2124.23,3534.24,4171.6,3140.7,4424.53,3834.96,2505.96,3671.73,3384.52,3196.14,3051.78,3916.77,3495.72,3627.73,4007.33,2974.22,3261.41,3320.1,3727.74,3918.84,3671.08,3583.41,3427.94,4078.14,3674.17,3232.89,3068.75,4047.01,3354.18,3515.74,3483.03,3429.69,3643.82,3515.04,3501.34,3263.79,3445.97,3422.31,3031.0,3701.58,3490.79,3597.89,2940.16,2942.64,3821.5,3405.29,3041.79,3472.59,3608.61
13,4202.17,3778.72,3596.44,3275.47,4475.57,3902.36,3457.05,3079.5,4121.53,3614.12,3618.35,3541.7,3412.33,3590.96,3376.94,4019.53,3451.86,3252.35,3845.8,3384.33,3237.79,3945.0,4037.29,3745.19,4247.61,4101.7,3909.18,4090.69,4496.94,3291.42,3071.08,2383.16,3370.0,4775.75,3313.41,4968.54,4231.65,2717.31,3915.59,3637.84,3260.59,3230.95,4445.81,3748.2,4034.1,4294.06,3373.56,3366.83,3462.97,4089.19,4359.34,3880.32,3815.18,3787.64,4500.05,3973.35,3355.31,3353.62,4254.49,3485.97,3942.38,3816.28,3750.28,3963.42,3813.72,3747.12,3656.8,3550.38,3675.43,3187.81,4127.49,3830.82,3731.74,3122.98,3549.37,4253.37,3580.48,3271.36,3694.85,4039.7
14,4639.24,4058.44,3720.13,3541.41,4885.86,4074.77,3368.17,3494.78,4459.6,3985.95,3850.78,3928.53,3620.69,3797.66,3748.75,4284.87,3847.76,3468.46,4255.53,3920.7,3430.65,4385.38,4387.84,3950.25,4410.84,4085.92,4252.49,4601.69,4856.21,3699.05,3411.26,2673.09,3642.96,4796.41,3363.71,5356.42,4503.8,2799.91,4188.41,3893.72,3563.03,3326.34,4895.42,4139.15,4309.2,4434.27,3502.13,3697.49,3779.75,4410.07,4569.64,4172.57,4115.43,4153.21,4741.04,4539.64,3675.4,3702.37,4642.8,3707.64,4346.71,4092.08,4007.79,4312.68,4089.31,3854.57,4021.6,3752.93,3862.13,3518.79,4513.29,4199.69,3940.06,3539.22,3999.96,4551.26,3840.19,3542.24,4048.68,3925.33
15,5327.66,4481.24,3833.57,3912.95,5100.36,4290.89,3661.78,3976.93,4950.2,4161.45,4111.88,4337.76,3895.26,3980.48,4329.4,4516.28,4069.43,3721.15,4691.93,4169.18,3729.53,4951.48,4508.5,4136.82,4644.24,4245.6,4643.62,5186.51,5102.76,4224.83,3340.45,2257.09,4340.36,5159.8,3911.8,5642.08,4498.96,2955.82,3907.27,4214.19,3727.29,3463.71,5351.36,4343.25,4702.92,5012.99,3640.16,4281.61,4057.77,4828.84,4923.51,4442.98,4181.89,4610.16,5192.59,4872.55,4040.88,3999.35,4999.46,4032.13,4742.81,4226.08,4481.76,4651.93,4418.9,4252.88,4368.56,4321.68,4217.59,3676.94,4950.17,4517.64,4133.54,3618.46,4324.76,4865.65,4053.21,3986.78,4414.67,4138.41
16,5326.4,4746.68,4031.09,4103.96,5114.91,4446.7,3804.46,4486.04,5404.07,4367.46,4485.65,4613.2,4062.46,4287.79,4503.78,4903.64,4208.83,4137.4,5320.91,4175.82,4134.74,5440.43,4568.09,4405.77,5085.05,4559.1,5094.25,5634.83,5460.83,4233.69,3273.05,2234.21,5945.16,4890.42,4516.86,5608.79,4567.41,3266.12,4339.14,3881.34,3925.6,3793.38,5856.81,4705.94,5170.37,5301.99,3849.03,4784.19,4311.47,5288.54,5217.37,4725.96,4487.69,5086.18,5450.04,4989.21,4481.1,4412.01,5354.01,4267.19,5067.78,4166.28,4851.09,4973.72,4761.8,4289.26,4725.45,4700.56,4636.52,3498.95,5154.41,4742.55,4282.77,3775.55,4893.37,5107.91,4317.78,4481.31,4588.11,4620.59
17,6161.81,4995.1,4072.22,4390.52,5456.54,4785.5,3953.4,4775.32,5785.91,4425.57,4861.48,4894.96,4127.46,4547.79,4840.31,5238.13,4586.62,4434.97,5759.27,4384.08,4070.99,5675.73,4670.46,4779.43,5466.07,5071.39,5446.8,5628.35,5848.45,4057.75,3439.76,2187.16,7293.85,5239.66,4977.1,6138.81,4669.04,3629.67,4700.36,3809.16,4357.79,4285.51,6251.19,5221.99,5550.41,5544.96,4271.31,5276.21,4349.53,5669.57,5416.39,5148.53,4602.17,5412.72,6061.67,5237.41,4835.26,4801.04,5581.96,4709.14,5272.23,3924.16,5124.09,5217.37,4797.87,4525.75,4937.95,5108.09,4655.49,3750.48,5330.03,5030.22,4454.47,4055.72,5303.85,5417.97,4620.66,4774.76,4966.5,5215.89
18,6013.57,5392.35,4152.33,4863.81,5914.99,4934.02,4394.22,5243.55,6155.19,4470.73,5122.56,5183.26,4469.49,4566.24,5105.42,5448.35,4742.84,4765.81,6245.68,4664.73,4345.19,6007.63,4792.46,5299.44,5911.49,5580.29,5857.9,5954.29,6671.19,4243.64,3842.85,2595.84,8192.69,5262.74,5531.14,6799.16,5244.04,4683.57,5102.5,4227.37,4881.41,4744.13,6673.15,5648.42,5713.84,5659.2,4835.32,5430.02,4898.13,5535.27,5810.93,5591.19,4956.15,5926.36,6805.61,5814.46,5215.13,5217.77,6090.38,4862.05,5532.64,4299.39,5320.28,5695.93,5065.01,4788.53,5303.2,5372.63,4711.1,4033.0,5566.06,5265.52,4773.35,3829.25,5589.51,5830.82,4944.86,5033.28,5302.18,5748.67
19,6382.45,5822.88,4290.79,5318.71,6424.47,5596.86,4328.66,5764.11,6594.31,4867.64,5149.71,5591.82,4879.64,4850.54,5617.69,5779.55,4887.41,5107.14,6101.88,4760.72,4578.19,6533.69,5105.68,5778.41,6282.82,6097.67,6468.66,6438.53,7345.27,4465.04,4002.2,4313.58,8063.0,5331.05,6203.16,7223.41,5583.66,4996.24,5307.38,4607.05,5146.73,5006.65,6621.5,5848.05,6017.74,5825.26,5017.94,5550.53,5373.43,6180.33,6371.67,5903.86,5264.18,6335.56,7046.45,6059.12,5192.74,5701.05,6332.1,5200.02,6016.51,4698.68,5750.97,5885.08,5439.53,4759.84,5667.87,5525.87,4958.85,4434.07,5739.68,5736.15,4953.11,3937.47,5443.19,6058.66,5098.8,5681.51,5841.77,6220.22
20,6633.17,6117.26,4462.75,5847.4,6727.91,6057.69,4563.21,5985.05,6886.73,5185.86,5140.37,5906.84,5213.7,5136.2,6121.74,6315.3,4935.48,5375.17,6495.31,5227.89,4987.9,7003.26,5428.99,6011.34,6723.43,6482.69,7137.14,7192.97,7929.45,4742.82,3653.85,5044.96,8284.49,5480.84,6621.73,7593.69,5043.41,5042.89,6182.94,5099.03,5454.44,5354.16,7058.21,6035.13,6728.86,5212.27,5165.75,5772.92,5739.72,6705.96,6839.54,6097.2,5299.66,6777.33,7659.42,6126.35,5251.2,6137.86,6350.45,5313.61,6244.53,4931.14,6186.43,6267.64,5906.05,4860.21,6027.61,5990.35,5253.42,4991.72,6150.37,5925.64,5318.83,3780.31,5656.33,6474.2,5297.8,5966.88,6197.17,6665.06
21,6840.45,6197.54,4592.67,6488.94,7108.63,6151.39,4325.66,6348.75,7201.42,5720.86,5457.11,6180.84,5328.11,5422.66,6762.1,6810.13,4952.2,5910.56,7133.69,5525.57,5351.04,7457.66,5637.55,6222.62,7244.37,6621.48,7313.17,7630.21,7348.08,4338.04,3418.53,4607.43,7747.44,5811.58,7088.88,8291.71,4560.9,5916.52,6534.22,5438.5,5520.41,6059.99,7283.25,6477.5,7305.09,5372.03,5591.39,6226.53,6189.42,7295.8,7101.85,6256.4,5755.83,7229.39,7548.21,6326.99,5188.97,6677.97,6624.05,5482.31,6593.77,5045.13,6480.61,6658.02,6321.7,5093.07,6295.6,6421.79,5589.31,5383.74,6292.97,6213.42,5816.68,4137.44,6211.15,6527.58,5437.9,6056.44,6243.27,7156.21
