,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
10,2929.38,2887.05,2757.42,2536.43,3177.79,2893.62,2867.11,2377.91,3162.6,2926.74,2780.71,2775.59,2855.88,2685.82,2735.03,3150.39,2975.57,2449.85,3004.96,2944.68,2663.63,2900.49,2952.75,2747.57,2981.81,3051.71,2921.19,3091.2,3180.27,2390.21,2369.51,2317.41,2914.69,3164.23,2669.06,3370.3,3097.13,2242.67,3133.2,2897.09,2785.04,2695.39,3026.09,2811.35,2882.4,3107.18,2508.84,2813.79,2779.6,2946.8,3009.72,2881.33,2871.29,2783.07,3137.11,3076.57,2763.76,2602.56,3135.06,2807.94,2776.75,2982.64,2713.96,2904.83,2916.02,2899.29,2689.61,2845.49,2959.58,2752.05,2846.95,2710.83,2940.65,2678.29,2541.8,2976.43,2829.68,2725.16,2812.94,2871.69,3187.2,2770.65,3200.06,2933.45,2921.44,2992.27,2923.56,2537.08,2884.96,2974.95
11,3316.66,3112.83,2971.51,2876.11,3460.95,3203.63,3107.95,2719.39,3477.28,3212.07,2987.03,3045.54,3044.31,2945.69,2914.71,3417.16,3151.72,2660.2,3227.77,3146.17,2762.97,3238.38,3211.31,3075.9,3361.43,3349.88,3230.39,3405.34,3449.36,2711.34,2525.57,2297.99,3111.34,3471.03,2940.56,3629.7,3316.95,2479.42,3325.52,3107.25,2965.05,2835.72,3300.8,3098.25,3187.67,3405.09,2817.78,3042.69,3027.74,3267.18,3265.25,3207.6,3215.79,3070.74,3503.92,3356.68,3051.66,2860.49,3438.17,3130.48,3082.36,3261.04,3054.53,3208.01,3138.12,3148.62,2956.82,3163.03,3242.02,2912.05,3246.16,3100.44,3244.79,2808.42,2694.08,3207.94,3160.8,2979.94,3108.31,3219.61,3419.42,3055.14,3490.83,3191.11,3166.93,3363.56,3215.2,2772.17,3190.25,3290.04
12,3660.77,3432.64,3349.3,3183.03,3790.2,3555.31,3318.08,3072.32,3760.87,3436.62,3312.36,3322.77,3301.28,3305.35,3225.67,3652.68,3375.46,3046.37,3492.89,3401.16,3122.64,3513.21,3519.92,3423.83,3739.67,3662.43,3489.78,3689.7,3910.98,3009.48,2848.27,2550.8,3477.1,3892.51,3213.34,4053.46,3665.21,2794.65,3561.45,3367.88,3243.45,3150.27,3721.36,3443.21,3529.41,3777.18,3099.49,3288.15,3326.38,3593.38,3719.21,3560.51,3503.2,3400.58,3824.93,3562.71,3276.86,3171.0,3812.11,3364.07,3466.41,3444.84,3409.52,3550.89,3467.31,3459.63,3307.9,3430.11,3417.17,3169.99,3609.88,3464.99,3536.29,3109.42,3116.03,3695.28,3417.85,3179.85,3470.3,3567.79,3694.19,3231.31,3862.88,3500.13,3544.32,3652.94,3637.21,3120.98,3540.63,3507.99
13,4003.3,3726.97,3608.45,3398.93,4187.09,3810.12,3519.06,3273.32,3957.54,3624.37,3628.05,3578.38,3495.95,3612.74,3472.46,3892.24,3519.31,3390.81,3783.74,3481.85,3387.19,3847.57,3905.77,3712.83,4040.67,3943.0,3814.31,3932.78,4200.38,3408.55,3264.42,2814.99,3462.48,4382.34,3419.85,4503.06,4018.27,3026.21,3813.98,3626.46,3377.78,3360.51,4161.48,3701.5,3888.54,4057.82,3453.89,3449.98,3512.6,3923.11,4101.12,3790.7,3748.42,3729.39,4194.71,3852.06,3451.09,3451.33,4042.69,3545.58,3840.4,3757.9,3714.16,3855.11,3757.89,3716.21,3660.72,3594.91,3680.06,3370.97,3985.97,3784.7,3721.61,3327.13,3611.88,4077.12,3630.96,3429.23,3716.07,3954.2,3889.36,3467.67,4196.28,3649.72,3962.84,4073.17,4076.05,3461.39,3895.3,3716.44
14,4383.34,4004.33,3783.48,3667.48,4550.08,4017.29,3555.47,3640.29,4273.85,3962.9,3875.31,3926.96,3727.91,3843.31,3811.38,4160.94,3873.88,3628.14,4148.11,3929.63,3609.56,4231.68,4230.64,3941.91,4242.31,4027.01,4133.37,4361.81,4530.17,3769.76,3581.71,3099.97,3735.47,4489.6,3546.32,4850.49,4289.93,3173.63,4085.85,3887.01,3668.7,3516.13,4549.58,4050.94,4161.89,4242.48,3631.17,3759.82,3812.98,4226.37,4331.94,4075.71,4038.74,4062.04,4446.0,4316.71,3755.13,3773.7,4392.04,3786.02,4199.98,4033.5,3977.79,4179.11,4033.66,3882.67,3995.32,3824.67,3900.11,3686.42,4335.79,4123.78,3956.31,3698.49,4006.45,4371.73,3900.12,3706.39,4048.93,3984.26,4279.85,3683.14,4588.0,3937.16,4225.41,4525.49,4475.81,3808.42,4163.75,4058.47
15,4928.52,4375.65,3952.35,4005.51,4785.29,4253.61,3842.8,4051.35,4690.45,4173.13,4141.68,4290.58,4003.58,4058.84,4287.47,4407.71,4114.55,3889.86,4530.39,4189.21,3902.09,4698.32,4405.23,4159.39,4490.06,4226.21,4484.01,4839.46,4786.35,4208.5,3629.93,2921.23,4287.67,4821.89,3999.16,5130.95,4380.02,3369.35,3994.37,4189.84,3869.17,3699.55,4941.99,4278.05,4513.15,4714.73,3814.73,4235.91,4088.22,4594.07,4657.33,4346.51,4175.99,4454.82,4835.68,4629.02,4089.23,4062.28,4721.12,4094.27,4554.49,4216.51,4383.42,4496.9,4345.1,4239.75,4318.68,4294.42,4230.96,3889.73,4719.63,4430.15,4181.79,3850.26,4319.9,4677.54,4139.18,4098.11,4390.56,4228.67,4598.1,4093.75,5002.65,4228.62,4532.18,4886.64,4719.95,4058.49,4541.57,4336.97
16,5022.22,4644.18,4176.55,4225.88,4889.75,4450.51,4031.38,4480.62,5082.99,4403.66,4482.18,4566.89,4209.21,4356.08,4497.55,4757.04,4301.63,4259.35,5039.8,4290.29,4264.4,5114.93,4540.09,4431.21,4874.32,4526.48,4874.04,5228.07,5115.8,4309.23,3680.88,3001.28,5434.85,4739.41,4489.66,5202.81,4518.33,3666.61,4370.63,4064.74,4091.99,4009.4,5367.07,4609.09,4912.86,4997.38,4044.75,4658.73,4347.52,4988.8,4943.41,4625.78,4470.64,4860.27,5098.3,4799.75,4472.66,4426.91,5049.43,4344.39,4862.64,4273.09,4720.84,4803.58,4665.57,4360.45,4649.22,4640.66,4604.03,3874.31,4952.4,4676.06,4379.15,4053.72,4793.4,4937.16,4412.75,4523.51,4606.88,4648.73,4827.06,4389.62,5439.44,4501.47,4895.3,5176.41,4999.28,4273.04,4947.16,4726.32
17,5664.0,4901.53,4298.66,4508.78,5208.78,4767.48,4224.63,4765.85,5428.89,4537.4,4824.35,4847.45,4348.2,4622.93,4813.93,5071.74,4645.1,4551.3,5424.17,4524.08,4319.32,5365.11,4703.36,4771.98,5219.41,4957.22,5199.88,5318.83,5464.83,4289.16,3885.47,3065.96,6414.66,5062.51,4885.31,5643.66,4678.56,3998.79,4700.91,4110.53,4468.56,4426.01,5719.41,5040.95,5255.45,5250.05,4414.81,5074.77,4465.72,5332.11,5167.56,4996.81,4640.26,5168.03,5593.26,5056.83,4800.31,4776.31,5295.18,4729.96,5092.46,4210.71,4995.59,5059.39,4785.65,4612.49,4885.92,5005.91,4716.31,4140.61,5167.13,4963.53,4591.84,4338.28,5163.8,5241.81,4711.74,4818.06,4957.79,5143.14,5137.15,4520.46,5786.58,4727.14,5257.72,5566.41,5433.91,4717.62,5339.82,5104.64
18,5662.04,5256.87,4446.59,4914.23,5604.55,4960.5,4609.23,5168.61,5766.88,4663.25,5091.67,5132.95,4669.0,4731.53,5084.11,5305.64,4843.97,4865.46,5840.5,4805.76,4596.62,5679.37,4879.8,5208.95,5607.22,5386.16,5564.31,5627.68,6098.85,4506.31,4245.16,3429.86,7099.27,5172.32,5342.54,6169.99,5149.57,4783.27,5057.93,4477.67,4905.24,4820.85,6090.03,5414.27,5456.27,5418.63,4877.78,5269.25,4918.76,5336.88,5520.47,5381.36,4966.87,5598.25,6175.06,5529.58,5145.22,5144.33,5724.93,4926.44,5359.23,4552.69,5220.54,5469.21,5057.22,4882.42,5223.12,5277.79,4853.36,4427.29,5422.27,5217.25,4901.7,4292.42,5453.47,5614.34,5025.39,5090.72,5281.51,5598.17,5349.74,4811.04,6095.75,4981.1,5618.02,5766.99,5830.51,4983.54,5720.14,5385.46
19,5998.93,5634.25,4633.01,5308.29,6033.98,5490.0,4662.44,5606.27,6150.61,5019.73,5206.11,5497.61,5034.7,5015.04,5516.5,5619.14,5035.58,5186.88,5843.85,4966.8,4846.84,6121.31,5181.89,5619.3,5946.75,5820.63,6059.93,6040.66,6635.78,4746.96,4445.77,4649.22,7109.62,5312.0,5877.15,6541.94,5466.96,5082.68,5285.83,4819.92,5172.64,5087.6,6149.78,5638.96,5749.08,5621.15,5091.36,5442.25,5324.12,5853.02,5982.73,5680.89,5263.63,5960.4,6427.76,5785.31,5227.22,5556.64,5980.61,5244.12,5772.68,4910.7,5599.1,5690.09,5399.45,4962.46,5560.58,5477.18,5116.64,4792.19,5636.94,5625.49,5121.66,4466.58,5461.57,5866.33,5228.37,5618.87,5739.68,6015.34,5665.3,5118.8,6270.91,5565.52,5824.37,6134.3,6377.28,5203.02,6185.96,5367.36
