,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
10,3006.31,2937.36,2737.16,2396.35,3382.39,2945.14,2903.52,2149.27,3356.25,2993.14,2767.68,2759.46,2881.02,2619.13,2695.47,3335.03,3065.95,2255.11,3108.28,3013.79,2579.3,2946.64,3029.46,2714.85,3077.07,3186.03,2987.27,3250.01,3385.94,2170.86,2139.84,2058.09,2977.4,3363.35,2603.56,3684.08,3264.17,1950.0,3321.28,2959.33,2788.52,2649.35,3156.37,2825.92,2935.66,3282.59,2362.45,2830.58,2777.9,3035.5,3131.24,2932.44,2915.98,2779.62,3327.73,3231.07,2746.94,2494.84,3316.84,2806.05,2761.17,3078.69,2665.04,2958.01,2974.06,2947.58,2619.44,2857.74,3030.32,2702.01,2843.36,2643.15,2996.09,2587.42,2371.19,3036.94,2814.93,2655.68,2782.51,2864.66,3335.76,2672.03,3345.48,2945.98,2917.52,3043.09
11,3463.5,3145.77,2927.41,2779.69,3678.65,3282.78,3134.44,2534.72,3700.6,3292.15,2945.05,3034.64,3030.24,2878.58,2831.49,3605.24,3196.56,2437.86,3310.26,3182.38,2590.53,3325.83,3286.63,3079.73,3521.17,3505.08,3323.73,3594.14,3660.41,2525.75,2240.74,1888.61,3140.76,3696.44,2882.78,3944.91,3464.09,2176.11,3479.3,3145.02,2928.17,2727.33,3441.02,3129.32,3267.45,3603.31,2700.08,3044.83,3021.87,3390.62,3386.28,3296.13,3307.52,3084.04,3754.03,3523.36,3050.33,2752.65,3643.26,3161.2,3091.45,3366.82,3049.08,3284.15,3175.41,3190.2,2889.25,3203.79,3321.89,2802.92,3314.02,3099.72,3320.57,2643.63,2460.48,3247.31,3180.16,2902.32,3089.7,3250.69,3540.18,2955.36,3643.18,3191.0,3144.17,3466.61
12,3847.08,3491.71,3362.38,3105.46,4038.66,3677.37,3310.9,2930.58,3989.93,3490.45,3298.27,3313.81,3277.58,3284.32,3162.19,3820.17,3393.1,2883.79,3570.05,3425.88,2994.88,3600.86,3613.55,3467.59,3955.96,3839.1,3576.47,3885.31,4223.88,2838.19,2590.9,2130.72,3557.18,4198.88,3156.95,4451.57,3854.55,2515.95,3697.43,3401.37,3212.25,3066.27,3943.04,3515.0,3648.35,4031.16,2988.8,3277.5,3336.55,3747.69,3939.52,3693.75,3604.14,3446.46,4102.67,3694.67,3250.3,3084.39,4071.23,3372.16,3535.22,3502.14,3448.16,3664.09,3534.23,3520.43,3281.16,3465.01,3440.92,3046.61,3722.77,3510.24,3617.93,2954.77,2956.87,3843.93,3423.32,3056.43,3491.35,3628.42,3802.05,3062.1,4057.93,3506.98,3565.7,3756.31
13,4227.81,3798.04,3614.39,3290.77,4502.32,3922.49,3472.81,3092.23,4145.08,3631.61,3636.17,3559.17,3428.56,3609.13,3393.71,4040.8,3466.17,3264.96,3868.8,3400.59,3252.38,3966.95,4058.8,3764.34,4271.48,4123.51,3929.03,4112.53,4522.02,3305.49,3084.35,2389.93,3388.05,4806.14,3328.84,4997.66,4252.09,2726.76,3940.83,3654.33,3274.37,3244.43,4474.83,3767.08,4055.73,4318.07,3389.04,3381.22,3478.0,4109.87,4381.59,3902.23,3835.55,3807.01,4525.97,3993.91,3371.62,3369.41,4278.23,3502.79,3963.14,3835.9,3769.16,3984.06,3833.13,3766.01,3675.09,3568.16,3693.92,3202.57,4149.97,3850.82,3750.83,3136.94,3566.2,4277.16,3597.66,3285.52,3713.04,4060.84,3938.74,3259.73,4411.4,3575.84,4048.78,4246.94
14,4665.92,4077.86,3736.58,3556.68,4913.4,4093.84,3381.04,3508.76,4483.77,4004.27,3868.29,3947.01,3636.39,3815.25,3766.43,4305.74,3862.84,3480.78,4280.03,3939.4,3444.46,4409.02,4409.74,3968.4,4433.69,4105.12,4272.75,4625.38,4881.88,3714.13,3425.25,2680.74,3661.0,4824.51,3377.28,5386.26,4524.08,2807.86,4213.71,3910.09,3577.09,3338.26,4926.31,4159.09,4330.89,4457.02,3516.5,3712.39,3794.79,4431.02,4590.88,4194.69,4136.08,4173.33,4766.61,4562.3,3692.12,3718.85,4667.43,3723.93,4368.49,4111.73,4026.57,4333.84,4108.72,3872.26,4040.57,3770.22,3880.04,3534.01,4536.72,4220.44,3958.72,3554.15,4018.14,4575.29,3857.16,3556.29,4067.48,3942.75,4374.25,3424.28,4853.56,3854.33,4289.74,4787.45
15,5357.91,4501.83,3848.86,3929.03,5127.47,4309.59,3674.83,3992.67,4976.28,4179.03,4129.32,4357.39,3910.99,3997.69,4349.71,4536.42,4083.7,3733.58,4718.18,4188.04,3743.98,4977.5,4529.0,4154.17,4666.38,4263.53,4664.65,5212.57,5128.11,4241.65,3351.75,2257.73,4363.15,5188.74,3927.5,5671.47,4516.45,2962.99,3927.35,4230.7,3740.34,3474.56,5384.12,4362.61,4725.64,5038.16,3653.33,4299.04,4072.64,4850.98,4945.34,4464.94,4200.65,4632.04,5219.7,4895.54,4058.32,4016.12,5024.7,4048.81,4765.5,4244.78,4501.87,4673.51,4438.66,4271.39,4388.1,4340.97,4236.07,3691.41,4974.86,4538.75,4151.66,3632.04,4343.34,4889.99,4069.58,4002.05,4434.1,4155.17,4695.71,3887.1,5329.8,4136.71,4597.95,5187.64
16,5354.32,4767.25,4045.85,4119.92,5139.98,4464.21,3816.2,4504.14,5431.28,4384.55,4503.9,4632.87,4077.34,4305.29,4523.26,4924.33,4221.54,4151.61,5351.23,4192.19,4150.37,5468.49,4586.65,4423.07,5108.67,4577.07,5116.74,5662.31,5486.69,4248.72,3281.96,2232.49,5980.26,4914.55,4535.38,5635.44,4582.68,3274.07,4360.32,3892.72,3937.63,3805.07,5891.87,4725.76,5194.69,5327.32,3861.32,4803.46,4325.68,5312.19,5238.98,4747.86,4506.61,5109.8,5476.94,5010.8,4499.74,4429.96,5379.89,4283.6,5090.88,4182.78,4871.83,4995.62,4781.98,4306.2,4745.6,4720.52,4655.95,3510.29,5178.69,4763.38,4300.1,3788.35,4914.05,5131.93,4333.94,4498.16,4606.58,4638.92,4877.0,4171.97,5838.75,4387.09,4992.49,5476.21
17,6194.22,5015.05,4085.34,4406.59,5482.17,4803.08,3964.27,4793.55,5814.03,4440.64,4880.53,4914.31,4140.65,4565.63,4859.85,5258.44,4599.36,4449.8,5791.28,4399.86,4083.39,5702.89,4687.51,4797.58,5490.22,5090.95,5469.66,5653.37,5875.01,4069.54,3448.05,2183.21,7339.52,5264.02,4997.01,6166.76,4682.34,3638.57,4722.3,3817.45,4371.12,4299.53,6287.43,5243.74,5575.6,5570.09,4284.43,5297.2,4361.36,5693.96,5437.01,5171.61,4619.7,5436.94,6091.26,5258.68,4854.49,4819.91,5607.48,4726.66,5294.91,3937.22,5144.75,5239.03,4816.47,4542.41,4957.74,5128.91,4673.29,3761.71,5353.67,5051.19,4471.15,4068.52,5325.51,5442.22,4636.84,4791.62,4985.62,5236.58,5182.51,4199.47,6207.31,4562.64,5386.02,5917.77
18,6042.56,5413.18,4164.13,4881.36,5942.02,4950.78,4406.21,5263.31,6184.1,4484.11,5141.53,5202.74,4483.2,4581.95,5124.9,5467.66,4754.12,4781.61,6279.79,4680.54,4358.08,6035.3,4808.18,5319.63,5937.09,5601.67,5881.54,5979.48,6701.41,4254.88,3852.26,2593.94,8244.28,5285.07,5553.06,6829.27,5259.83,4698.68,5125.16,4236.35,4896.75,4760.2,6710.81,5671.39,5738.18,5683.2,4850.17,5449.79,4911.87,5554.57,5832.81,5615.76,4974.34,5952.39,6838.59,5837.74,5235.02,5237.63,6117.46,4878.84,5555.21,4313.04,5340.49,5718.79,5083.52,4805.08,5323.56,5393.39,4727.53,4044.32,5589.49,5286.3,4790.27,3838.73,5611.27,5855.96,4961.21,5049.87,5321.54,5771.22,5334.17,4471.49,6514.71,4780.26,5774.56,6068.06
19,6412.21,5844.78,4301.69,5338.15,6453.22,5615.66,4337.79,5786.29,6624.03,4881.87,5166.8,5612.31,4894.35,4866.82,5639.0,5798.8,4897.07,5124.02,6132.27,4774.96,4590.67,6563.58,5121.69,5800.28,6309.22,6120.55,6494.85,6465.29,7378.07,4475.97,4011.22,4320.39,8111.33,5351.75,6227.84,7253.9,5600.68,5012.26,5329.14,4616.74,5161.55,5023.47,6655.6,5870.07,6042.01,5848.25,5031.9,5569.09,5388.74,6201.53,6396.49,5928.76,5282.63,6362.69,7079.07,6082.02,5210.58,5722.3,6359.01,5217.23,6040.43,4713.08,5772.11,5907.35,5458.62,4774.48,5688.82,5545.84,4975.17,4446.1,5762.54,5758.11,4969.48,3945.86,5461.95,6083.37,5114.18,5700.57,5862.91,6244.08,5640.49,4770.2,6613.16,5505.96,5924.77,6474.2
