,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984
125,56365.13,57789.71,56611.8,47803.59,47674.09,46920.57,54541.11,53197.64,45570.36,56788.78,49356.01,42248.97,55916.78,55235.19,57270.29,69829.72,75003.23,88787.42,106063.1,131202.87,98606.88,59432.54,20570.96,46903.87,43259.96,43595.76,61262.54,63022.0,42584.87,49070.47,43508.52,46838.63,42379.62,59064.46,59401.65,68263.25,79211.55,62633.21,71056.66,57806.47,76312.84,84542.07,89099.85,78536.14,87984.02,109392.58,114847.73,107695.45,90865.25,101968.55,86889.77,86702.44,64928.0,73630.71,74384.81,69995.1,65307.74,65609.11,66995.16,60786.12,44498.68,56212.87,58208.09,53199.29,44111.54,46436.34,51114.41,49294.81,48977.85,51559.01,58392.54,65182.57,53758.91,80305.43,71444.76,82434.77,97876.85,109835.94,89333.57,95513.82,94067.36,88486.26,85202.93,80948.57,73473.51
126,54152.6,58191.23,57314.66,49096.24,45652.76,47361.09,54436.28,52445.19,46661.37,59332.74,49970.77,42784.73,56992.23,54071.28,60636.25,72492.02,78908.2,91531.15,107632.27,143689.9,97280.0,62131.94,22249.24,51299.62,41773.73,46457.56,65509.1,67460.79,51745.82,50878.3,45608.52,49928.72,44644.83,60935.56,61606.52,67509.91,77596.29,67245.91,70074.51,61841.81,71606.04,86945.17,92506.27,80446.66,92317.57,118171.43,121862.28,110607.08,94066.08,106694.04,85384.95,87086.0,67105.58,73135.09,77748.46,70475.35,65727.65,67328.2,67435.22,58626.89,45138.86,56357.96,58320.02,54253.77,39486.28,47044.4,52891.2,50338.34,49355.26,52703.11,61710.69,64273.87,54297.27,81282.58,71202.17,84698.04,96517.06,113678.31,89467.91,98600.8,94635.6,89585.74,87242.94,81404.79,73498.14
127,56120.48,56047.89,59279.74,51059.16,46277.93,49999.16,55513.07,51622.11,47820.22,56020.61,48688.55,42928.12,59821.37,55038.12,63431.22,74195.8,82788.64,97183.38,111907.37,152663.61,96816.94,60986.61,34202.71,49312.7,40705.04,50182.92,67432.5,68829.6,52692.99,50743.05,47228.96,50375.89,45064.18,58572.41,61363.87,68397.25,76743.04,66605.95,68736.41,64831.41,76781.54,91660.58,93727.86,81577.04,94936.78,118227.79,121925.84,105255.92,98291.6,106761.13,87067.07,90843.91,69547.44,75765.73,77201.12,72380.81,62331.17,68986.03,66534.11,58866.63,47023.38,55905.25,60943.84,53769.25,38397.7,44142.85,53001.05,49695.73,53395.21,55763.75,64287.49,65199.4,55136.62,79730.78,78178.16,83541.16,99130.01,121433.58,88336.81,103643.22,87594.18,92397.98,88473.53,83250.1,76177.77
128,57152.37,53630.05,60231.65,52193.06,46906.08,52484.63,58458.48,49878.16,48290.05,57598.24,51108.03,44664.68,62072.5,56085.85,63537.59,76644.11,84811.11,103489.23,120572.89,159555.38,97557.88,52620.46,38165.33,49479.2,40290.23,51816.48,68822.73,59741.81,50931.24,56787.58,49892.43,51219.28,46216.05,60479.83,61018.18,73727.89,66066.29,65570.48,68679.03,66454.7,80357.11,94935.36,93096.72,78634.33,97947.67,124335.35,118569.48,101726.77,101595.38,103210.78,85100.91,90758.3,69540.89,78371.29,79131.01,75399.68,60722.04,70537.85,69283.73,59645.03,50418.54,57708.16,60609.69,55254.69,34936.36,44170.68,54706.89,49517.51,54017.41,57034.34,66523.3,60185.73,62231.29,82784.77,79687.45,82372.38,97100.48,118157.98,90450.97,104527.42,84193.72,92525.06,89216.17,84787.78,77209.33
129,60448.41,54589.78,60760.71,51188.07,47532.15,56029.26,60953.63,47923.16,51066.05,61240.58,51856.35,45946.67,64138.26,55969.74,63434.21,79912.09,83668.11,102694.75,123828.16,143497.7,84926.53,46309.0,33494.65,45224.08,41187.06,53781.13,73073.91,51717.06,57260.39,57989.81,51032.44,49863.36,50312.99,60582.99,63188.72,77469.83,65237.03,67972.75,71285.83,68961.41,84573.41,95356.53,92002.28,81810.17,101015.77,118869.93,117839.42,96134.76,106437.66,103801.8,84080.61,92388.75,67957.77,79172.58,81102.56,77695.91,60783.97,71013.42,71579.95,60857.92,52085.31,57033.97,61271.31,58014.53,36178.96,46784.97,53408.81,48833.62,52921.54,55525.82,69147.88,61635.87,68177.64,83729.96,79767.18,84013.61,97420.63,104548.2,94304.49,105235.64,82649.88,93099.61,88565.99,86250.48,77273.44
130,61044.62,57440.17,60733.92,50537.88,48161.13,58624.59,63048.6,44688.58,53089.24,60119.37,49905.22,49094.01,61648.87,58360.86,67709.18,83144.63,85532.53,105832.05,133008.65,106365.71,79560.54,47662.57,33778.39,46903.67,42924.01,59437.96,75764.41,47844.04,57916.2,57584.68,52897.65,48233.0,51802.16,58438.39,63415.46,80675.79,65636.27,67887.48,68061.19,70725.0,85314.23,93606.44,95777.47,84435.99,105776.81,127680.69,117398.99,94811.91,110389.27,104904.59,87470.2,97215.7,73274.22,79338.34,82272.72,78942.34,64433.64,69367.29,73269.96,61874.25,52599.27,54936.2,64912.55,54429.87,37949.27,48151.14,53621.37,49723.48,50441.57,55754.71,72753.59,63923.95,71658.01,83181.08,81203.12,89823.44,101274.45,92081.95,92806.12,103734.85,85528.93,93520.65,91419.55,86664.04,77394.68
131,59999.86,58349.44,59200.8,51133.24,46710.76,59378.2,61207.86,43936.32,52753.69,59046.0,46117.29,51511.55,62213.46,61059.27,72096.17,85248.48,88258.97,109119.15,134343.54,111429.01,75045.87,39433.91,33276.7,48402.51,43787.64,60023.7,75121.76,47765.22,56821.67,56859.28,51400.71,45799.44,52752.56,59883.43,65474.79,82718.97,68278.31,67537.47,68367.85,73437.05,85904.78,97381.31,100498.06,86396.89,111430.5,129669.32,119923.37,95522.6,113186.75,108950.15,90234.69,98757.48,77079.79,81650.88,81451.89,79182.96,65302.54,71939.58,74622.11,59158.82,56788.26,59296.78,66826.79,51117.23,36029.37,47986.23,56070.0,50092.35,51822.17,58625.92,72254.45,65087.54,73037.9,83482.44,81036.75,94993.17,103414.75,91259.64,95377.82,106987.74,89866.95,94802.97,94823.17,87841.83,77006.28
132,61839.14,58796.66,59077.57,53651.87,47949.68,58797.37,60190.22,47147.16,52898.06,58872.99,48626.6,51877.87,63475.28,63486.82,75454.92,86888.45,88036.67,109838.57,144387.84,113322.36,77749.42,39315.49,35057.99,51531.2,44170.57,63643.74,77765.43,49490.36,56302.35,56915.5,51937.75,47186.16,56338.18,62199.15,67782.58,86279.78,68988.09,67042.54,69568.13,75420.93,92751.2,101033.09,101409.7,88993.08,113706.16,126372.28,117525.67,97683.39,117844.79,107223.94,95090.75,95256.81,80309.46,84382.23,83763.63,80778.28,68095.06,71992.76,71706.01,58939.51,59262.17,62046.67,67578.54,52156.7,39392.95,52754.48,55915.5,48571.33,54156.04,60697.78,72327.04,62071.35,75956.33,84802.35,84851.93,95656.22,110200.54,95092.57,98666.57,104523.02,89229.36,101709.72,94909.47,89349.38,78930.35
133,63598.28,58959.46,57657.11,55037.96,47957.9,58639.39,57519.52,49380.68,53842.7,54719.04,48996.19,53724.23,66921.99,64520.05,76858.01,87808.39,90556.66,109357.42,145991.59,121272.73,84503.31,39714.4,31510.39,55970.83,43434.06,67928.43,80769.36,49021.37,56472.83,57214.63,49386.98,46439.02,60400.43,62476.96,70748.89,87214.53,72370.29,64485.72,67683.87,77754.95,97176.35,100118.55,101053.28,91803.61,118348.08,128006.96,113254.12,98796.18,116780.46,103781.9,99684.22,97506.98,82021.52,86062.48,85010.66,80858.07,71071.52,69345.72,71961.9,57475.0,62159.64,63774.22,65749.56,51287.98,44108.02,55396.79,55014.21,48525.92,54010.49,63802.77,70531.2,61309.27,78004.77,80890.13,90199.14,101542.5,117759.48,98691.41,102357.03,102307.72,100033.88,101525.5,96977.22,89709.36,82381.22
134,63546.26,61343.37,57245.93,54678.1,49852.9,59119.48,60047.67,49175.77,56232.61,59306.05,48460.4,56456.16,68745.71,64036.58,75602.67,82630.92,92769.26,116074.4,149418.16,126699.26,86937.97,40584.79,32042.29,53699.81,41271.21,70002.85,81386.31,46488.28,57052.03,57559.23,50398.02,44646.52,63258.53,64934.98,71400.51,85304.95,70135.51,66153.47,69127.77,79255.47,96531.47,101297.72,102447.86,94603.98,118260.91,137668.72,115517.02,101613.92,120489.35,103094.56,103503.19,98268.0,82360.18,88277.91,85725.07,78155.17,73377.16,68688.35,71007.64,59063.68,64353.75,65878.99,65288.58,54074.52,46742.68,56270.31,55413.16,49084.0,55708.2,58619.92,73888.55,60051.71,81452.87,81676.88,90196.18,108257.72,123347.49,102314.66,102621.82,105510.71,103511.35,100923.91,99494.46,88856.65,84921.79
135,63967.46,63947.67,57868.47,54039.15,54280.81,59152.97,59893.25,49495.83,58856.98,59550.17,49387.51,60612.98,67079.94,63321.23,75574.63,81115.52,95873.11,124242.07,149400.23,135600.63,79467.46,31563.68,36095.71,55214.86,44993.67,70729.08,77240.47,45306.25,50470.73,58809.7,49538.34,43523.29,66086.6,64510.33,73903.64,91517.97,68248.76,72006.93,69845.06,82370.31,98820.49,101934.7,98296.0,99239.38,123192.82,140142.54,119000.23,102950.82,123253.82,105157.09,106956.65,95797.04,86899.8,90205.04,87492.45,81186.7,75270.76,74397.77,73055.66,57860.86,67154.66,67138.7,64645.71,51885.21,47868.69,57317.26,55178.5,51893.53,57496.08,58366.19,75275.17,63771.86,85304.74,82520.6,91549.98,111657.26,122719.39,101837.02,106714.65,106148.07,106280.55,101618.24,98584.2,86303.64,88088.35
136,66047.14,64569.55,56975.07,55055.65,53670.37,61149.58,58625.25,51870.77,63683.62,56531.86,51612.23,63703.95,64652.87,63860.22,78780.3,82485.57,100012.71,128939.54,152516.63,128364.97,72608.16,28398.14,47181.86,50192.84,49157.82,67600.55,74518.71,46433.73,52976.7,51374.72,49179.5,44761.84,69403.83,66364.72,77412.17,92419.96,67750.79,76277.98,70151.23,86025.53,99875.38,102834.62,99711.22,104055.13,123525.24,136599.28,124380.78,107040.6,125859.62,104927.88,108737.16,89329.44,89305.09,91736.72,89440.79,77538.79,77251.3,76734.78,76058.65,51782.96,66834.39,67042.64,63405.19,50902.03,51527.04,57524.67,55643.47,55189.76,56833.24,61742.58,74484.38,64564.18,89511.82,82741.09,94485.62,112635.14,123361.09,100036.17,111542.22,110671.14,106517.6,104150.83,99727.51,87647.1,91473.41
137,68074.52,65266.72,54796.39,55465.53,54949.57,62447.2,60593.01,52734.16,66143.46,56279.36,48195.45,63837.89,62939.25,65835.19,80978.87,87226.92,102147.09,123485.72,156307.09,116260.55,71083.87,25281.82,55945.83,51480.58,51645.2,71135.9,72466.43,48221.72,54560.08,47634.48,51632.79,47764.37,71346.76,70213.7,79535.75,92533.59,70844.71,80208.99,67137.65,88318.65,99167.41,106600.37,97043.54,105753.3,131545.7,136674.73,127239.81,110395.2,125524.49,109545.39,107988.04,79545.1,89927.8,91842.99,85829.17,77531.97,76909.87,79426.13,72693.83,52069.44,66190.49,67816.96,62566.02,51563.64,53453.28,58472.89,56575.56,55991.3,58640.58,66419.89,75553.03,61584.82,91511.07,81639.06,97289.09,116596.25,129345.95,106475.31,115763.28,114613.49,107315.15,103191.5,101019.39,89048.51,94816.25
138,68495.6,66035.09,56238.39,53070.21,55416.33,62289.05,59700.71,53952.68,69058.24,56943.65,48769.78,65028.09,61577.78,69662.12,84020.34,91720.36,105261.84,125265.78,171120.7,114644.69,74251.03,27267.88,61126.14,49657.6,54977.71,76018.9,77527.34,58555.07,56544.35,49914.78,55016.75,50284.84,73541.31,72764.73,78612.09,90599.91,76027.06,79069.0,71776.44,82830.83,101935.27,110614.53,99327.6,110897.68,142035.71,144962.27,130625.22,114214.98,131264.99,107564.51,108386.38,82139.89,89253.75,95918.08,86346.42,77974.76,78874.43,79892.76,70054.86,52769.52,66309.78,67900.86,63754.34,46114.21,54112.01,60466.31,57733.07,56384.99,59905.91,70156.96,74456.41,62162.73,92587.97,81324.6,99906.17,114920.06,133817.36,106578.0,119437.07,115237.32,108581.97,105595.51,101508.25,89012.89,98616.5
139,65923.45,68256.61,58446.94,53751.15,58452.12,63482.49,58728.85,55248.94,65159.94,55447.47,48897.07,68217.7,62642.5,72831.5,85950.07,96183.29,111719.08,130193.42,181746.87,114047.32,72825.0,41810.17,58703.85,48332.94,59328.29,78205.02,79059.58,59593.47,56369.4,51669.74,55488.46,50726.27,70628.57,72425.52,79598.59,89556.73,75271.37,77528.17,75199.63,88771.54,107411.64,112015.66,100647.77,113981.21,142041.95,144981.39,124255.18,119276.25,131274.53,109597.14,112981.35,85056.02,92392.87,95169.12,88608.31,73893.26,80766.3,78771.52,70282.65,54922.73,65726.5,70907.53,63134.99,44796.9,50736.73,60554.26,56957.57,60960.12,63347.93,73049.98,75484.24,63084.94,90785.06,89251.49,98489.95,117972.8,142891.54,105174.22,125476.46,106600.29,111922.94,107019.21,103727.84,92190.7,99551.84
140,63030.99,69311.16,59705.98,54435.35,61307.51,66811.09,56710.82,55749.08,66948.15,58165.37,50837.93,70747.04,63798.86,72914.02,88741.07,98486.76,118925.24,140225.49,189892.06,114868.04,62784.91,46577.15,58845.35,47785.79,61204.57,79772.14,68586.62,57569.55,63056.72,54564.96,56396.42,51991.73,72863.79,71965.34,85752.75,77056.68,74069.4,77432.09,77037.18,92860.69,111198.26,111203.22,96945.73,117533.33,149315.3,140935.64,120038.01,123217.02,126838.74,107039.75,112796.62,84978.18,95499.41,97472.49,92230.7,71932.41,82533.25,81970.55,71153.19,58837.33,67793.82,70473.2,64827.72,40716.15,50728.74,62464.72,56714.77,61633.13,64755.91,75554.53,69639.64,71159.58,94225.3,90936.86,97060.7,115502.01,138987.2,107633.15,126481.36,102397.15,112011.56,107852.44,105563.06,93373.49,103689.65
141,64107.64,69879.02,58519.28,55116.9,65397.24,69623.76,54454.51,58909.53,71133.67,58981.1,52260.71,73064.13,63631.68,72756.17,92479.48,97115.17,117972.5,143964.4,170730.27,99950.69,55203.78,40817.22,53733.56,48793.64,63470.33,84652.91,59339.67,64687.25,64366.83,55793.8,54883.48,56567.9,72925.63,74471.3,90057.0,76043.16,76749.78,80338.72,79897.42,97688.27,111642.43,109838.31,100784.41,121152.45,142693.47,140012.14,113389.78,129020.85,127492.26,105673.47,114743.59,82975.81,96407.01,99825.71,94967.38,71951.44,83040.88,84631.7,72541.26,60733.74,66952.09,71196.5,68013.52,42116.41,53689.23,60946.45,55893.66,60346.89,63009.71,78499.49,71273.42,77917.78,95265.09,90991.02,98941.74,115826.23,122933.05,112159.7,127273.15,100453.62,112641.77,107002.67,107303.93,93386.56,105066.11
142,67402.33,69807.92,57738.98,55801.64,68377.11,71978.28,50746.89,61200.21,69787.25,56728.13,55803.05,70193.79,66313.67,77617.69,96175.35,99233.57,121535.4,154588.81,126509.63,93587.49,56758.69,41095.0,55671.57,50794.99,70088.31,87724.35,54859.64,65395.65,63893.16,57814.99,53069.3,58211.44,70284.4,74686.54,93736.57,76461.63,76621.66,76674.96,81895.86,98501.27,109545.63,114284.94,103943.52,126799.37,153204.67,139433.17,111777.89,133742.84,128773.87,109846.6,120656.79,89392.71,96540.96,101191.85,96420.13,76214.46,81068.86,86575.15,73694.48,61285.83,64441.4,75379.68,63764.75,44129.24,55216.6,61152.15,56873.43,57484.33,63235.19,82556.66,73874.83,81856.02,94605.38,92591.73,105728.74,120349.74,108229.78,110322.21,125394.51,103883.7,113086.24,110384.23,107739.58,93468.92,107977.48
143,68418.83,68006.72,58381.55,54078.83,69208.61,69841.03,49858.98,60772.38,68497.47,52390.16,58514.41,70800.63,69343.48,82605.31,98564.76,102350.85,125269.24,156094.4,132472.81,88228.85,46913.05,40419.01,57393.75,51762.33,70726.4,86937.09,54730.54,64128.48,63064.61,56162.12,50372.59,59249.26,71959.36,77058.73,96064.18,79491.22,76195.09,76989.46,84991.15,99140.69,113912.79,119857.03,106282.73,133513.35,155529.23,142374.44,112563.28,137065.11,133665.33,113232.47,122491.78,93963.2,99285.53,100110.25,96644.55,77187.9,84025.37,88118.68,70405.91,66116.53,69502.91,77556.34,59838.01,41853.72,54988.7,63906.58,57257.33,59020.66,66455.99,81956.31,75176.21,83394.34,94912.74,92365.67,111759.59,122836.03,107213.06,113321.65,129260.33,109082.78,114571.56,114427.86,109124.6,92936.46,112072.83
144,68891.02,67823.51,61216.57,55466.53,68483.23,68642.03,53464.4,60895.57,68250.43,55202.59,58894.02,72198.67,72062.75,86411.23,100415.02,102046.72,126053.27,167713.8,134663.8,91352.25,46713.74,42509.81,61042.57,52158.79,74934.32,89949.5,56665.41,63509.44,63101.96,56730.74,51876.17,63243.48,74675.46,79719.22,100150.22,80268.71,75603.89,78308.36,87240.55,106994.43,118131.86,120883.27,109397.9,136175.82,151512.8,139470.76,115053.85,142634.62,131473.61,119234.54,118071.83,97825.6,102534.01,102873.41,98517.87,80430.36,84037.42,84621.84,70085.82,68946.34,72672.0,78381.4,61002.79,45709.66,60408.21,63692.62,55480.68,61639.48,68768.0,82002.93,71650.18,86686.17,96375.94,96674.36,112485.61,130833.82,111660.84,117168.47,126216.88,108239.86,122846.3,114465.38,110914.36,95190.34,112141.92
145,69030.2,66152.33,62758.68,55431.0,68250.85,65559.84,55960.18,61939.59,63391.96,55585.97,60952.84,76080.08,73199.01,87977.0,101432.92,104920.17,125459.86,169528.68,144048.58,99230.27,47129.14,38146.88,66239.85,51234.82,79921.53,93377.12,56088.79,63668.66,63408.67,53927.62,51034.3,67770.76,74945.05,83152.19,101187.75,84153.54,72688.98,76156.28,89893.83,112053.21,117012.49,120398.42,112774.49,141669.82,153408.6,134345.66,116309.67,141278.88,127180.71,124903.54,120778.57,99838.24,104504.24,104328.22,98543.16,83888.0,80899.63,84868.46,68286.94,72266.92,74642.59,76214.74,59937.01,51128.71,63391.65,62628.92,55389.92,61436.67,72248.94,79932.26,70726.96,88984.28,91894.84,102726.33,119350.76,139745.73,115831.99,121490.39,123476.32,121268.71,122556.9,116891.48,111279.67,99283.01,119227.95
146,71768.16,65639.74,62310.47,57574.88,68761.09,68401.8,55693.1,64644.68,68656.35,54942.91,64014.86,78115.64,72615.06,86500.64,95410.2,107436.57,133122.07,173459.31,150433.1,102035.09,48103.37,38722.35,63498.02,48631.63,82306.94,94045.06,53152.9,64288.58,63765.81,55013.59,49044.64,70945.73,77827.86,83864.5,98926.5,81508.61,74535.41,77748.48,91582.87,111266.26,118339.72,121999.2,116136.65,141503.09,164919.79,136970.98,119571.38,145695.78,126264.41,129599.17,121640.48,100179.24,107122.88,105129.11,95179.92,86552.38,80083.78,83688.95,70114.42,74768.43,77053.35,75634.45,63140.57,54133.91,64350.71,63045.43,55987.91,63329.7,66348.01,83700.16,69233.36,92877.57,92751.82,102685.28,127186.91,146316.19,120030.09,121746.39,127273.33,125413.07,121764.34,119857.94,110141.84,102276.93,119438.31
147,74762.15,66312.29,61544.94,62640.42,68752.23,68188.36,56020.63,67617.63,68893.3,55958.07,68690.17,76187.22,71768.81,86428.73,93616.94,110983.79,142445.29,173391.35,160939.48,93219.46,37367.08,43545.87,65231.92,52958.98,83106.96,89211.95,51763.12,56843.8,65126.15,54057.94,47790.88,74085.86,77256.48,86750.0,106081.71,79269.73,81095.22,78523.31,95135.79,113860.21,119033.47,116997.74,121748.14,147339.47,167819.3,141041.73,121090.06,148969.37,128714.8,133834.61,118504.05,105626.56,109390.5,107220.15,98797.86,88729.63,86687.19,86046.63,68629.73,77973.17,78475.05,74844.2,60536.46,55391.22,65507.65,62741.52,59152.17,65324.32,66026.41,85235.21,73476.13,97229.64,93673.29,104188.46,131126.19,145513.53,119417.71,126541.74,127975.4,128697.73,122535.13,118696.29,106899.12,106022.65,120123.56
148,75438.33,65248.64,62664.39,61892.55,71023.78,66708.19,58672.55,73117.52,65358.59,58442.19,72156.05,73395.69,72344.17,90053.49,95153.32,115728.25,147788.47,176960.2,152296.71,85125.62,33569.3,56834.12,59248.33,57801.75,79380.32,86025.46,53011.38,59632.38,56871.46,53649.12,49130.09,77773.05,79413.06,90813.45,107080.48,78644.52,85871.15,78836.01,99311.09,115031.94,120034.02,118621.94,127577.56,147674.88,163515.2,147358.84,125844.74,152050.0,128360.52,135975.63,110429.4,108478.0,111177.7,109531.65,94291.03,91008.25,89359.86,89527.19,61369.12,77554.44,78312.47,73363.21,59340.94,59575.77,65705.26,63233.1,62869.08,64535.25,69809.61,84305.3,74345.29,101984.88,93887.41,107490.81,132221.29,146216.42,117254.83,132205.96,133359.63,128916.29,125521.18,120006.67,108481.86,110029.17,123407.11
149,76202.26,62714.93,63093.38,63323.1,72482.8,68908.92,59614.43,75898.67,65022.09,54540.88,72272.75,71415.3,74545.42,92526.15,100576.43,118151.61,141498.27,181310.11,137883.16,83287.88,29836.62,67313.58,60711.9,60670.66,83476.34,83613.32,55012.56,61381.77,52708.77,56307.29,52404.27,79919.56,83953.16,93251.06,107165.98,82186.9,90262.81,75419.52,101912.98,114173.78,124378.1,115390.75,129583.74,157197.55,163543.01,150687.48,129733.63,151578.12,133932.37,134954.26,98263.65,109164.03,111237.67,105037.65,94212.32,90551.95,92443.73,85515.03,61651.22,76760.94,79166.32,72347.49,60062.67,61756.32,66748.67,64255.19,63743.94,66550.24,75061.34,85479.69,70873.68,104223.98,92601.52,110641.89,136816.71,153249.81,124747.12,137149.36,138042.0,129812.96,124299.7,121495.27,110135.45,113982.83,125437.34
150,77049.07,64324.36,60333.3,63817.37,72252.56,67857.89,60957.24,79200.31,65744.58,55156.01,73584.85,69835.49,78841.85,95960.63,105711.64,121707.77,143496.7,198442.11,135909.88,86945.04,32122.03,73475.69,58509.35,64529.42,89150.51,89405.67,66754.55,63581.27,55207.0,59979.39,55148.68,82347.19,86939.47,92116.85,104881.62,88148.92,88948.48,80597.4,95539.24,117316.39,129010.34,118046.34,135809.35,169666.61,173393.69,154638.18,134167.56,158440.07,131438.54,135366.9,101387.9,108276.75,116101.84,105596.46,94679.95,92809.57,92938.24,82359.0,62422.73,76852.72,79214.46,73675.69,53671.67,62472.29,68984.16,65532.83,64154.5,67949.58,79248.82,84205.03,71495.77,105412.34,92209.26,113580.13,134798.17,158488.26,124815.74,141442.78,138727.4,131276.75,127128.27,122018.05,110012.13,118484.05,121519.55
151,79590.03,66809.28,61070.3,67268.1,73589.54,66717.29,62387.34,74690.86,63974.21,55265.79,77157.96,71006.85,82392.71,98124.69,110809.79,129126.03,149099.33,210715.33,135144.52,85225.05,49170.84,70502.25,56895.87,69579.37,91660.73,91128.09,67899.64,63353.18,57123.58,60476.54,55612.94,79057.33,86473.17,93220.57,103628.87,87226.86,87184.03,84409.0,102344.52,123574.07,130594.56,119555.85,139509.41,169612.65,173354.46,147043.07,140057.68,158384.83,133847.91,141017.59,104906.42,112013.24,115127.7,108287.3,89658.05,94980.66,91586.53,82573.38,64911.35,76130.93,82670.47,72915.65,52091.8,58534.13,69045.98,64617.06,69319.92,71816.09,82481.67,85332.7,72513.5,103322.9,101158.11,111933.75,138325.31,169174.36,123121.0,148534.95,128269.36,135246.39,128776.04,124620.1,113857.87,119542.87,125714.74
152,80769.81,68208.29,61810.82,70509.44,77399.48,64389.76,62918.41,76698.83,67064.13,57424.28,79983.23,72281.69,82451.65,101270.94,113419.24,137407.18,160544.62,220110.14,136059.37,73431.65,54717.93,70608.18,56198.73,71726.24,93444.71,79018.75,65557.14,70834.05,60299.65,61449.02,56980.3,81529.02,85863.19,100372.59,89125.63,85788.66,87044.46,86440.2,107013.35,127886.4,129598.62,115102.09,143780.96,178233.39,168456.77,141997.76,144630.54,152968.7,130653.62,140702.97,104732.71,115708.23,117844.65,112638.15,87211.49,97003.97,95256.25,83542.58,69478.12,78478.17,82115.25,74824.98,47303.29,58481.11,71184.96,64306.05,70047.97,73376.11,85274.94,78694.15,81747.51,107199.48,103032.29,110273.25,135377.32,164496.47,125947.09,149667.22,123149.34,135286.14,129713.03,126759.49,115239.07,124444.83,128713.94
153,81382.34,66814.34,62548.17,75167.85,80610.09,61793.39,66450.27,81450.97,67960.57,58996.91,82567.62,72057.33,82239.05,105496.91,111797.22,136262.0,164783.92,197857.34,118340.43,64520.66,47905.28,64416.73,57329.7,74328.0,99107.4,68328.03,73620.24,72274.07,61633.85,59784.29,61974.44,81569.01,88790.41,105357.01,87908.8,88845.66,90279.36,89617.95,112531.09,128354.67,127959.61,119599.24,148132.48,170270.76,167291.62,134080.0,151387.92,153690.22,128914.41,143046.29,102189.3,116738.62,120620.55,115905.49,87165.72,97547.1,98299.61,85118.71,71660.34,77458.75,82908.69,78455.75,48881.36,61848.04,69417.73,63340.12,68550.3,71363.26,88564.17,80505.7,89465.49,108344.83,103058.43,112373.1,135705.33,145445.59,131190.67,150547.13,120748.37,135979.89,128626.67,128784.79,115176.99,126032.16,134475.34
154,81251.08,65885.2,63288.95,78548.94,83289.0,57552.87,68999.97,79869.83,65323.09,62960.3,79291.4,75058.17,87697.94,109673.0,114192.05,140331.33,176901.6,146576.32,110753.34,66286.51,48178.95,66674.89,59626.25,82021.47,102650.23,63129.82,74388.76,71711.63,63842.68,57792.1,63755.28,78586.8,88986.63,109608.76,88347.41,88651.87,86132.49,91828.46,113424.12,125902.55,133089.13,123288.36,154960.21,182748.0,166538.55,132118.59,156874.17,155168.43,133930.34,150330.15,110009.09,116832.41,122203.12,117605.05,92257.68,95178.95,100508.52,86418.74,72256.28,74510.47,87728.62,73513.53,51168.65,63563.19,69614.23,64414.62,65264.02,71583.6,93106.67,83409.2,93943.7,107557.78,104835.79,120042.56,140951.52,127999.97,128991.4,148269.33,124804.7,136449.41,132624.94,129243.58,115200.65,129459.17,141730.26
155,79107.66,66579.54,61300.54,79461.81,80771.92,56511.14,68485.15,78354.5,60288.36,65984.78,79942.94,78451.31,93297.32,112358.49,117735.19,144596.83,178584.0,153437.08,104358.58,54747.2,47335.81,68673.09,60708.47,82716.78,101678.53,62938.88,72911.0,70751.48,61995.24,54839.81,64872.48,80430.11,91751.21,112278.62,91801.51,88113.3,86454.63,95267.87,114117.19,130878.02,139527.09,126003.95,163088.36,185459.18,169988.94,132990.49,160717.48,160994.1,137984.46,152531.87,115553.09,120083.9,120830.7,117806.53,93367.12,98595.49,102252.55,82512.69,77892.75,80314.29,90212.19,68945.57,48486.36,63258.25,72710.72,64814.29,66971.24,75193.16,92396.89,84844.49,95667.02,107870.24,104545.06,126851.56,143810.87,126741.72,132446.41,152782.34,130983.32,138174.18,137416.57,130840.66,114467.34,134303.55,143880.93
156,78844.4,69770.6,62835.58,78585.82,79338.81,60558.09,68589.85,78030.38,63477.8,66378.2,81485.67,81490.22,97558.91,114426.91,117340.84,145455.06,191832.36,155925.75,107991.87,54463.21,49728.16,72969.8,61118.59,87581.74,105146.67,65118.1,72168.93,70761.45,62598.82,56459.12,69224.53,83434.71,94854.26,116999.16,92652.32,87382.73,87902.74,97756.93,123108.86,135679.78,140670.5,129635.06,166262.6,180607.91,166459.17,135873.15,167191.15,158286.48,145219.37,146944.0,120219.54,123939.45,124093.84,120013.27,97215.2,98554.66,98147.6,82083.56,81167.18,83927.22,91120.93,70241.34,52900.94,69443.8,72428.42,62767.93,69903.59,77771.7,92415.0,80831.71,99398.37,109494.08,109383.74,127637.48,153116.93,131938.31,136887.68,149127.57,129904.49,148078.96,137394.29,132919.02,117160.45,134320.1,148302.21
