,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984
10,3001.99,2935.89,2736.19,2396.92,3378.02,2943.59,2902.51,2151.54,3351.68,2991.59,2766.92,2758.42,2879.51,2618.77,2694.11,3331.53,3064.93,2258.69,3103.55,3010.93,2579.06,2943.9,3027.86,2714.33,3074.76,3183.59,2985.87,3247.32,3382.91,2172.7,2141.35,2060.01,2973.5,3358.72,2603.16,3679.67,3263.21,1952.7,3314.32,2958.72,2787.87,2649.62,3151.55,2824.88,2934.03,3279.54,2362.98,2830.17,2777.58,3034.55,3130.68,2929.86,2914.08,2778.73,3324.49,3228.54,2745.83,2494.81,3313.62,2804.81,2760.08,3076.68,2664.41,2956.42,2972.5,2946.09,2618.85,2856.22,3028.53,2701.1,2841.96,2642.19,2994.32,2586.98,2371.76,3034.7,2813.98,2655.55,2781.77,2863.73,3332.61,2671.73,3341.98,2944.24,2916.1
11,3458.64,3144.48,2926.68,2779.79,3674.12,3280.97,3133.77,2536.5,3695.63,3290.45,2944.64,3033.55,3029.22,2878.23,2830.43,3601.7,3196.41,2442.26,3305.64,3180.03,2591.75,3322.44,3285.07,3078.72,3517.97,3502.38,3322.2,3591.26,3657.44,2527.44,2242.91,1893.14,3136.5,3691.18,2882.31,3940.73,3463.98,2179.12,3471.79,3145.1,2928.15,2728.75,3435.78,3128.09,3265.52,3600.02,2700.49,3044.94,3021.95,3389.65,3386.46,3292.58,3304.9,3083.05,3750.24,3520.77,3048.92,2752.68,3639.85,3159.73,3090.14,3364.79,3048.17,3282.43,3174.05,3188.81,2888.6,3202.02,3320.02,2802.47,3311.9,3098.2,3318.66,2643.85,2461.7,3245.23,3179.02,2902.39,3088.82,3249.34,3537.34,2955.05,3639.52,3189.35,3142.96
12,3822.49,3472.71,3344.32,3089.84,4013.6,3657.09,3294.01,2917.21,3964.95,3471.59,3281.06,3296.13,3260.29,3266.98,3145.08,3798.12,3376.63,2872.6,3547.73,3406.59,2980.5,3579.49,3593.68,3448.71,3932.23,3817.18,3557.37,3863.11,4198.93,2825.57,2579.72,2124.23,3534.24,4171.6,3140.7,4424.53,3834.96,2505.96,3671.73,3384.52,3196.14,3051.78,3916.77,3495.72,3627.73,4007.33,2974.22,3261.41,3320.1,3727.74,3918.84,3671.08,3583.41,3427.94,4078.14,3674.17,3232.89,3068.75,4047.01,3354.18,3515.74,3483.03,3429.69,3643.82,3515.04,3501.34,3263.79,3445.97,3422.31,3031.0,3701.58,3490.79,3597.89,2940.16,2942.64,3821.5,3405.29,3041.79,3472.59,3608.61,3780.35,3047.28,4033.37,3487.69,3546.17
13,4202.17,3778.72,3596.44,3275.47,4475.57,3902.36,3457.05,3079.5,4121.53,3614.12,3618.35,3541.7,3412.33,3590.96,3376.94,4019.53,3451.86,3252.35,3845.8,3384.33,3237.79,3945.0,4037.29,3745.19,4247.61,4101.7,3909.18,4090.69,4496.94,3291.42,3071.08,2383.16,3370.0,4775.75,3313.41,4968.54,4231.65,2717.31,3915.59,3637.84,3260.59,3230.95,4445.81,3748.2,4034.1,4294.06,3373.56,3366.83,3462.97,4089.19,4359.34,3880.32,3815.18,3787.64,4500.05,3973.35,3355.31,3353.62,4254.49,3485.97,3942.38,3816.28,3750.28,3963.42,3813.72,3747.12,3656.8,3550.38,3675.43,3187.81,4127.49,3830.82,3731.74,3122.98,3549.37,4253.37,3580.48,3271.36,3694.85,4039.7,3918.34,3245.61,4386.09,3558.31,4027.54
14,4639.24,4058.44,3720.13,3541.41,4885.86,4074.77,3368.17,3494.78,4459.6,3985.95,3850.78,3928.53,3620.69,3797.66,3748.75,4284.87,3847.76,3468.46,4255.53,3920.7,3430.65,4385.38,4387.84,3950.25,4410.84,4085.92,4252.49,4601.69,4856.21,3699.05,3411.26,2673.09,3642.96,4796.41,3363.71,5356.42,4503.8,2799.91,4188.41,3893.72,3563.03,3326.34,4895.42,4139.15,4309.2,4434.27,3502.13,3697.49,3779.75,4410.07,4569.64,4172.57,4115.43,4153.21,4741.04,4539.64,3675.4,3702.37,4642.8,3707.64,4346.71,4092.08,4007.79,4312.68,4089.31,3854.57,4021.6,3752.93,3862.13,3518.79,4513.29,4199.69,3940.06,3539.22,3999.96,4551.26,3840.19,3542.24,4048.68,3925.33,4352.52,3411.15,4826.72,3836.77,4268.79
15,5327.66,4481.24,3833.57,3912.95,5100.36,4290.89,3661.78,3976.93,4950.2,4161.45,4111.88,4337.76,3895.26,3980.48,4329.4,4516.28,4069.43,3721.15,4691.93,4169.18,3729.53,4951.48,4508.5,4136.82,4644.24,4245.6,4643.62,5186.51,5102.76,4224.83,3340.45,2257.09,4340.36,5159.8,3911.8,5642.08,4498.96,2955.82,3907.27,4214.19,3727.29,3463.71,5351.36,4343.25,4702.92,5012.99,3640.16,4281.61,4057.77,4828.84,4923.51,4442.98,4181.89,4610.16,5192.59,4872.55,4040.88,3999.35,4999.46,4032.13,4742.81,4226.08,4481.76,4651.93,4418.9,4252.88,4368.56,4321.68,4217.59,3676.94,4950.17,4517.64,4133.54,3618.46,4324.76,4865.65,4053.21,3986.78,4414.67,4138.41,4673.66,3872.51,5301.19,4119.13,4576.75
16,5326.4,4746.68,4031.09,4103.96,5114.91,4446.7,3804.46,4486.04,5404.07,4367.46,4485.65,4613.2,4062.46,4287.79,4503.78,4903.64,4208.83,4137.4,5320.91,4175.82,4134.74,5440.43,4568.09,4405.77,5085.05,4559.1,5094.25,5634.83,5460.83,4233.69,3273.05,2234.21,5945.16,4890.42,4516.86,5608.79,4567.41,3266.12,4339.14,3881.34,3925.6,3793.38,5856.81,4705.94,5170.37,5301.99,3849.03,4784.19,4311.47,5288.54,5217.37,4725.96,4487.69,5086.18,5450.04,4989.21,4481.1,4412.01,5354.01,4267.19,5067.78,4166.28,4851.09,4973.72,4761.8,4289.26,4725.45,4700.56,4636.52,3498.95,5154.41,4742.55,4282.77,3775.55,4893.37,5107.91,4317.78,4481.31,4588.11,4620.59,4855.77,4157.36,5808.14,4369.76,4970.37
17,6161.81,4995.1,4072.22,4390.52,5456.54,4785.5,3953.4,4775.32,5785.91,4425.57,4861.48,4894.96,4127.46,4547.79,4840.31,5238.13,4586.62,4434.97,5759.27,4384.08,4070.99,5675.73,4670.46,4779.43,5466.07,5071.39,5446.8,5628.35,5848.45,4057.75,3439.76,2187.16,7293.85,5239.66,4977.1,6138.81,4669.04,3629.67,4700.36,3809.16,4357.79,4285.51,6251.19,5221.99,5550.41,5544.96,4271.31,5276.21,4349.53,5669.57,5416.39,5148.53,4602.17,5412.72,6061.67,5237.41,4835.26,4801.04,5581.96,4709.14,5272.23,3924.16,5124.09,5217.37,4797.87,4525.75,4937.95,5108.09,4655.49,3750.48,5330.03,5030.22,4454.47,4055.72,5303.85,5417.97,4620.66,4774.76,4966.5,5215.89,5161.13,4186.96,6175.91,4546.12,5363.05
18,6013.57,5392.35,4152.33,4863.81,5914.99,4934.02,4394.22,5243.55,6155.19,4470.73,5122.56,5183.26,4469.49,4566.24,5105.42,5448.35,4742.84,4765.81,6245.68,4664.73,4345.19,6007.63,4792.46,5299.44,5911.49,5580.29,5857.9,5954.29,6671.19,4243.64,3842.85,2595.84,8192.69,5262.74,5531.14,6799.16,5244.04,4683.57,5102.5,4227.37,4881.41,4744.13,6673.15,5648.42,5713.84,5659.2,4835.32,5430.02,4898.13,5535.27,5810.93,5591.19,4956.15,5926.36,6805.61,5814.46,5215.13,5217.77,6090.38,4862.05,5532.64,4299.39,5320.28,5695.93,5065.01,4788.53,5303.2,5372.63,4711.1,4033.0,5566.06,5265.52,4773.35,3829.25,5589.51,5830.82,4944.86,5033.28,5302.18,5748.67,5313.87,4459.04,6483.07,4764.18,5750.8
19,6382.45,5822.88,4290.79,5318.71,6424.47,5596.86,4328.66,5764.11,6594.31,4867.64,5149.71,5591.82,4879.64,4850.54,5617.69,5779.55,4887.41,5107.14,6101.88,4760.72,4578.19,6533.69,5105.68,5778.41,6282.82,6097.67,6468.66,6438.53,7345.27,4465.04,4002.2,4313.58,8063.0,5331.05,6203.16,7223.41,5583.66,4996.24,5307.38,4607.05,5146.73,5006.65,6621.5,5848.05,6017.74,5825.26,5017.94,5550.53,5373.43,6180.33,6371.67,5903.86,5264.18,6335.56,7046.45,6059.12,5192.74,5701.05,6332.1,5200.02,6016.51,4698.68,5750.97,5885.08,5439.53,4759.84,5667.87,5525.87,4958.85,4434.07,5739.68,5736.15,4953.11,3937.47,5443.19,6058.66,5098.8,5681.51,5841.77,6220.22,5620.11,4757.66,6582.99,5486.9,5901.98
