,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
10,558.66,558.72,559.01,559.32,559.56,559.58,559.9,560.51,560.59,560.68,560.98,561.11,561.84,561.94,561.7,561.5,561.54,562.3,562.62,563.27,564.05,562.96,562.06,561.67,560.98,560.45,559.69,559.25,559.66,559.52,559.21,559.8,559.64,558.89,558.14,557.51,557.38,557.24,556.78,556.3,555.71,556.18,556.83,556.86,556.7,556.28,556.15,556.52,556.55,556.41,556.81,557.28,557.66,557.9,556.62,557.93,559.0,560.52,559.49,562.29,561.14,560.85,560.96,561.22,561.65,561.92,563.98,564.55,565.64,569.0,570.72,567.3,567.54,569.41,571.73,572.81,571.41,570.84,573.89,576.95,582.26,590.76,585.99,582.03,585.75,579.57,571.02,574.56,575.15,573.36,574.31,572.03,569.32,565.98,570.6,567.82,568.39,567.57,564.38,566.21
11,610.23,610.33,610.68,611.04,611.33,611.33,611.75,612.47,612.51,612.67,613.0,613.16,614.09,614.07,613.86,613.57,613.69,614.62,614.92,615.79,616.65,615.19,614.28,613.75,612.95,612.33,611.41,610.95,611.48,611.2,610.9,611.66,611.34,610.48,609.57,608.86,608.74,608.54,607.98,607.42,606.71,607.4,608.08,608.11,607.9,607.4,607.28,607.75,607.73,607.58,608.1,608.64,609.09,609.21,607.89,609.43,610.82,612.16,611.45,614.69,613.09,612.92,612.93,613.32,613.78,614.28,616.46,617.47,618.74,622.94,624.03,620.35,620.81,622.89,625.58,626.96,624.97,624.82,628.58,632.38,639.03,648.09,641.58,638.27,641.84,634.43,624.7,629.23,629.9,627.43,628.51,625.71,622.81,618.95,624.63,620.76,621.64,620.56,616.76,619.44
12,667.95,668.1,668.51,668.93,669.26,669.23,669.79,670.62,670.6,670.85,671.22,671.39,672.57,672.39,672.22,671.83,672.05,673.17,673.44,674.57,675.5,673.6,672.72,672.02,671.11,670.38,669.26,668.8,669.48,669.03,668.76,669.7,669.18,668.22,667.12,666.33,666.22,665.96,665.29,664.64,663.79,664.76,665.44,665.48,665.21,664.61,664.52,665.1,665.0,664.87,665.52,666.12,666.66,666.58,665.33,667.04,668.75,669.88,669.69,673.32,671.23,671.19,671.06,671.65,672.12,672.86,675.03,676.57,678.13,683.35,683.56,679.71,680.45,682.85,685.84,687.37,685.06,685.34,689.77,694.57,702.31,712.65,703.66,701.02,704.46,695.72,684.72,690.19,691.1,688.11,689.12,685.7,682.54,678.18,685.05,679.95,681.36,679.69,675.4,679.19
13,725.83,726.02,726.51,726.99,727.37,727.32,728.03,728.96,728.89,729.22,729.63,729.85,731.26,730.92,730.78,730.3,730.64,731.95,732.19,733.6,734.56,732.21,731.35,730.47,729.44,728.59,727.28,726.82,727.64,727.02,726.8,727.91,727.17,726.08,724.8,723.92,723.83,723.49,722.7,721.96,720.98,722.24,722.93,722.97,722.63,721.92,721.88,722.56,722.39,722.27,723.07,723.74,724.34,724.07,722.92,724.75,726.76,727.72,728.08,732.05,729.52,729.64,729.44,730.16,730.67,731.79,733.85,735.97,737.92,743.81,743.33,739.44,740.53,743.13,746.41,748.19,745.62,746.3,751.42,758.33,766.64,777.89,766.45,764.49,767.75,757.17,745.2,751.29,752.81,749.36,750.0,746.24,742.4,737.83,745.66,739.51,741.3,739.1,734.45,739.18
14,783.86,784.11,784.68,785.21,785.63,785.58,786.44,787.48,787.36,787.78,788.24,788.52,790.15,789.66,789.54,788.98,789.45,790.94,791.2,792.88,793.83,791.04,790.18,789.11,787.95,786.95,785.46,785.02,785.96,785.17,785.01,786.27,785.31,784.08,782.6,781.65,781.56,781.13,780.22,779.37,778.3,779.84,780.53,780.56,780.15,779.35,779.36,780.13,779.89,779.8,780.75,781.49,782.14,781.61,780.66,782.67,784.99,785.67,786.69,790.84,787.97,788.22,788.01,788.93,789.43,790.99,792.84,795.76,798.09,804.52,803.13,799.46,800.98,803.93,807.58,809.37,806.61,807.67,813.56,822.99,831.64,843.53,829.65,828.91,831.89,818.44,806.04,812.92,815.11,811.13,811.44,807.28,802.37,798.12,806.47,799.67,801.75,798.85,793.9,799.33
15,842.04,842.36,843.01,843.61,844.06,844.03,845.05,846.18,846.04,846.55,847.04,847.42,849.24,848.6,848.5,847.86,848.49,850.15,850.46,852.42,853.29,850.09,849.2,847.94,846.63,845.48,843.8,843.41,844.43,843.49,843.41,844.79,843.6,842.21,840.53,839.5,839.41,838.88,837.84,836.86,835.75,837.55,838.25,838.27,837.77,836.88,836.96,837.8,837.5,837.46,838.57,839.39,840.12,839.21,838.58,840.9,843.43,843.69,845.59,849.86,846.63,846.92,846.8,847.91,848.39,850.34,852.08,855.76,858.48,865.82,863.3,859.87,861.75,865.32,869.5,870.83,867.91,869.54,876.21,887.39,897.76,909.92,893.33,894.22,896.35,879.76,867.8,875.24,877.78,873.48,873.26,868.66,862.64,859.08,867.54,860.31,862.67,858.86,853.56,859.6
16,900.38,900.77,901.5,902.18,902.66,902.66,903.86,905.06,904.9,905.5,906.05,906.55,908.52,907.76,907.65,906.95,907.77,909.59,909.98,912.21,912.95,909.35,908.41,906.94,905.49,904.17,902.31,901.97,903.06,901.97,902.0,903.47,902.03,900.46,898.57,897.49,897.38,896.74,895.56,894.43,893.32,895.38,896.09,896.09,895.49,894.52,894.68,895.59,895.22,895.25,896.51,897.43,898.4,896.98,896.64,899.19,902.13,901.88,904.82,909.15,905.42,905.83,905.76,907.07,907.56,909.95,911.75,916.22,919.3,927.9,924.2,920.55,922.99,927.14,931.72,932.93,929.65,931.98,939.4,951.39,964.96,976.89,957.54,960.84,960.96,941.77,930.43,938.29,940.67,936.26,935.51,930.35,923.27,920.56,928.65,921.46,923.81,919.17,913.76,920.51
17,958.88,959.34,960.17,960.92,961.42,961.48,962.86,964.12,963.96,964.66,965.24,965.91,968.0,967.13,966.99,966.26,967.28,969.24,969.77,972.26,972.79,968.83,967.82,966.14,964.53,963.0,960.98,960.72,961.83,960.61,960.78,962.29,960.61,958.84,956.75,955.6,955.47,954.71,953.38,952.1,951.03,953.33,954.05,954.02,953.32,952.27,952.53,953.49,953.05,953.17,954.59,955.61,956.87,954.87,954.85,957.58,961.16,960.25,964.3,968.49,964.53,964.96,964.96,966.42,966.94,969.82,971.8,976.85,980.63,990.33,985.52,981.52,984.61,989.31,994.19,995.4,991.63,994.94,1002.79,1015.6,1032.42,1045.19,1022.7,1028.33,1025.57,1004.26,993.33,1001.68,1003.55,999.28,998.35,992.32,984.13,982.33,989.71,983.09,985.11,979.64,974.53,981.48
18,1017.53,1018.08,1019.01,1019.84,1020.35,1020.49,1022.06,1023.36,1023.22,1024.01,1024.64,1025.51,1027.67,1026.71,1026.52,1025.78,1027.03,1029.11,1029.82,1032.57,1032.82,1028.53,1027.41,1025.51,1023.73,1021.98,1019.81,1019.65,1020.75,1019.42,1019.75,1021.25,1019.33,1017.33,1015.04,1013.84,1013.68,1012.78,1011.31,1009.84,1008.88,1011.4,1012.13,1012.06,1011.23,1010.14,1010.5,1011.49,1011.0,1011.22,1012.8,1013.93,1015.34,1012.8,1013.29,1016.21,1020.49,1018.96,1024.04,1027.81,1023.86,1024.37,1024.38,1025.99,1026.52,1030.11,1032.22,1037.59,1042.44,1052.83,1047.36,1042.81,1046.8,1052.12,1057.24,1058.27,1054.03,1058.51,1066.68,1080.75,1101.38,1114.0,1088.93,1096.4,1090.86,1066.71,1056.72,1065.67,1066.63,1062.73,1061.61,1054.3,1045.17,1044.65,1051.18,1045.03,1046.5,1040.35,1035.5,1042.71
19,1076.35,1076.99,1078.02,1078.93,1079.44,1079.7,1081.47,1082.79,1082.68,1083.57,1084.24,1085.36,1087.53,1086.51,1086.24,1085.53,1087.03,1089.21,1090.14,1093.14,1093.02,1088.45,1087.19,1085.06,1083.12,1081.1,1078.79,1078.78,1079.82,1078.4,1078.92,1080.36,1078.2,1075.95,1073.46,1072.22,1072.0,1070.95,1069.33,1067.67,1066.87,1069.6,1070.34,1070.21,1069.25,1068.11,1068.6,1069.59,1069.06,1069.42,1071.14,1072.4,1073.98,1070.91,1071.94,1075.18,1080.02,1078.13,1084.03,1087.25,1083.5,1083.96,1083.98,1085.76,1086.36,1090.84,1093.01,1098.53,1104.56,1115.79,1109.41,1104.49,1109.6,1115.54,1121.03,1121.48,1116.87,1122.32,1131.13,1147.27,1171.79,1182.73,1156.24,1164.62,1156.74,1129.42,1120.84,1130.32,1130.22,1126.88,1124.97,1116.39,1106.38,1107.29,1113.17,1107.13,1108.29,1101.23,1096.91,1104.04
