,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990
10,2960.79,2908.45,2748.72,2476.9,3265.35,2915.62,2882.71,2279.48,3245.1,2955.19,2775.05,2768.69,2866.66,2657.17,2718.2,3229.37,3014.38,2366.11,3048.9,2974.37,2627.4,2920.26,2985.67,2733.58,3022.51,3109.02,2949.48,3159.37,3268.4,2296.71,2271.19,2206.65,2941.48,3248.97,2641.25,3504.82,3168.14,2117.66,3213.62,2923.79,2786.5,2675.66,3081.85,2817.26,2905.1,3182.04,2446.37,2820.98,2778.91,2984.78,3061.64,2902.93,2890.37,2781.6,3218.49,3142.61,2756.6,2556.28,3212.77,2807.11,2770.02,3023.45,2692.77,2927.47,2940.78,2919.94,2659.62,2850.63,2989.93,2730.43,2845.35,2681.87,2964.29,2639.36,2468.78,3001.72,2823.33,2695.31,2799.93,2868.67,3250.73,2728.29,3262.68,2938.73,2919.77,3013.92,2939.37,2459.9,2887.03,2999.76,2660.49
11,3377.94,3126.81,2952.62,2835.22,3554.11,3237.45,3119.31,2639.85,3572.45,3246.39,2968.94,3040.88,3038.28,2916.86,2879.22,3497.61,3170.98,2564.6,3262.83,3161.75,2688.94,3275.78,3243.63,3077.55,3429.68,3416.1,3270.35,3486.38,3539.79,2632.22,2403.63,2123.06,3123.84,3566.99,2916.04,3764.83,3379.48,2349.85,3391.27,3123.44,2949.21,2789.27,3360.81,3111.19,3221.71,3489.7,2767.57,3043.61,3025.26,3320.04,3316.96,3245.13,3254.97,3076.45,3610.73,3427.93,3051.15,2814.16,3525.85,3143.58,3086.23,3306.0,3052.02,3240.45,3154.01,3166.4,2927.94,3180.35,3276.28,2865.0,3275.22,3100.09,3277.11,2737.82,2594.08,3224.24,3168.95,2946.6,3100.39,3232.89,3471.06,3012.29,3556.44,3190.99,3157.18,3407.52,3236.38,2686.2,3199.59,3325.15,3018.96
12,3738.91,3457.79,3354.87,3150.19,3896.53,3607.49,3315.04,3011.22,3858.49,3459.69,3306.25,3318.94,3291.12,3296.29,3198.62,3724.31,3383.05,2976.44,3525.67,3411.81,3067.78,3550.7,3560.09,3442.58,3832.1,3737.82,3526.9,3773.66,4045.06,2936.44,2738.09,2371.3,3511.34,4023.03,3189.42,4224.13,3745.73,2675.61,3619.59,3382.24,3230.05,3114.27,3816.24,3473.5,3580.18,3885.62,3052.27,3283.59,3330.78,3659.46,3813.39,3617.08,3546.32,3420.25,3943.55,3619.1,3265.52,3133.78,3922.91,3367.49,3495.92,3469.11,3425.97,3599.17,3495.86,3485.63,3296.5,3444.92,3427.36,3116.81,3658.26,3484.28,3571.12,3043.16,3047.91,3758.07,3420.09,3126.86,3479.44,3593.7,3740.31,3158.66,3946.89,3502.98,3553.49,3697.04,3690.6,3049.17,3564.24,3527.48,3267.57
13,4095.86,3757.09,3611.01,3351.9,4317.37,3858.7,3499.16,3192.8,4040.7,3628.43,3631.54,3570.1,3466.65,3611.24,3438.37,3957.08,3497.05,3338.6,3819.89,3448.06,3328.65,3897.91,3969.73,3734.88,4138.8,4020.15,3862.78,4011.26,4337.88,3369.46,3196.02,2631.14,3434.95,4553.14,3380.24,4705.03,4115.46,2894.95,3868.82,3638.54,3332.51,3309.48,4289.82,3729.41,3958.27,4168.83,3428.19,3420.26,3498.0,4001.85,4217.54,3839.2,3786.29,3762.24,4332.29,3912.45,3416.52,3416.16,4145.59,3527.35,3891.83,3790.69,3737.45,3909.67,3789.89,3737.79,3667.32,3584.09,3686.13,3296.21,4054.52,3812.66,3735.5,3243.27,3599.52,4159.71,3616.66,3366.37,3715.12,3999.0,3912.67,3375.65,4288.16,3618.17,3999.24,4145.23,4161.83,3403.54,3933.08,3718.19,3861.73
14,4497.58,4035.46,3763.63,3619.27,4697.58,4051.88,3480.32,3583.67,4365.15,3980.99,3872.24,3935.63,3688.07,3831.16,3792.54,4224.37,3869.41,3565.46,4203.18,3934.12,3536.66,4305.25,4305.0,3953.59,4326.03,4065.69,4191.72,4471.4,4678.03,3754.22,3526.12,2920.22,3707.92,4629.91,3471.72,5065.88,4387.25,3006.19,4141.08,3897.09,3628.63,3436.77,4700.98,4096.09,4232.33,4337.25,3582.08,3739.32,3805.36,4311.93,4440.52,4127.09,4080.65,4108.8,4579.88,4417.32,3727.76,3750.99,4509.14,3759.57,4270.01,4066.38,3998.49,4243.81,4065.59,3879.63,4015.44,3802.3,3891.89,3619.27,4418.9,4164.37,3959.4,3637.0,4022.2,4455.7,3881.69,3640.56,4057.08,3968.4,4321.02,3566.33,4698.8,3901.79,4252.69,4632.56,4585.46,3765.69,4195.96,4071.61,4231.13
15,5097.98,4428.39,3908.47,3972.92,4925.18,4280.12,3770.44,4029.59,4809.56,4176.6,4136.3,4319.42,3963.28,4032.29,4316.84,4465.02,4101.7,3822.93,4608.1,4189.09,3832.54,4812.87,4457.42,4157.9,4568.24,4249.44,4558.97,4990.03,4930.81,4236.61,3510.05,2591.39,4320.83,4973.34,3968.11,5347.95,4440.7,3180.21,3973.79,4207.35,3812.78,3598.69,5117.39,4313.6,4600.69,4848.68,3743.84,4263.17,4081.71,4699.69,4776.59,4397.66,4188.93,4528.9,4992.04,4737.79,4075.9,4043.57,4848.38,4074.91,4641.85,4228.85,4433.14,4570.26,4384.58,4253.96,4349.37,4314.25,4233.35,3801.03,4824.24,4475.7,4171.73,3753.2,4341.44,4764.96,4109.38,4057.74,4409.26,4199.68,4640.58,4002.41,5136.69,4189.38,4560.08,5009.28,4819.74,4004.43,4592.09,4346.71,4581.53
16,5154.85,4695.64,4121.12,4179.95,4996.18,4460.32,3938.69,4497.94,5225.17,4396.79,4491.56,4595.37,4151.8,4334.04,4510.55,4829.16,4267.93,4215.9,5167.77,4249.32,4215.58,5259.51,4561.22,4428.5,4974.12,4554.79,4974.07,5401.68,5270.54,4291.73,3498.11,2608.97,5658.94,4823.48,4510.97,5383.91,4551.78,3484.88,4372.24,3993.09,4024.42,3917.96,5573.05,4657.73,5027.8,5133.71,3963.65,4721.22,4338.34,5120.11,5065.47,4678.36,4488.1,4964.37,5252.75,4886.79,4484.65,4430.65,5186.47,4318.5,4957.05,4236.58,4784.14,4883.06,4714.4,4339.33,4691.69,4674.43,4626.16,3708.19,5045.51,4712.77,4349.24,3934.14,4861.85,5017.73,4379.02,4516.26,4607.06,4645.96,4850.52,4293.09,5600.87,4452.65,4936.47,5298.58,5095.77,4197.55,5021.98,4756.99,4842.28
17,5872.09,4949.05,4208.12,4464.56,5323.74,4785.99,4112.49,4785.18,5584.8,4498.38,4848.63,4876.32,4257.86,4598.06,4835.98,5151.37,4625.95,4510.9,5574.83,4472.08,4213.61,5503.29,4699.29,4783.33,5332.9,5017.48,5310.87,5454.67,5633.55,4194.7,3682.98,2607.95,6793.25,5155.98,4935.99,5855.35,4688.95,3834.02,4715.0,3988.11,4425.89,4369.86,5941.48,5124.81,5385.59,5382.77,4358.25,5170.8,4421.41,5478.34,5279.86,5070.14,4635.0,5280.18,5790.81,5140.25,4824.13,4798.49,5425.64,4728.57,5176.3,4098.55,5058.12,5133.94,4799.36,4584.85,4917.67,5057.76,4698.37,3967.61,5244.4,5000.38,4544.99,4216.68,5252.01,5324.6,4679.68,4810.35,4969.86,5182.98,5158.8,4374.58,5956.24,4656.93,5312.04,5709.27,5559.92,4679.99,5436.13,5153.58,5125.15
18,5812.83,5322.06,4326.65,4901.24,5743.26,4960.95,4521.77,5219.47,5934.82,4590.05,5113.22,5163.08,4588.11,4666.6,5103.89,5375.7,4806.12,4833.53,6020.64,4753.34,4489.73,5824.91,4853.14,5255.8,5743.01,5478.03,5694.58,5770.1,6336.42,4396.62,4065.42,2998.48,7567.68,5233.96,5437.13,6428.2,5200.77,4760.59,5090.14,4376.98,4901.44,4794.44,6331.86,5520.38,5571.18,5530.89,4868.54,5347.21,4915.96,5426.86,5648.89,5478.26,4972.91,5745.89,6432.84,5655.02,5184.56,5189.04,5884.97,4906.17,5440.4,4454.54,5270.85,5571.74,5069.07,4851.78,5267.35,5326.53,4800.44,4252.43,5491.81,5246.34,4858.64,4083.92,5539.9,5713.3,4997.9,5076.37,5298.74,5670.93,5346.9,4656.43,6264.8,4895.38,5684.29,5889.62,5977.52,4936.84,5835.03,5430.35,5428.23
19,6162.32,5721.88,4492.28,5323.49,6203.18,5544.61,4522.63,5697.1,6339.72,4963.69,5189.13,5547.09,4973.57,4950.7,5572.69,5696.08,4977.09,5164.96,5962.23,4886.23,4731.82,6301.97,5159.87,5695.51,6094.93,5945.29,6238.11,6211.0,6923.75,4627.97,4245.14,4497.38,7519.47,5347.22,6033.92,6818.34,5527.2,5067.32,5308.55,4735.27,5167.7,5059.64,6348.31,5734.38,5868.39,5719.49,5067.53,5497.05,5351.78,5994.26,6149.51,5783.13,5274.33,6128.11,6681.08,5906.21,5220.21,5634.07,6135.45,5232.67,5883.38,4829.98,5671.63,5779.65,5424.85,4886.02,5616.93,5506.21,5057.11,4634.33,5689.78,5681.11,5061.92,4226.63,5473.4,5955.63,5179.52,5661.17,5792.14,6111.16,5658.77,4960.0,6410.53,5540.11,5866.87,6272.6,6576.83,5134.61,6338.01,5340.27,5821.29
