,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
10,3003.37,2937.41,2737.53,2397.94,3379.64,2945.04,2903.86,2152.37,3353.43,2993.05,2768.1,2759.73,2880.91,2619.89,2695.36,3333.21,3066.33,2259.64,3105.14,3012.46,2580.17,2945.28,3029.44,2715.57,3076.24,3185.17,2987.26,3248.97,3384.61,2173.85,2142.36,2060.89,2974.63,3360.6,2604.36,3681.5,3264.93,1953.56,3315.88,2960.01,2789.04,2650.8,3152.99,2826.43,2935.49,3281.23,2364.08,2831.48,2778.92,3035.96,3132.26,2931.38,2915.48,2779.96,3326.24,3230.2,2747.13,2495.93,3315.3,2806.18,2761.28,3078.28,2665.49,2957.91,2973.97,2947.5,2619.99,2857.69,3029.95,2702.26,2843.15,2643.52,2995.8,2588.09,2372.74,3036.44,2815.45,2656.72,2783.09,2865.13,3334.25,2672.93,3343.44,2945.77,2917.42,3042.63,2960.21,2357.77,2890.11,3033.1,2608.7,2919.39,2867.1,2877.97,2781.82,3190.28,3129.02,3096.05,3002.54,2966.03
11,3460.1,3145.98,2927.99,2780.86,3675.76,3282.46,3135.11,2537.38,3697.43,3291.94,2945.79,3034.87,3030.57,2879.36,2831.64,3603.38,3197.76,2443.2,3307.21,3181.52,2592.76,3323.87,3286.65,3080.0,3519.54,3503.99,3323.62,3592.95,3659.15,2528.64,2243.86,1893.87,3137.61,3693.1,2883.52,3942.55,3465.67,2179.97,3473.31,3146.37,2929.27,2729.86,3437.24,3129.67,3267.01,3601.74,2701.62,3046.24,3023.28,3391.1,3388.05,3294.15,3306.37,3084.3,3752.08,3522.45,3050.24,2753.8,3641.57,3161.15,3091.39,3366.41,3049.3,3283.95,3175.51,3190.21,2889.74,3203.52,3321.46,2803.58,3313.18,3099.62,3320.17,2644.89,2462.63,3246.95,3180.55,2903.55,3090.16,3250.81,3538.96,2956.26,3641.0,3190.89,3144.26,3465.67,3264.27,2572.38,3212.33,3372.19,2988.74,3198.3,3218.26,3155.12,3000.25,3556.24,3419.06,3433.77,3385.6,3306.04
12,3843.21,3491.7,3362.51,3106.46,4035.45,3677.01,3311.86,2932.79,3986.69,3490.49,3298.73,3314.02,3278.02,3284.58,3162.11,3818.88,3394.92,2888.04,3567.12,3425.19,2996.54,3598.92,3613.35,3467.37,3953.63,3838.0,3576.66,3884.23,4221.88,2840.98,2593.66,2135.62,3553.15,4194.6,3157.7,4448.7,3855.98,2519.43,3691.69,3402.8,3213.34,3068.26,3938.0,3514.93,3647.51,4029.26,2990.31,3279.09,3338.14,3747.96,3940.24,3691.16,3602.9,3446.46,4100.51,3694.27,3250.43,3085.32,4069.13,3372.43,3534.72,3502.1,3448.1,3663.71,3534.2,3520.36,3281.38,3464.8,3440.88,3047.33,3721.52,3509.81,3617.5,2955.99,2958.43,3842.58,3423.92,3058.21,3491.44,3628.27,3800.97,3063.75,4055.18,3506.78,3565.36,3755.37,3760.87,2954.21,3595.88,3553.91,3228.26,3714.23,3485.13,3476.27,3341.95,3824.51,3800.9,3704.69,3831.78,3564.05
13,4223.49,3797.93,3614.58,3291.72,4498.44,3922.2,3474.41,3094.6,4142.73,3632.42,3636.4,3559.51,3429.5,3608.87,3393.82,4040.08,3469.22,3268.37,3865.39,3401.49,3253.81,3964.95,4057.89,3764.03,4269.29,4122.64,3928.93,4111.63,4520.08,3307.85,3086.16,2394.55,3386.8,4800.52,3329.97,4994.16,4253.36,2730.54,3935.45,3656.08,3276.81,3247.02,4468.4,3767.36,4054.61,4316.11,3390.34,3383.73,3480.41,4109.91,4381.67,3900.14,3834.52,3806.65,4523.25,3993.64,3372.15,3370.31,4276.33,3503.57,3962.19,3835.71,3768.98,3983.59,3833.06,3766.06,3675.04,3568.41,3693.96,3203.62,4148.24,3850.23,3750.71,3138.42,3566.86,4275.34,3598.67,3287.61,3713.5,4060.21,3938.32,3261.77,4408.36,3576.43,4047.83,4245.39,4282.11,3322.79,3984.74,3719.61,3894.1,3952.3,3811.52,3735.41,3741.21,4327.49,4239.96,4220.55,4091.3,3731.57
14,4661.4,4077.74,3737.62,3557.67,4909.44,4094.19,3383.9,3510.57,4481.17,4004.77,3868.7,3946.92,3637.62,3815.31,3766.15,4305.43,3865.75,3484.28,4275.82,3939.16,3446.37,4406.18,4408.87,3968.83,4432.04,4105.52,4272.62,4623.83,4879.82,3716.16,3426.69,2684.61,3659.82,4820.0,3379.29,5382.66,4525.57,2812.35,4208.33,3911.93,3579.44,3341.65,4918.92,4158.93,4329.78,4455.74,3518.29,3714.71,3797.46,4431.08,4591.72,4192.54,4134.95,4172.72,4764.14,4561.4,3692.52,3719.46,4665.25,3725.05,4367.19,4111.57,4026.47,4333.27,4108.72,3872.78,4040.32,3770.68,3880.31,3534.92,4534.63,4219.62,3958.77,3555.36,4018.31,4573.39,3858.37,3558.54,4067.77,3944.05,4373.34,3426.87,4849.85,3854.96,4288.99,4785.16,4742.46,3700.19,4239.81,4089.0,4282.13,4171.64,4160.86,3940.57,4105.33,4580.39,4474.04,4720.64,4480.69,4151.07
15,5351.75,4501.26,3850.42,3929.68,5123.73,4310.11,3677.64,3993.66,4972.82,4179.89,4129.8,4356.8,3912.24,3997.8,4348.19,4536.71,4087.25,3736.93,4713.01,4187.58,3745.4,4973.65,4528.89,4155.07,4665.32,4264.75,4664.33,5210.12,5126.3,4243.08,3354.49,2265.95,4359.1,5183.87,3928.61,5668.44,4519.51,2967.83,3924.76,4232.66,3743.28,3478.5,5375.74,4362.77,4724.09,5035.91,3655.79,4300.23,4075.55,4850.56,4946.01,4462.98,4200.54,4630.53,5216.56,4894.63,4058.46,4016.59,5022.35,4049.81,4763.88,4245.0,4501.37,4672.87,4438.61,4271.7,4387.66,4340.78,4236.18,3692.63,4972.3,4537.82,4151.94,3633.83,4343.39,4888.04,4071.18,4003.86,4434.22,4156.92,4694.74,3889.08,5325.29,4137.41,4597.15,5185.0,4961.68,3927.07,4661.77,4359.43,4646.36,4445.19,4363.57,4062.18,4507.48,4851.99,4575.11,5152.39,4944.31,4476.14
16,5349.35,4766.72,4047.67,4120.42,5137.21,4465.47,3819.84,4503.74,5427.53,4385.66,4504.02,4632.3,4079.06,4305.29,4522.21,4924.61,4226.16,4153.8,5343.55,4193.17,4151.19,5463.56,4587.62,4424.06,5106.9,4578.47,5115.76,5659.25,5484.79,4250.91,3285.81,2242.08,5969.38,4912.13,4535.06,5633.82,4587.12,3278.32,4357.35,3897.36,3941.34,3808.43,5882.25,4725.89,5192.42,5325.03,3864.45,4803.81,4329.21,5311.11,5240.02,4746.06,4506.53,5107.44,5474.0,5010.66,4499.4,4429.87,5377.3,4284.77,5089.12,4183.85,4871.14,4994.91,4781.85,4307.14,4744.94,4720.15,4655.76,3512.89,5176.29,4762.56,4300.7,3790.51,4913.24,5130.21,4335.76,4499.33,4607.3,4640.03,4876.51,4174.03,5833.3,4388.0,4991.33,5473.56,5232.67,4097.55,5125.84,4798.87,4899.45,4804.2,4658.94,4369.78,4928.85,5234.29,5282.49,5402.63,5201.4,4603.99
17,6187.11,5015.08,4087.94,4407.06,5479.16,4804.57,3968.36,4793.12,5809.86,4442.98,4880.29,4914.14,4143.31,4565.29,4859.03,5259.4,4604.39,4451.51,5782.64,4401.22,4086.22,5698.76,4689.35,4798.15,5488.4,5091.77,5468.68,5651.66,5872.95,4073.3,3452.18,2194.07,7322.3,5261.73,4996.05,6164.99,4688.1,3642.22,4718.96,3823.89,4374.18,4301.42,6277.18,5242.96,5572.94,5567.92,4287.34,5296.72,4366.41,5692.62,5438.78,5169.28,4620.43,5434.24,6087.1,5258.81,4853.92,4819.38,5605.11,4727.42,5293.34,3939.73,5144.18,5238.5,4817.02,4543.53,4957.25,5128.25,4673.78,3764.37,5351.56,5050.34,4472.05,4070.74,5324.3,5440.47,4638.8,4792.9,4986.15,5236.66,5182.05,4202.75,6201.51,4564.02,5384.54,5914.67,5741.29,4620.25,5570.25,5220.84,5179.16,4998.9,4963.35,4682.93,5355.54,5566.54,5840.15,5671.45,5430.25,5020.05
18,6037.27,5412.85,4167.4,4881.11,5938.4,4952.66,4409.82,5262.09,6179.56,4487.34,5141.37,5202.54,4485.63,4582.86,5124.16,5469.42,4760.24,4782.6,6269.91,4681.94,4360.47,6030.93,4810.81,5319.13,5934.55,5601.62,5880.35,5977.85,6697.93,4258.92,3855.74,2603.16,8223.54,5283.86,5551.15,6826.97,5264.32,4698.68,5121.63,4242.67,4898.72,4760.74,6699.79,5670.03,5735.98,5681.58,4852.41,5450.13,4916.06,5556.79,5833.85,5612.64,4974.76,5948.84,6832.98,5837.09,5234.22,5236.68,6114.51,4879.93,5553.74,4315.38,5340.13,5717.89,5084.19,4806.31,5322.88,5392.8,4728.62,4046.97,5587.49,5285.54,4791.14,3842.58,5610.04,5853.91,4963.24,5051.42,5322.11,5770.47,5334.37,4474.87,6508.86,4781.92,5772.77,6065.44,6190.32,4867.21,5995.08,5492.04,5483.4,5361.16,5228.44,4919.27,5816.5,5626.39,6451.9,6198.49,5949.7,5327.15
19,6406.55,5843.99,4305.44,5336.66,6448.81,5616.95,4343.17,5783.52,6619.36,4884.72,5167.7,5611.63,4896.29,4867.24,5637.3,5800.88,4904.4,5124.2,6124.61,4777.36,4593.38,6557.97,5124.23,5798.87,6306.29,6119.93,6492.39,6462.94,7373.6,4480.18,4014.78,4324.64,8092.42,5351.44,6224.58,7251.86,5604.22,5011.5,5326.3,4622.75,5164.06,5023.26,6646.94,5869.43,6040.05,5847.28,5034.77,5570.14,5392.11,6203.28,6395.72,5925.5,5282.95,6358.58,7073.74,6081.68,5210.83,5720.71,6356.16,5218.16,6038.42,4715.16,5771.42,5906.78,5459.11,4776.6,5687.92,5545.66,4976.33,4448.49,5760.79,5756.93,4970.61,3950.3,5462.29,6081.62,5116.79,5700.97,5862.69,6242.77,5640.78,4773.62,6608.15,5506.28,5923.54,6471.29,6867.91,5041.2,6549.94,5302.84,5898.84,5675.91,5586.92,5340.55,6109.69,6069.33,6737.4,6010.87,5977.73,5641.85
