,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
0,250.13,255.95,254.41,260.32,253.49,254.51,257.06,244.46,258.68,250.82,245.89,255.03,250.39,248.48,258.38,253.71,247.0,245.48,262.25,248.92,248.19,259.02,249.91,252.92,256.72,258.43,253.2,248.8,250.94,264.92,253.03,256.2,246.84,258.06,261.56,250.12,261.15,256.33,255.37,247.1,248.96,250.46,253.98,262.08,256.55,256.05,258.05,251.15,247.44,252.33,254.21,264.89,256.78,251.19,255.18,253.71,244.74,245.79,254.05,258.13,246.71,260.44,242.73,257.89,256.32,255.32,253.66,257.86,249.68,241.8,248.57,257.9,258.58,251.8,253.1,266.68,268.72,248.58,242.72,257.87,256.2,249.77,240.11,257.47,252.92,259.11,251.25,263.09,258.25,256.82
1,508.21,517.27,508.83,508.86,493.79,523.17,505.06,483.07,495.21,490.38,482.8,513.21,498.07,485.57,515.09,499.62,492.59,474.5,526.87,502.03,466.69,507.82,510.07,521.44,509.93,513.13,504.96,507.68,497.16,518.01,529.3,538.52,495.35,461.22,543.01,489.06,535.59,519.27,497.1,494.79,497.38,476.64,492.86,537.81,504.9,520.61,510.01,517.68,479.02,488.12,513.46,531.81,500.61,497.43,515.27,518.16,498.1,479.63,506.41,502.78,482.24,528.16,500.07,514.17,512.18,509.14,501.84,522.89,482.63,490.88,485.86,524.77,517.11,488.56,493.13,561.47,536.22,489.11,488.71,503.47,524.22,487.84,482.92,516.24,482.62,532.98,524.18,539.84,521.92,520.42
2,764.75,791.22,761.31,736.74,744.11,792.54,741.85,677.69,772.17,750.41,749.14,758.28,767.49,726.75,755.93,767.47,742.77,744.84,768.0,773.3,759.15,745.36,785.64,783.95,750.79,749.33,716.03,769.18,781.12,780.54,804.94,803.21,751.06,712.2,761.9,703.67,800.68,770.35,710.32,745.99,745.94,732.55,713.62,812.8,773.93,772.09,743.33,744.54,739.43,746.08,771.07,773.97,754.46,752.58,780.51,765.1,790.9,738.77,770.73,769.64,725.93,799.43,752.12,763.46,774.88,761.22,728.73,789.3,723.74,729.87,747.92,792.63,783.53,731.03,770.52,844.54,791.68,739.04,740.39,767.85,720.34,762.98,717.75,790.55,735.99,780.76,813.08,818.22,792.46,770.04
3,1027.56,1114.45,1041.5,957.25,1016.86,1034.78,983.49,933.95,1070.28,1039.19,982.82,1008.04,1046.24,979.22,990.13,1082.49,987.29,986.76,1015.57,1054.99,1006.56,1003.24,1090.26,1008.42,986.18,994.21,947.73,1042.43,1086.28,1028.05,1111.93,975.5,814.34,1047.08,1028.09,1013.0,1054.09,973.99,933.32,898.31,1006.73,961.85,936.27,1094.97,1012.71,1045.53,1046.72,967.95,1053.43,998.66,1048.12,1039.09,1005.55,966.28,1066.91,1045.86,1053.29,1009.54,1027.86,1035.66,988.33,1074.33,978.69,1054.02,1039.04,1024.05,1004.83,1056.22,1033.31,998.09,976.69,1073.99,1044.57,968.96,981.76,1108.46,1051.54,980.19,1028.94,1038.35,962.44,1024.99,1010.88,1076.72,991.34,1040.46,1087.34,1061.68,1035.93,1050.17
4,1232.26,1311.93,1292.37,1192.21,1249.65,1237.14,1210.61,1155.49,1382.95,1327.57,1220.51,1283.96,1299.47,1206.98,1250.82,1311.93,1263.28,1208.66,1304.97,1383.51,1198.6,1289.42,1387.92,1215.59,1237.7,1280.53,1208.48,1332.58,1373.59,1296.64,1299.21,1136.03,971.19,1603.18,1177.12,1346.41,1251.22,1184.03,1197.08,1184.72,1122.14,1195.83,1202.84,1392.36,1284.62,1338.72,1301.99,1204.41,1359.11,1246.19,1338.51,1294.99,1259.73,1225.64,1363.65,1294.92,1273.45,1301.59,1314.31,1304.3,1232.5,1338.17,1158.8,1328.21,1302.09,1292.16,1205.11,1328.41,1310.39,1283.88,1118.7,1312.96,1287.31,1195.09,1206.25,1433.62,1298.58,1231.68,1336.29,1269.87,1261.87,1260.72,1268.55,1375.63,1240.94,1320.39,1343.73,1314.84,1264.68,1344.54
5,1451.26,1691.77,1539.13,1383.55,1506.58,1505.04,1479.77,1374.93,1640.84,1604.96,1419.09,1563.91,1554.81,1404.49,1500.69,1581.9,1530.43,1488.73,1565.34,1676.07,1435.05,1447.59,1631.81,1427.21,1516.32,1558.08,1518.8,1604.38,1563.44,1574.33,1427.51,1356.79,1106.17,2125.9,1446.24,1650.34,1556.11,1396.06,1480.02,1459.16,1284.95,1492.18,1518.22,1671.38,1597.8,1616.72,1547.71,1499.35,1668.81,1436.96,1615.9,1530.25,1548.61,1439.0,1629.46,1621.33,1520.38,1576.34,1598.92,1547.29,1530.01,1574.77,1282.98,1581.46,1548.27,1486.87,1449.33,1566.5,1598.29,1473.91,1367.13,1544.0,1544.75,1423.64,1462.78,1724.85,1561.17,1493.39,1596.23,1550.61,1596.14,1523.69,1457.5,1650.82,1471.78,1604.01,1635.53,1623.16,1588.89,1639.84
6,1706.42,1840.36,1826.57,1579.94,1820.89,1803.8,1699.19,1679.48,1954.44,1882.19,1608.45,1814.15,1812.8,1678.8,1680.13,1833.3,1767.3,1708.61,1837.34,1985.5,1691.04,1702.0,1900.35,1639.86,1839.3,1855.22,1834.89,1893.96,1829.68,1960.12,1654.44,1655.11,1416.92,2547.27,1637.89,1987.09,1896.9,1728.65,2011.81,1747.54,1580.22,1821.07,1829.67,1960.09,1892.83,1841.0,1760.92,1842.71,1888.01,1770.04,1763.77,1813.6,1847.12,1714.45,1947.38,1987.63,1852.15,1861.1,1895.16,1859.09,1749.28,1825.02,1565.59,1814.06,1856.23,1739.02,1700.51,1846.63,1850.15,1667.83,1625.23,1788.82,1788.83,1691.19,1560.57,1983.57,1851.64,1762.62,1847.04,1822.9,1922.21,1748.73,1713.96,1914.45,1712.65,1890.0,1859.58,1922.54,1836.47,1934.59
7,1983.67,2119.66,2127.11,1790.34,2134.54,2120.69,2069.23,1822.17,2290.07,2180.58,1900.68,1992.17,2108.35,1977.41,1938.02,2162.55,2037.43,1922.36,2114.74,2121.82,1889.9,1942.87,2224.86,1905.55,2155.86,2136.0,2159.0,2243.92,2140.34,2318.32,1891.36,1867.99,2314.38,2686.64,1835.97,2367.61,2187.25,2001.37,2281.27,1980.51,1867.68,2071.92,2080.06,2128.06,2124.44,2102.92,1984.9,2066.35,2094.77,2087.13,2120.31,2145.78,2112.0,1978.5,2240.35,2232.53,2097.8,2022.99,2216.34,2104.67,2023.74,2140.02,1858.99,2115.17,2086.31,2023.5,1862.6,2129.21,2068.74,1915.27,1924.83,2015.79,2102.19,1918.13,1759.79,2108.14,2094.2,1981.08,2222.7,2158.46,2236.86,2015.78,1979.73,2125.67,2108.68,2111.01,2150.24,2288.85,2060.27,2270.07
8,2198.91,2366.84,2388.07,2009.28,2477.75,2383.22,2383.47,2063.18,2526.59,2440.23,2170.15,2153.07,2376.62,2253.23,2196.93,2494.28,2371.44,2101.22,2367.85,2412.57,2210.04,2247.18,2537.49,2175.64,2396.99,2439.47,2447.44,2618.01,2533.66,2658.78,2147.65,1879.36,2783.03,2925.11,2053.52,2670.63,2466.28,2004.16,2446.45,2427.04,2196.52,2337.81,2360.9,2427.32,2351.02,2489.44,1978.17,2276.04,2331.91,2372.1,2448.87,2456.53,2340.94,2155.75,2546.25,2580.7,2289.99,2205.88,2526.37,2285.64,2225.16,2380.57,2100.1,2421.45,2374.37,2339.96,2060.6,2412.49,2385.57,2178.17,2285.3,2312.51,2331.33,2204.39,1857.08,2344.5,2392.39,2212.33,2483.18,2441.18,2547.81,2122.01,2446.26,2442.74,2389.42,2328.64,2354.93,2479.12,2348.73,2532.09
9,2527.58,2600.79,2578.0,2210.81,2867.06,2670.37,2577.47,2126.15,2814.63,2707.41,2517.21,2423.36,2631.94,2450.29,2457.02,2878.4,2697.45,2264.38,2721.94,2784.34,2474.31,2536.76,2849.21,2408.46,2630.5,2771.56,2657.89,2841.14,2838.19,2661.67,2145.38,1922.76,2699.4,2925.56,2325.65,2993.25,2839.5,2007.76,2951.15,2707.31,2474.8,2516.09,2778.58,2666.65,2661.64,2840.57,2196.07,2587.36,2648.21,2688.49,2802.36,2707.19,2557.55,2472.68,2858.61,2721.44,2521.35,2341.98,2876.35,2540.61,2443.28,2660.26,2298.53,2683.5,2667.35,2643.29,2301.94,2666.41,2695.18,2456.44,2588.11,2526.31,2592.26,2538.99,2147.44,2700.62,2578.83,2421.95,2674.6,2621.9,2877.81,2409.61,2892.85,2711.12,2635.27,2613.15,2605.66,2470.45,2681.07,2791.51
