,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
10,2931.71,2886.82,2757.4,2537.14,3177.6,2893.5,2867.1,2377.29,3161.9,2926.73,2780.6,2775.61,2855.89,2685.73,2735.2,3150.17,2975.68,2449.46,3004.48,2944.78,2663.5,2900.48,2952.81,2747.61,2981.63,3051.34,2921.15,3091.36,3180.25,2390.93,2369.67,2317.95,2914.56,3163.38,2669.44,3370.36,3096.3,2243.26,3132.93,2897.12,2785.0,2695.39,3025.99,2810.87,2882.23,3106.73,2509.23,2813.79,2779.65,2946.75,3009.49,2880.91,2871.19,2783.08,3136.66,3076.32,2763.83,2602.4,3134.79,2807.91,2776.68,2982.14,2713.64,2904.62,2915.86,2899.22,2689.73,2845.34,2959.62,2751.81,2846.86,2710.9,2940.47,2678.32,2541.94,2975.52,2829.64,2725.06,2812.99,2871.69,3187.01,2770.52,3200.48,2933.32,2921.45,2992.08
11,3319.1,3112.63,2971.51,2876.72,3460.75,3203.48,3107.96,2718.82,3476.52,3212.06,2986.89,3045.55,3044.31,2945.6,2914.97,3416.93,3151.79,2659.76,3227.35,3146.26,2762.79,3238.27,3211.37,3075.91,3361.14,3349.46,3230.33,3405.52,3449.34,2711.93,2525.76,2298.73,3111.19,3470.11,2940.91,3629.76,3316.19,2480.02,3325.3,3107.26,2965.0,2835.72,3300.69,3097.71,3187.45,3404.6,2818.11,3042.69,3027.78,3267.12,3265.03,3207.02,3215.61,3070.75,3503.38,3356.42,3051.75,2860.33,3437.87,3130.38,3082.32,3260.51,3054.29,3207.74,3137.99,3148.56,2956.94,3162.82,3242.06,2911.66,3246.13,3100.38,3244.57,2808.46,2694.24,3207.12,3160.59,2979.83,3108.39,3219.54,3419.26,3055.01,3491.28,3191.0,3166.94,3363.27
12,3663.27,3432.4,3349.25,3183.6,3789.97,3555.12,3318.14,3071.81,3760.09,3436.62,3312.25,3322.78,3301.28,3305.28,3225.89,3652.46,3375.5,3046.01,3492.49,3401.25,3122.49,3513.1,3519.99,3423.82,3739.29,3661.97,3489.73,3689.88,3910.95,3010.01,2848.45,2551.55,3476.98,3891.41,3213.69,4053.53,3664.32,2795.23,3561.25,3367.89,3243.41,3150.27,3721.18,3442.53,3529.12,3776.6,3099.81,3288.15,3326.44,3593.31,3718.88,3559.75,3503.0,3400.58,3824.35,3562.48,3276.92,3170.86,3811.76,3364.01,3466.43,3444.43,3409.36,3550.55,3467.13,3459.54,3307.99,3429.9,3417.19,3169.57,3609.88,3464.85,3536.06,3109.45,3116.16,3693.98,3417.7,3179.71,3470.47,3567.68,3694.04,3231.12,3863.47,3500.01,3544.33,3652.66
13,4003.14,3726.49,3608.47,3397.97,4180.24,3810.72,3518.95,3269.17,3961.5,3625.73,3628.07,3578.32,3495.35,3612.8,3471.97,3893.91,3520.04,3393.27,3783.3,3483.33,3386.11,3846.41,3903.47,3712.79,4039.54,3942.69,3813.32,3934.83,4199.89,3415.76,3276.9,2812.6,3468.69,4366.95,3418.99,4488.84,4013.99,3022.06,3814.66,3626.65,3376.43,3358.69,4153.01,3701.22,3885.81,4057.08,3456.86,3449.62,3512.93,3921.26,4095.75,3791.7,3749.16,3728.8,4188.47,3851.48,3450.36,3451.25,4045.47,3545.74,3838.73,3756.99,3713.76,3854.11,3757.54,3716.55,3661.34,3595.83,3680.24,3367.28,3983.5,3784.17,3723.56,3323.8,3622.14,4072.66,3630.91,3427.43,3716.57,3952.92,3892.41,3463.54,4195.84,3649.88,3962.23,4069.74
14,4378.78,4003.78,3783.83,3666.45,4538.41,4019.82,3554.91,3639.94,4275.74,3963.42,3875.23,3927.07,3727.03,3843.13,3811.99,4162.89,3874.25,3628.82,4146.03,3930.06,3606.52,4228.23,4227.24,3942.37,4244.73,4034.4,4131.4,4357.02,4526.09,3781.55,3598.01,3099.86,3741.67,4485.03,3543.25,4830.26,4285.62,3158.44,4086.46,3887.27,3667.54,3511.68,4535.28,4049.24,4159.06,4246.49,3631.25,3759.58,3813.23,4223.32,4328.53,4076.26,4039.02,4060.71,4440.99,4310.11,3754.61,3774.84,4390.72,3786.25,4196.87,4032.58,3977.5,4176.83,4033.32,3884.69,3996.35,3826.04,3900.66,3683.81,4331.51,4122.6,3959.24,3699.02,4021.72,4367.08,3900.09,3704.26,4049.22,3987.01,4280.86,3674.79,4583.71,3937.35,4225.0,4518.1
15,4913.4,4373.74,3953.03,4005.78,4775.69,4257.19,3842.26,4056.17,4685.63,4174.47,4141.57,4290.88,4002.71,4058.35,4291.29,4410.76,4115.08,3889.92,4526.46,4189.75,3899.55,4691.07,4404.01,4160.45,4493.78,4236.49,4480.51,4826.19,4783.5,4228.25,3629.0,2856.58,4288.83,4813.7,3998.68,5110.12,4383.17,3348.05,4005.94,4189.83,3867.49,3693.24,4921.97,4277.07,4508.14,4708.11,3812.29,4236.2,4088.45,4587.7,4651.4,4347.08,4179.36,4452.16,4824.0,4621.27,4089.11,4063.8,4717.08,4094.44,4550.12,4216.83,4381.94,4493.58,4344.22,4240.67,4320.01,4294.25,4231.25,3884.45,4712.84,4428.74,4185.85,3845.23,4336.23,4672.39,4139.22,4099.25,4390.62,4232.24,4599.01,4089.8,4993.88,4228.83,4531.77,4877.6
16,5013.81,4642.35,4177.38,4225.14,4888.59,4456.11,4030.71,4490.92,5072.92,4405.54,4482.28,4567.18,4207.94,4355.69,4500.37,4757.65,4302.52,4263.22,5031.98,4291.81,4264.47,5105.05,4541.76,4432.32,4873.42,4535.9,4868.37,5210.29,5109.81,4321.22,3664.1,2911.98,5421.12,4752.21,4492.1,5196.68,4526.67,3647.44,4379.2,4067.69,4089.97,4003.89,5340.15,4607.16,4904.56,4990.17,4041.22,4659.39,4347.78,4978.44,4936.85,4626.15,4473.55,4856.23,5087.18,4794.9,4473.2,4430.37,5042.92,4344.61,4857.79,4276.2,4718.84,4799.57,4664.07,4363.48,4650.87,4640.01,4603.86,3859.92,4946.9,4675.05,4384.79,4045.41,4817.2,4933.04,4412.81,4528.65,4607.32,4650.77,4829.98,4385.0,5425.64,4501.75,4894.61,5167.43
17,5642.62,4899.92,4299.91,4508.18,5205.64,4772.1,4223.83,4776.46,5415.88,4540.88,4824.64,4847.75,4346.22,4622.49,4817.3,5071.19,4645.75,4555.71,5414.69,4525.84,4312.78,5355.76,4707.23,4772.51,5215.75,4961.41,5193.3,5308.11,5454.77,4288.69,3864.12,2952.7,6389.4,5072.61,4889.3,5625.89,4691.02,3984.02,4707.9,4115.06,4467.26,4423.24,5689.04,5036.61,5245.41,5243.74,4413.84,5075.77,4466.31,5319.53,5163.04,4994.57,4645.31,5163.63,5570.7,5052.44,4801.16,4781.27,5290.37,4730.0,5088.3,4217.88,4993.61,5055.92,4786.36,4615.89,4887.3,5004.68,4717.02,4125.5,5163.32,4962.51,4598.76,4329.76,5190.67,5237.41,4711.8,4823.21,4958.0,5142.85,5140.29,4508.64,5771.42,4727.55,5256.77,5555.44
18,5650.08,5254.32,4448.17,4915.79,5596.13,4967.06,4608.59,5183.23,5751.43,4668.33,5091.93,5133.26,4667.21,4730.35,5087.37,5306.52,4844.9,4871.16,5828.95,4807.53,4589.99,5669.42,4885.54,5208.11,5599.29,5385.46,5556.22,5615.81,6069.47,4503.55,4229.03,3325.92,7067.56,5191.24,5348.74,6135.38,5155.17,4802.56,5062.77,4481.56,4905.01,4820.26,6055.61,5408.48,5447.88,5417.03,4881.46,5270.08,4918.98,5332.17,5512.74,5376.3,4970.9,5592.37,6137.28,5520.16,5146.43,5151.05,5713.3,4926.62,5355.22,4559.16,5218.98,5462.91,5058.04,4885.98,5224.81,5276.65,4854.79,4412.02,5419.25,5216.53,4908.37,4272.43,5480.2,5607.82,5025.42,5095.22,5281.62,5596.17,5355.19,4798.11,6080.8,4981.6,5616.85,5757.89
19,5985.01,5630.55,4634.81,5311.7,6019.08,5491.07,4661.49,5625.73,6131.03,5024.05,5205.92,5498.07,5033.31,5013.88,5521.75,5619.06,5036.81,5194.02,5836.42,4969.14,4839.4,6108.68,5187.26,5617.38,5936.57,5815.12,6048.25,6024.09,6592.91,4742.9,4425.31,4633.71,7081.96,5337.83,5886.34,6501.09,5471.12,5103.74,5291.74,4823.37,5172.38,5086.92,6123.84,5633.82,5740.22,5622.59,5093.7,5442.87,5324.07,5841.47,5967.73,5675.22,5267.26,5953.71,6391.08,5776.41,5227.39,5565.78,5970.19,5244.23,5766.93,4916.35,5596.8,5685.04,5399.5,4968.33,5562.55,5476.62,5118.2,4778.61,5635.53,5623.76,5129.45,4442.72,5478.16,5861.06,5228.49,5629.24,5739.18,6012.19,5671.13,5105.43,6260.86,5565.68,5823.62,6123.82
