,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
10,2897.98,2865.49,2766.1,2596.47,3090.11,2871.53,2851.5,2475.91,3079.6,2898.28,2786.29,2782.51,2845.11,2714.4,2751.99,3071.26,2936.83,2533.32,2960.68,2915.06,2699.77,2880.72,2919.88,2761.6,2940.98,2994.15,2892.87,3023.14,3092.13,2484.22,2467.94,2428.55,2887.81,3078.9,2697.14,3235.83,3025.54,2368.1,3052.59,2870.42,2783.54,2715.12,2970.25,2805.1,2859.58,3032.01,2571.59,2806.6,2780.34,2908.78,2957.64,2859.43,2852.14,2784.55,3055.41,3010.36,2770.98,2648.73,3057.16,2808.75,2783.42,2941.48,2734.93,2882.05,2891.15,2878.6,2719.68,2840.24,2929.27,2773.5,2848.49,2739.83,2916.89,2717.24,2614.93,2950.5,2835.99,2754.94,2825.98,2874.7
11,3255.39,3098.72,2990.4,2917.44,3367.65,3169.71,3096.6,2798.53,3381.57,3177.74,3005.03,3050.21,3050.34,2974.46,2950.38,3336.56,3132.51,2755.48,3192.43,3130.65,2836.88,3200.9,3179.03,3074.25,3292.97,3283.36,3190.38,3324.43,3358.91,2790.88,2647.63,2473.44,3098.74,3374.43,2965.32,3494.61,3253.89,2609.4,3259.61,3091.07,2980.86,2882.17,3240.7,3084.94,3153.48,3320.14,2868.23,3041.78,3030.25,3214.27,3213.39,3169.66,3176.48,3065.04,3396.74,3285.25,3052.22,2906.71,3350.27,3117.32,3078.46,3215.71,3056.86,3175.38,3122.15,3130.8,2985.78,3145.57,3207.79,2958.82,3217.08,3100.75,3212.31,2879.05,2794.19,3191.06,3152.5,3013.21,3116.29,3206.29
12,3582.64,3407.32,3343.7,3216.28,3683.71,3503.0,3321.16,3133.07,3662.69,3413.56,3318.4,3326.6,3311.44,3314.36,3252.87,3580.89,3367.9,3116.05,3459.83,3390.57,3177.4,3475.64,3479.79,3405.07,3646.97,3586.72,3452.62,3605.87,3776.88,3082.9,2958.58,2730.84,3442.77,3761.2,3237.51,3882.84,3584.07,2914.1,3503.17,3353.53,3256.83,3186.27,3626.36,3412.44,3478.44,3668.33,3146.94,3292.72,3322.02,3527.25,3624.79,3503.41,3459.94,3380.92,3705.89,3506.16,3288.24,3208.11,3701.06,3360.6,3436.91,3420.28,3392.96,3502.38,3438.62,3433.57,3319.36,3415.15,3406.99,3222.87,3561.5,3445.6,3501.3,3175.7,3184.23,3631.58,3415.51,3232.75,3461.27,3541.81
13,3908.85,3696.51,3605.9,3445.28,4052.0,3761.97,3538.89,3350.93,3877.17,3621.27,3624.57,3586.61,3524.84,3614.28,3506.22,3828.57,3542.09,3444.74,3747.29,3516.68,3444.97,3796.41,3840.19,3690.76,3941.76,3865.64,3765.15,3855.74,4062.54,3452.72,3341.59,2997.16,3494.38,4200.7,3458.85,4291.08,3918.06,3154.54,3759.61,3614.52,3422.09,3410.26,4027.18,3673.4,3816.89,3946.29,3481.68,3479.44,3527.43,3843.07,3980.92,3742.9,3711.07,3696.13,4052.74,3791.26,3485.15,3486.44,3941.74,3563.92,3787.8,3724.47,3690.59,3799.84,3725.65,3694.87,3654.56,3606.37,3674.12,3443.15,3915.68,3756.37,3709.09,3408.65,3631.46,3991.39,3645.23,3490.83,3717.38,3908.49
14,4264.07,3972.81,3803.58,3714.97,4394.38,3984.48,3630.22,3696.66,4183.88,3945.18,3878.31,3918.37,3767.12,3855.33,3830.64,4098.88,3878.61,3691.29,4091.57,3925.44,3680.32,4155.68,4153.88,3930.56,4160.29,3993.53,4073.63,4248.85,4379.44,3793.6,3648.76,3279.65,3767.38,4346.07,3618.76,4620.88,4189.57,3330.39,4031.05,3877.12,3707.96,3592.36,4388.13,4004.6,4089.46,4150.54,3680.31,3780.15,3820.77,4138.67,4220.96,4024.71,3997.03,4014.34,4308.6,4211.46,3782.13,3797.21,4274.02,3812.63,4127.76,3999.98,3956.89,4112.8,4001.5,3887.13,3975.93,3848.0,3908.71,3751.74,4249.67,4082.35,3955.27,3760.35,4001.44,4284.49,3918.52,3770.72,4040.98,4002.05
15,4746.49,4321.57,3996.71,4038.29,4638.64,4229.62,3914.78,4076.5,4567.95,4170.6,4146.98,4261.94,4043.27,4085.04,4260.79,4352.55,4127.77,3956.84,4449.91,4189.71,3969.85,4578.67,4352.18,4161.63,4414.49,4210.21,4406.59,4679.55,4639.87,4194.3,3749.15,3205.59,4255.33,4664.67,4029.87,4899.3,4321.55,3543.51,4023.1,4172.33,3924.39,3795.97,4752.51,4241.81,4422.08,4576.12,3883.9,4208.85,4094.9,4483.97,4533.89,4295.75,4165.42,4378.87,4671.11,4514.79,4102.48,4082.06,4591.02,4113.75,4464.05,4204.39,4332.66,4421.21,4305.0,4226.19,4288.92,4274.47,4228.78,3974.73,4610.25,4383.61,4194.71,3943.78,4309.85,4586.5,4169.01,4139.28,4371.9,4260.17
16,4881.8,4591.44,4232.57,4271.29,4782.51,4444.63,4123.6,4470.54,4933.72,4411.85,4472.88,4538.61,4265.73,4377.84,4486.53,4685.34,4335.96,4305.52,4906.32,4332.33,4313.27,4963.41,4520.14,4434.7,4773.89,4504.8,4770.03,5041.96,4956.85,4335.16,3851.85,3330.77,5201.11,4664.35,4470.07,5017.4,4490.75,3834.85,4375.05,4138.46,4158.14,4096.97,5142.15,4559.08,4792.07,4855.98,4123.36,4596.7,4356.88,4850.21,4816.73,4573.45,4455.23,4753.33,4936.02,4709.3,4461.05,4425.6,4907.8,4370.44,4764.83,4311.79,4656.13,4721.27,4615.68,4383.69,4607.92,4606.43,4581.78,4030.32,4855.42,4638.64,4413.02,4167.45,4741.7,4853.68,4446.53,4534.37,4607.02,4652.93
17,5438.87,4852.88,4390.08,4552.57,5091.61,4752.22,4336.22,4753.98,5263.83,4578.87,4800.27,4818.8,4437.15,4647.49,4794.25,4991.73,4664.7,4594.8,5266.84,4577.31,4420.43,5220.35,4710.15,4761.01,5103.34,4899.91,5084.26,5175.45,5289.04,4383.28,4072.93,3444.28,6018.29,4976.14,4837.44,5419.48,4676.93,4153.17,4691.74,4236.14,4510.31,4480.22,5475.97,4954.04,5118.24,5112.89,4470.68,4979.45,4510.45,5177.03,5052.08,4921.9,4649.08,5052.78,5379.83,4970.32,4777.1,4757.62,5161.34,4731.38,5005.7,4327.92,4931.66,4982.41,4772.44,4642.52,4855.14,4953.2,4734.75,4303.0,5087.19,4925.96,4643.56,4453.9,5094.5,5155.92,4743.85,4829.39,4945.87,5103.09
18,5500.92,5189.89,4567.64,4928.31,5459.92,4964.66,4696.24,5128.03,5588.07,4740.02,5070.3,5103.05,4748.62,4795.63,5066.63,5236.2,4882.48,4901.4,5652.24,4859.42,4698.85,5526.83,4910.5,5161.52,5465.85,5293.8,5428.35,5476.91,5840.61,4614.07,4413.54,3788.11,6608.55,5124.0,5252.32,5887.45,5102.32,4819.52,5029.12,4581.1,4908.88,4846.84,5823.98,5304.08,5335.45,5305.25,4889.62,5191.88,4921.72,5243.59,5386.61,5280.9,4963.68,5446.47,5890.7,5397.51,5106.73,5104.34,5556.71,4946.85,5275.23,4655.4,5169.13,5362.25,5045.95,4915.57,5180.08,5228.25,4907.29,4591.42,5350.6,5187.65,4949.46,4486.86,5385.85,5510.78,5052.9,5108.23,5264.35,5524.01
19,5823.82,5544.02,4775.0,5295.49,5854.3,5436.14,4801.57,5529.11,5947.72,5078.81,5222.95,5448.45,5094.86,5078.57,5464.0,5542.14,5094.95,5213.83,5720.24,5049.01,4956.62,5931.77,5207.69,5541.73,5791.4,5692.1,5873.53,5858.68,6317.66,4863.1,4632.0,4790.15,6680.31,5294.97,5726.85,6236.81,5409.65,5112.86,5267.28,4907.0,5177.39,5115.08,5933.0,5539.91,5623.53,5523.82,5116.84,5387.89,5296.42,5703.67,5805.4,5574.66,5255.48,5787.99,6148.63,5658.14,5234.35,5485.65,5818.44,5255.64,5657.94,4995.39,5524.95,5596.98,5374.09,5043.02,5505.62,5447.75,5177.27,4940.51,5583.11,5568.65,5186.88,4689.75,5461.41,5773.31,5277.31,5583.86,5686.86,5917.31
20,6087.24,5830.01,4999.36,5699.91,6145.04,5806.66,5058.71,5779.39,6234.16,5378.46,5357.7,5747.3,5403.22,5362.42,5857.66,5951.63,5259.32,5489.78,6059.92,5426.36,5304.16,6308.41,5510.14,5798.08,6152.02,6024.02,6347.97,6376.8,6749.76,5140.88,4594.94,5297.27,6929.37,5507.28,6074.06,6559.27,5274.06,5272.63,5843.5,5289.43,5467.81,5426.25,6288.99,5769.86,6117.05,5350.36,5326.84,5635.33,5616.29,6103.91,6177.56,5808.56,5410.05,6146.13,6594.27,5830.0,5403.12,5844.47,5968.79,5452.02,5912.22,5251.92,5883.85,5929.5,5749.04,5235.95,5829.32,5824.56,5472.69,5368.94,5934.65,5809.82,5517.96,4760.11,5719.14,6130.86,5525.15,5877.84,6018.42,6299.61
21,6329.52,6008.66,5203.25,6161.53,6475.34,5992.65,5078.63,6102.0,6532.28,5787.44,5657.18,6026.09,5601.36,5647.48,6320.41,6340.98,5408.45,5901.17,6523.87,5719.17,5628.33,6678.19,5755.45,6044.18,6553.72,6232.21,6574.72,6735.64,6595.37,5075.55,4615.39,5215.74,6796.24,5811.01,6445.75,7046.63,5167.35,5849.34,6155.67,5595.45,5636.7,5918.38,6538.47,6128.66,6542.83,5566.29,5676.83,5999.33,5978.14,6536.68,6446.72,6025.7,5776.36,6509.73,6675.31,6069.55,5511.73,6255.74,6247.8,5676.78,6227.76,5449.19,6172.16,6266.41,6099.05,5495.78,6107.97,6185.68,5789.63,5714.9,6151.55,6100.99,5915.54,5089.89,6149.18,6306.47,5744.67,6074.88,6197.83,6707.38
22,6688.18,6164.64,5492.78,6627.6,6737.27,6340.76,5227.66,6611.86,6798.99,6068.87,6057.26,6276.22,5816.3,5933.46,6730.03,6711.33,5483.01,6272.54,6706.06,5862.31,6069.08,6776.09,6132.37,6513.95,6957.94,6562.87,6946.19,7287.35,5865.58,5189.27,4924.01,5477.66,7178.94,6178.03,7072.77,7448.65,5236.06,6131.77,6375.23,5943.65,5785.95,6254.71,6647.11,6387.01,6947.44,5833.56,5923.43,6101.1,6308.64,6819.08,6631.88,6414.62,6126.69,6939.71,7221.76,6316.89,5733.99,6643.17,6544.62,6050.89,6664.12,5912.83,6434.42,6571.69,6408.11,5913.79,6290.1,6522.43,6099.58,6000.77,6285.04,6550.17,5986.36,5454.44,6498.74,6575.28,6054.58,6187.83,6477.61,7175.46
23,6910.24,6371.17,5894.85,6946.98,7114.18,6592.67,5631.14,6981.28,7130.98,6266.9,6357.15,6443.53,6100.02,6091.91,7025.27,6849.82,5690.4,6500.25,6888.88,5894.33,6469.7,7059.4,6530.24,6996.37,7311.92,6932.27,7326.56,7589.27,6265.38,5319.03,4831.61,5680.69,7548.54,6482.15,7354.17,7653.89,5480.63,6317.28,6574.08,6100.49,5882.88,6558.59,6982.2,6746.27,7297.61,6201.65,6157.47,6363.94,6687.63,7095.08,7035.98,6842.67,6454.7,7409.09,7545.18,6650.15,6013.47,6996.14,6944.27,6407.01,6980.55,6323.11,6791.43,6790.84,6675.27,6210.06,6671.07,6846.46,6226.99,6492.81,6798.05,6911.74,6064.75,5589.65,6742.28,6989.79,6335.27,6534.81,6917.56,7423.88
