,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
10,3003.26,2937.29,2737.42,2397.86,3379.51,2944.93,2903.75,2152.3,3353.29,2992.94,2768.0,2759.63,2880.79,2619.8,2695.26,3333.08,3066.22,2259.57,3105.01,3012.34,2580.08,2945.17,3029.31,2715.47,3076.12,3185.04,2987.14,3248.83,3384.48,2173.76,2142.28,2060.82,2974.54,3360.45,2604.26,3681.35,3264.79,1953.49,3315.76,2959.91,2788.94,2650.7,3152.87,2826.3,2935.37,3281.09,2363.99,2831.38,2778.81,3035.84,3132.14,2931.26,2915.37,2779.86,3326.1,3230.06,2747.02,2495.84,3315.16,2806.07,2761.19,3078.16,2665.4,2957.79,2973.86,2947.39,2619.9,2857.57,3029.84,2702.17,2843.06,2643.41,2995.68,2588.0,2372.67,3036.3,2815.34,2656.62,2782.98,2865.02
11,3459.98,3145.86,2927.89,2780.77,3675.63,3282.34,3135.0,2537.31,3697.29,3291.82,2945.7,3034.76,3030.46,2879.27,2831.54,3603.25,3197.65,2443.12,3307.08,3181.4,2592.68,3323.76,3286.52,3079.9,3519.42,3503.86,3323.5,3592.81,3659.02,2528.54,2243.79,1893.81,3137.52,3692.95,2883.42,3942.41,3465.53,2179.9,3473.19,3146.27,2929.18,2729.77,3437.12,3129.55,3266.89,3601.6,2701.53,3046.13,3023.18,3390.98,3387.92,3294.03,3306.25,3084.2,3751.93,3522.31,3050.14,2753.71,3641.43,3161.04,3091.29,3366.28,3049.21,3283.83,3175.39,3190.1,2889.65,3203.4,3321.34,2803.49,3313.08,3099.51,3320.05,2644.81,2462.55,3246.81,3180.42,2903.46,3090.05,3250.69
12,3841.55,3490.18,3361.05,3105.13,4033.7,3675.42,3310.43,2931.54,3984.95,3488.98,3297.32,3312.59,3276.6,3283.17,3160.75,3817.22,3393.46,2886.8,3565.57,3423.7,2995.26,3597.36,3611.78,3465.88,3951.92,3836.34,3575.12,3882.54,4220.04,2839.75,2592.55,2134.71,3551.64,4192.76,3156.34,4446.76,3854.3,2518.35,3690.09,3401.33,3211.96,3066.94,3936.31,3513.39,3645.92,4027.5,2989.02,3277.67,3336.7,3746.34,3938.53,3689.55,3601.34,3444.98,4098.72,3692.66,3249.03,3084.0,4067.36,3370.97,3533.2,3500.57,3446.63,3662.11,3532.67,3518.84,3279.97,3463.29,3439.4,3046.02,3719.92,3508.29,3615.93,2954.72,2957.17,3840.9,3422.43,3056.9,3489.93,3626.69
13,4221.78,3796.39,3613.13,3290.42,4496.61,3920.61,3473.03,3093.39,4141.03,3630.96,3634.95,3558.08,3428.13,3607.44,3392.47,4038.43,3467.83,3267.09,3863.82,3400.12,3252.53,3963.35,4056.24,3762.53,4267.56,4120.96,3927.35,4109.95,4518.23,3306.54,3084.95,2393.64,3385.46,4798.54,3328.64,4992.11,4251.62,2729.48,3933.86,3654.62,3275.51,3245.73,4466.59,3765.82,4052.97,4314.35,3389.0,3382.38,3479.02,4108.25,4379.88,3898.55,3832.97,3805.13,4521.4,3992.02,3370.8,3368.98,4274.58,3502.16,3960.6,3834.16,3767.48,3981.98,3831.51,3764.55,3673.58,3566.96,3692.47,3202.35,4146.58,3848.68,3749.19,3137.19,3565.46,4273.58,3597.22,3286.31,3712.01,4058.57
14,4659.62,4076.19,3736.22,3556.37,4907.56,4092.63,3382.64,3509.31,4479.44,4003.26,3867.27,3945.45,3636.27,3813.9,3764.76,4303.79,3864.31,3483.01,4274.2,3937.68,3445.11,4404.52,4407.18,3967.34,4430.35,4103.95,4271.01,4622.06,4877.93,3714.8,3425.46,2683.69,3658.47,4818.11,3378.04,5380.56,4523.83,2811.35,4206.74,3910.47,3578.13,3340.42,4917.04,4157.35,4328.13,4454.02,3517.0,3713.33,3796.04,4429.4,4589.95,4190.94,4133.39,4171.16,4762.29,4559.66,3691.15,3718.09,4663.46,3723.66,4365.55,4110.01,4024.98,4331.62,4107.17,3871.33,4038.83,3769.26,3878.86,3533.63,4532.93,4218.02,3957.27,3554.07,4016.85,4571.62,3856.92,3557.23,4066.24,3942.55
15,5349.82,4499.66,3849.07,3928.34,5121.86,4308.57,3676.38,3992.32,4971.01,4178.42,4128.36,4355.28,3910.88,3996.41,4346.68,4535.08,4085.83,3735.67,4711.32,4186.11,3744.13,4971.87,4527.26,4153.61,4663.63,4263.21,4662.68,5208.23,5124.42,4241.62,3353.36,2265.24,4357.6,5181.94,3927.27,5666.33,4517.86,2966.87,3923.36,4231.18,3742.0,3477.31,5373.79,4361.2,4722.39,5034.08,3654.54,4298.74,4074.13,4848.82,4944.21,4461.38,4199.05,4628.9,5214.64,4892.86,4057.05,4015.21,5020.52,4048.4,4762.19,4243.49,4499.8,4671.2,4437.04,4270.2,4386.13,4339.25,4234.69,3691.37,4970.53,4536.2,4150.47,3632.6,4341.9,4886.24,4069.74,4002.5,4432.65,4155.44
16,5347.51,4765.11,4046.34,4119.1,5135.42,4463.96,3818.61,4502.33,5425.65,4384.21,4502.55,4630.77,4077.73,4303.89,4520.74,4922.94,4224.77,4152.49,5341.74,4191.78,4149.87,5461.71,4586.06,4422.59,5105.15,4576.92,5114.04,5657.29,5482.87,4249.54,3284.79,2241.45,5967.44,4910.39,4533.6,5631.82,4585.54,3277.34,4355.89,3896.08,3940.08,3807.23,5880.21,4724.29,5190.66,5323.19,3863.21,4802.24,4327.79,5309.3,5238.21,4744.45,4505.02,5105.74,5472.08,5008.94,4497.93,4428.44,5375.44,4283.36,5087.41,4182.45,4869.54,4993.22,4780.24,4305.71,4743.39,4718.58,4654.22,3511.77,5174.54,4760.96,4299.27,3789.31,4911.65,5128.42,4334.32,4497.89,4605.76,4638.47
17,6185.09,5013.48,4086.69,4405.74,5477.35,4803.05,3967.16,4791.7,5807.94,4441.59,4878.79,4912.61,4142.04,4563.89,4857.53,5257.69,4602.97,4450.18,5780.77,4399.85,4085.0,5696.92,4687.84,4796.66,5486.62,5090.14,5466.93,5649.8,5870.99,4072.06,3451.18,2193.51,7320.02,5259.97,4994.53,6162.89,4686.58,3641.21,4717.47,3822.72,4372.86,4300.15,6275.1,5241.28,5571.14,5566.08,4286.06,5295.08,4365.06,5690.78,5436.99,5167.61,4618.97,5432.52,6085.06,5257.1,4852.42,4817.92,5603.26,4725.96,5291.65,3938.49,5142.57,5236.81,4815.49,4542.11,4955.71,5126.64,4672.32,3763.26,5349.84,5048.73,4470.64,4069.54,5322.67,5438.67,4637.35,4791.45,4984.58,5235.0
18,6035.37,5411.21,4166.2,4879.72,5936.52,4951.17,4408.57,5260.61,6177.61,4486.01,5139.86,5201.0,4484.34,4581.53,5122.66,5467.73,4758.84,4781.26,6267.98,4680.57,4359.25,6029.07,4809.34,5317.55,5932.7,5599.91,5878.56,5975.97,6695.79,4257.7,3854.71,2602.57,8221.07,5282.17,5549.55,6824.74,5262.69,4697.47,5120.09,4241.45,4897.34,4759.41,6697.66,5668.3,5734.21,5679.79,4851.05,5448.52,4914.63,5555.07,5832.02,5610.92,4973.27,5947.04,6830.79,5835.28,5232.7,5235.16,6112.58,4878.5,5552.05,4314.1,5338.55,5716.13,5082.65,4804.89,5321.3,5391.19,4727.22,4045.85,5585.78,5283.94,4789.72,3841.51,5608.4,5852.06,4961.77,5049.97,5320.51,5768.72
19,6404.62,5842.3,4304.27,5335.23,6446.86,5615.34,4342.01,5781.97,6617.35,4883.35,5166.26,5610.04,4894.95,4865.9,5635.73,5799.17,4903.04,5122.83,6122.79,4776.03,4592.16,6556.03,5122.74,5797.23,6304.41,6118.15,6490.49,6460.98,7371.33,4478.97,4013.77,4323.76,8090.06,5349.81,6222.87,7249.59,5602.57,5010.28,5324.79,4621.5,5162.67,5021.93,6644.9,5867.72,6038.26,5845.52,5033.42,5568.57,5390.62,6201.44,6393.79,5923.77,5281.45,6356.74,7071.55,6079.88,5209.39,5719.14,6354.23,5216.71,6036.67,4713.84,5769.78,5905.04,5457.54,4775.26,5686.31,5544.07,4974.93,4447.33,5759.1,5755.27,4969.21,3949.27,5460.76,6079.79,5115.35,5699.41,5861.01,6240.97
20,6655.3,6136.78,4475.96,5864.71,6750.44,6076.8,4576.47,6002.79,6909.88,5201.75,5156.09,5925.23,5229.24,5151.63,6140.52,6335.81,4950.46,5390.88,6516.65,5243.83,5002.3,7026.29,5446.24,6030.07,6745.61,6503.56,7160.3,7217.07,7956.62,4756.79,3663.76,5056.17,8311.42,5499.22,6641.92,7620.25,5059.73,5056.36,6202.27,5114.17,5470.52,5369.69,7082.2,6054.56,6750.85,5229.62,5180.9,5790.84,5757.22,6727.94,6862.35,6116.88,5316.23,6799.09,7685.73,6146.46,5267.23,6156.49,6371.76,5329.85,6264.58,4946.21,6205.79,6287.99,5924.71,4875.14,6046.36,6009.19,5269.6,5005.82,6170.28,5944.53,5335.26,3790.93,5673.76,6495.85,5314.16,5984.86,6216.71,6686.4
21,6862.41,6216.51,4605.52,6507.32,7131.55,6169.99,4337.55,6366.78,7224.74,5737.55,5473.0,6199.27,5343.23,5438.17,6782.0,6831.37,4966.48,5927.04,7156.22,5541.61,5365.73,7481.3,5654.64,6241.21,7267.38,6641.98,7336.06,7654.88,7372.45,4350.15,3427.19,4617.17,7771.86,5830.18,7109.67,8319.74,4574.94,5931.54,6553.82,5453.86,5535.94,6076.76,7307.13,6497.49,7328.07,5389.05,5607.0,6245.03,6207.48,7318.81,7124.67,6275.77,5772.97,7251.73,7573.28,6346.92,5204.06,6697.41,6645.4,5498.27,6614.09,5059.77,6500.07,6678.77,6340.83,5107.91,6314.36,6441.14,5605.7,5398.19,6312.5,6232.38,5833.8,4148.31,6229.44,6548.55,5453.9,6073.92,6262.17,7178.25
22,7300.69,6250.27,4904.96,7157.28,7375.62,6584.9,4355.32,7102.21,7476.67,6017.75,5989.34,6415.02,5489.76,5726.04,7316.82,7288.02,4833.2,6382.57,7233.77,5540.97,5959.77,7395.25,6124.2,6896.67,7793.83,7023.17,7798.9,8475.78,5642.35,4299.41,3762.9,4860.62,8257.66,6286.63,8085.76,8848.22,4438.89,6219.96,6720.66,5877.28,5562.06,6473.37,7251.97,6739.89,7862.64,5649.96,5826.21,6176.75,6595.2,7609.72,7219.53,6775.46,6197.2,7835.92,8387.13,6561.26,5367.72,7190.14,6953.38,5963.44,7203.57,5703.79,6741.46,7005.69,6673.72,5654.31,6387.18,6822.55,5925.93,5671.52,6287.67,6834.94,5679.15,4574.26,6623.15,6785.73,5771.56,5992.42,6502.9,7782.09
