,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
10,3001.99,2935.89,2736.19,2396.92,3378.02,2943.59,2902.51,2151.54,3351.68,2991.59,2766.92,2758.42,2879.51,2618.77,2694.11,3331.53,3064.93,2258.69,3103.55,3010.93,2579.06,2943.9,3027.86,2714.33,3074.76,3183.59,2985.87,3247.32,3382.91,2172.7,2141.35,2060.01,2973.5,3358.72,2603.16,3679.67,3263.21,1952.7,3314.32,2958.72,2787.87,2649.62,3151.55,2824.88,2934.03,3279.54,2362.98,2830.17,2777.58,3034.55,3130.68,2929.86,2914.08,2778.73,3324.49,3228.54,2745.83,2494.81,3313.62,2804.81,2760.08,3076.68,2664.41,2956.42,2972.5,2946.09,2618.85,2856.22,3028.53,2701.1,2841.96,2642.19,2994.32,2586.98,2371.76,3034.7,2813.98,2655.55,2781.77,2863.73,3332.61,2671.73,3341.98,2944.24,2916.1,3041.07,2958.69,2356.51,2888.66,3031.52
11,3458.64,3144.48,2926.68,2779.79,3674.12,3280.97,3133.77,2536.5,3695.63,3290.45,2944.64,3033.55,3029.22,2878.23,2830.43,3601.7,3196.41,2442.26,3305.64,3180.03,2591.75,3322.44,3285.07,3078.72,3517.97,3502.38,3322.2,3591.26,3657.44,2527.44,2242.91,1893.14,3136.5,3691.18,2882.31,3940.73,3463.98,2179.12,3471.79,3145.1,2928.15,2728.75,3435.78,3128.09,3265.52,3600.02,2700.49,3044.94,3021.95,3389.65,3386.46,3292.58,3304.9,3083.05,3750.24,3520.77,3048.92,2752.68,3639.85,3159.73,3090.14,3364.79,3048.17,3282.43,3174.05,3188.81,2888.6,3202.02,3320.02,2802.47,3311.9,3098.2,3318.66,2643.85,2461.7,3245.23,3179.02,2902.39,3088.82,3249.34,3537.34,2955.05,3639.52,3189.35,3142.96,3464.04,3262.72,2571.13,3210.85,3370.56
12,3822.49,3472.71,3344.32,3089.84,4013.6,3657.09,3294.01,2917.21,3964.95,3471.59,3281.06,3296.13,3260.29,3266.98,3145.08,3798.12,3376.63,2872.6,3547.73,3406.59,2980.5,3579.49,3593.68,3448.71,3932.23,3817.18,3557.37,3863.11,4198.93,2825.57,2579.72,2124.23,3534.24,4171.6,3140.7,4424.53,3834.96,2505.96,3671.73,3384.52,3196.14,3051.78,3916.77,3495.72,3627.73,4007.33,2974.22,3261.41,3320.1,3727.74,3918.84,3671.08,3583.41,3427.94,4078.14,3674.17,3232.89,3068.75,4047.01,3354.18,3515.74,3483.03,3429.69,3643.82,3515.04,3501.34,3263.79,3445.97,3422.31,3031.0,3701.58,3490.79,3597.89,2940.16,2942.64,3821.5,3405.29,3041.79,3472.59,3608.61,3780.35,3047.28,4033.37,3487.69,3546.17,3734.96,3740.42,2938.14,3576.38,3534.57
13,4202.17,3778.72,3596.44,3275.47,4475.57,3902.36,3457.05,3079.5,4121.53,3614.12,3618.35,3541.7,3412.33,3590.96,3376.94,4019.53,3451.86,3252.35,3845.8,3384.33,3237.79,3945.0,4037.29,3745.19,4247.61,4101.7,3909.18,4090.69,4496.94,3291.42,3071.08,2383.16,3370.0,4775.75,3313.41,4968.54,4231.65,2717.31,3915.59,3637.84,3260.59,3230.95,4445.81,3748.2,4034.1,4294.06,3373.56,3366.83,3462.97,4089.19,4359.34,3880.32,3815.18,3787.64,4500.05,3973.35,3355.31,3353.62,4254.49,3485.97,3942.38,3816.28,3750.28,3963.42,3813.72,3747.12,3656.8,3550.38,3675.43,3187.81,4127.49,3830.82,3731.74,3122.98,3549.37,4253.37,3580.48,3271.36,3694.85,4039.7,3918.34,3245.61,4386.09,3558.31,4027.54,4223.82,4260.35,3306.19,3964.59,3700.75
14,4639.24,4058.44,3720.13,3541.41,4885.86,4074.77,3368.17,3494.78,4459.6,3985.95,3850.78,3928.53,3620.69,3797.66,3748.75,4284.87,3847.76,3468.46,4255.53,3920.7,3430.65,4385.38,4387.84,3950.25,4410.84,4085.92,4252.49,4601.69,4856.21,3699.05,3411.26,2673.09,3642.96,4796.41,3363.71,5356.42,4503.8,2799.91,4188.41,3893.72,3563.03,3326.34,4895.42,4139.15,4309.2,4434.27,3502.13,3697.49,3779.75,4410.07,4569.64,4172.57,4115.43,4153.21,4741.04,4539.64,3675.4,3702.37,4642.8,3707.64,4346.71,4092.08,4007.79,4312.68,4089.31,3854.57,4021.6,3752.93,3862.13,3518.79,4513.29,4199.69,3940.06,3539.22,3999.96,4551.26,3840.19,3542.24,4048.68,3925.33,4352.52,3411.15,4826.72,3836.77,4268.79,4762.25,4719.75,3683.06,4219.7,4069.63
15,5327.66,4481.24,3833.57,3912.95,5100.36,4290.89,3661.78,3976.93,4950.2,4161.45,4111.88,4337.76,3895.26,3980.48,4329.4,4516.28,4069.43,3721.15,4691.93,4169.18,3729.53,4951.48,4508.5,4136.82,4644.24,4245.6,4643.62,5186.51,5102.76,4224.83,3340.45,2257.09,4340.36,5159.8,3911.8,5642.08,4498.96,2955.82,3907.27,4214.19,3727.29,3463.71,5351.36,4343.25,4702.92,5012.99,3640.16,4281.61,4057.77,4828.84,4923.51,4442.98,4181.89,4610.16,5192.59,4872.55,4040.88,3999.35,4999.46,4032.13,4742.81,4226.08,4481.76,4651.93,4418.9,4252.88,4368.56,4321.68,4217.59,3676.94,4950.17,4517.64,4133.54,3618.46,4324.76,4865.65,4053.21,3986.78,4414.67,4138.41,4673.66,3872.51,5301.19,4119.13,4576.75,5161.47,4939.16,3910.09,4640.94,4340.02
16,5326.4,4746.68,4031.09,4103.96,5114.91,4446.7,3804.46,4486.04,5404.07,4367.46,4485.65,4613.2,4062.46,4287.79,4503.78,4903.64,4208.83,4137.4,5320.91,4175.82,4134.74,5440.43,4568.09,4405.77,5085.05,4559.1,5094.25,5634.83,5460.83,4233.69,3273.05,2234.21,5945.16,4890.42,4516.86,5608.79,4567.41,3266.12,4339.14,3881.34,3925.6,3793.38,5856.81,4705.94,5170.37,5301.99,3849.03,4784.19,4311.47,5288.54,5217.37,4725.96,4487.69,5086.18,5450.04,4989.21,4481.1,4412.01,5354.01,4267.19,5067.78,4166.28,4851.09,4973.72,4761.8,4289.26,4725.45,4700.56,4636.52,3498.95,5154.41,4742.55,4282.77,3775.55,4893.37,5107.91,4317.78,4481.31,4588.11,4620.59,4855.77,4157.36,5808.14,4369.76,4970.37,5449.92,5210.11,4080.94,5104.15,4778.71
17,6161.81,4995.1,4072.22,4390.52,5456.54,4785.5,3953.4,4775.32,5785.91,4425.57,4861.48,4894.96,4127.46,4547.79,4840.31,5238.13,4586.62,4434.97,5759.27,4384.08,4070.99,5675.73,4670.46,4779.43,5466.07,5071.39,5446.8,5628.35,5848.45,4057.75,3439.76,2187.16,7293.85,5239.66,4977.1,6138.81,4669.04,3629.67,4700.36,3809.16,4357.79,4285.51,6251.19,5221.99,5550.41,5544.96,4271.31,5276.21,4349.53,5669.57,5416.39,5148.53,4602.17,5412.72,6061.67,5237.41,4835.26,4801.04,5581.96,4709.14,5272.23,3924.16,5124.09,5217.37,4797.87,4525.75,4937.95,5108.09,4655.49,3750.48,5330.03,5030.22,4454.47,4055.72,5303.85,5417.97,4620.66,4774.76,4966.5,5215.89,5161.13,4186.96,6175.91,4546.12,5363.05,5890.28,5717.72,4602.65,5547.83,5200.05
18,6013.57,5392.35,4152.33,4863.81,5914.99,4934.02,4394.22,5243.55,6155.19,4470.73,5122.56,5183.26,4469.49,4566.24,5105.42,5448.35,4742.84,4765.81,6245.68,4664.73,4345.19,6007.63,4792.46,5299.44,5911.49,5580.29,5857.9,5954.29,6671.19,4243.64,3842.85,2595.84,8192.69,5262.74,5531.14,6799.16,5244.04,4683.57,5102.5,4227.37,4881.41,4744.13,6673.15,5648.42,5713.84,5659.2,4835.32,5430.02,4898.13,5535.27,5810.93,5591.19,4956.15,5926.36,6805.61,5814.46,5215.13,5217.77,6090.38,4862.05,5532.64,4299.39,5320.28,5695.93,5065.01,4788.53,5303.2,5372.63,4711.1,4033.0,5566.06,5265.52,4773.35,3829.25,5589.51,5830.82,4944.86,5033.28,5302.18,5748.67,5313.87,4459.04,6483.07,4764.18,5750.8,6041.49,6166.01,4849.66,5972.03,5471.21
19,6382.45,5822.88,4290.79,5318.71,6424.47,5596.86,4328.66,5764.11,6594.31,4867.64,5149.71,5591.82,4879.64,4850.54,5617.69,5779.55,4887.41,5107.14,6101.88,4760.72,4578.19,6533.69,5105.68,5778.41,6282.82,6097.67,6468.66,6438.53,7345.27,4465.04,4002.2,4313.58,8063.0,5331.05,6203.16,7223.41,5583.66,4996.24,5307.38,4607.05,5146.73,5006.65,6621.5,5848.05,6017.74,5825.26,5017.94,5550.53,5373.43,6180.33,6371.67,5903.86,5264.18,6335.56,7046.45,6059.12,5192.74,5701.05,6332.1,5200.02,6016.51,4698.68,5750.97,5885.08,5439.53,4759.84,5667.87,5525.87,4958.85,4434.07,5739.68,5736.15,4953.11,3937.47,5443.19,6058.66,5098.8,5681.51,5841.77,6220.22,5620.11,4757.66,6582.99,5486.9,5901.98,6446.8,6842.04,5023.95,6525.81,5283.64
20,6633.17,6117.26,4462.75,5847.4,6727.91,6057.69,4563.21,5985.05,6886.73,5185.86,5140.37,5906.84,5213.7,5136.2,6121.74,6315.3,4935.48,5375.17,6495.31,5227.89,4987.9,7003.26,5428.99,6011.34,6723.43,6482.69,7137.14,7192.97,7929.45,4742.82,3653.85,5044.96,8284.49,5480.84,6621.73,7593.69,5043.41,5042.89,6182.94,5099.03,5454.44,5354.16,7058.21,6035.13,6728.86,5212.27,5165.75,5772.92,5739.72,6705.96,6839.54,6097.2,5299.66,6777.33,7659.42,6126.35,5251.2,6137.86,6350.45,5313.61,6244.53,4931.14,6186.43,6267.64,5906.05,4860.21,6027.61,5990.35,5253.42,4991.72,6150.37,5925.64,5318.83,3780.31,5656.33,6474.2,5297.8,5966.88,6197.17,6665.06,5395.51,5623.53,7070.79,5829.17,6047.92,6544.37,6889.25,5387.43,6818.82,5305.43
21,6840.45,6197.54,4592.67,6488.94,7108.63,6151.39,4325.66,6348.75,7201.42,5720.86,5457.11,6180.84,5328.11,5422.66,6762.1,6810.13,4952.2,5910.56,7133.69,5525.57,5351.04,7457.66,5637.55,6222.62,7244.37,6621.48,7313.17,7630.21,7348.08,4338.04,3418.53,4607.43,7747.44,5811.58,7088.88,8291.71,4560.9,5916.52,6534.22,5438.5,5520.41,6059.99,7283.25,6477.5,7305.09,5372.03,5591.39,6226.53,6189.42,7295.8,7101.85,6256.4,5755.83,7229.39,7548.21,6326.99,5188.97,6677.97,6624.05,5482.31,6593.77,5045.13,6480.61,6658.02,6321.7,5093.07,6295.6,6421.79,5589.31,5383.74,6292.97,6213.42,5816.68,4137.44,6211.15,6527.58,5437.9,6056.44,6243.27,7156.21,5754.37,6405.57,7379.92,6065.9,6403.68,6800.12,6305.64,5863.56,7101.02,5438.76
22,7278.18,6231.97,4892.01,7137.84,7352.76,6565.86,4344.05,7082.89,7453.38,6001.01,5972.75,6396.72,5474.95,5710.46,7296.15,7266.2,4820.0,6365.58,7211.79,5525.65,5944.22,7372.67,6106.49,6876.97,7770.02,7002.31,7775.41,8449.36,5624.34,4288.11,3754.07,4850.91,8232.55,6267.43,8062.95,8819.32,4426.0,6204.87,6701.33,5861.49,5547.15,6456.24,7229.09,6719.97,7838.84,5632.94,5810.71,6159.19,6576.79,7586.62,7197.22,6755.38,6179.59,7812.61,8360.29,6541.48,5352.9,7170.06,6931.89,5946.91,7182.28,5688.1,6722.06,6984.74,6654.39,5638.68,6368.96,6802.86,5909.38,5657.04,6268.99,6814.98,5663.2,4562.97,6604.49,6764.83,5755.39,5975.89,6484.07,7759.04,6198.28,6965.93,7554.77,6408.73,7092.03,7310.79,5761.81,6002.1,7229.91,5870.19
23,7443.77,6366.01,5414.26,7495.15,7824.58,6788.71,4866.65,7537.91,7833.36,6114.56,6288.43,6446.96,5757.57,5743.51,7602.21,7260.97,4949.99,6534.78,7290.41,5304.18,6457.68,7653.51,6616.18,7555.6,8194.74,7459.89,8254.94,8771.71,6142.64,4269.27,3293.13,4976.23,8690.37,6597.9,8349.67,8955.89,4639.93,6300.12,6826.93,5904.08,5468.9,6787.56,7622.78,7162.33,8264.09,6094.05,6004.82,6411.12,7059.62,7864.51,7725.78,7331.55,6558.93,8473.25,8728.54,6925.51,5632.42,7592.27,7442.34,6375.3,7530.76,6224.4,7150.86,7139.04,6901.81,5942.54,6836.66,7155.44,5861.79,6341.24,6997.51,7240.28,5523.08,4531.76,6785.37,7292.18,6012.41,6356.87,7041.63,7921.32,6535.75,7325.08,7806.56,6623.47,7741.98,7701.73,5943.51,6409.38,7696.52,6412.49
24,7869.36,6965.59,5779.74,7923.47,8360.85,6852.55,5360.54,7827.89,7924.45,6538.5,6565.27,6659.51,6276.79,6121.7,7744.14,7358.77,5551.69,6772.8,7488.52,5828.02,6724.21,8033.68,7114.83,8146.75,8589.29,7677.8,8552.4,9692.21,6501.43,4680.68,3518.0,5461.57,9461.27,6865.74,9080.17,9501.53,5046.55,6466.21,7055.58,6191.57,5862.27,7481.56,8144.74,7649.26,8860.8,6394.92,6194.09,6760.64,7488.47,8743.98,8264.0,7642.57,7004.11,8892.54,8745.61,7031.29,6013.86,8160.2,7565.33,6975.13,7496.62,6734.36,7634.33,7584.71,7282.14,6441.22,7074.89,7099.4,6070.11,6852.89,7555.38,7551.63,5866.87,5193.63,7693.39,7489.11,6044.53,6873.53,7520.04,8156.03,6452.25,7857.49,8167.3,7185.11,8036.63,8465.16,6449.39,6883.94,7756.82,6608.46
25,8240.82,7221.19,5917.38,8582.22,8599.39,6929.77,5459.56,7901.35,7937.79,6958.89,6809.32,6718.74,6667.51,6340.83,7939.58,7243.0,6046.84,7115.47,7163.09,6095.12,7188.55,8700.87,7459.36,8529.65,8913.95,8140.53,8754.36,10048.07,7224.37,5356.24,3789.05,5093.14,10488.11,6954.09,9918.42,10098.54,5225.21,6710.5,7313.83,6098.09,5984.97,8252.87,8399.27,8218.96,9189.15,6953.58,6182.36,6802.61,7957.94,9405.23,8425.47,7856.13,7472.6,9505.85,9106.33,7014.99,6332.52,8328.76,7558.4,7566.35,7919.71,7120.86,8026.2,7936.26,7524.8,6966.05,7037.82,7356.88,6142.79,7422.87,7993.41,7567.0,5990.38,6057.31,8300.23,7580.86,6258.16,7073.13,8136.21,8173.06,6598.69,8304.8,8012.14,7890.29,8783.76,9303.64,6947.57,7394.62,7829.48,7680.17
26,8553.64,7227.96,6199.82,9134.77,8683.9,6525.65,5998.28,8318.74,8446.09,7179.36,7317.39,6892.34,6843.52,6816.11,8221.6,7790.01,6240.5,7657.09,7998.67,6245.22,7780.7,9161.56,7625.31,8612.51,8604.81,8580.26,9546.42,10534.44,7807.22,5763.85,4107.77,5384.97,10248.04,6801.82,10439.04,10397.59,5170.04,7003.95,7577.58,6447.1,5962.49,8868.31,8953.97,8520.45,9211.63,6963.89,6580.2,7182.58,8345.26,9573.12,8764.94,8208.14,7946.45,9738.22,10055.75,7407.5,6766.45,8844.62,7749.5,8107.02,8222.65,7387.86,8472.85,8238.88,7499.4,7431.26,7199.08,7486.2,6546.44,7915.21,8484.53,7736.79,6551.16,6645.99,8643.72,7851.68,6550.21,7519.26,7676.05,8796.63,6685.52,8909.99,8323.48,8126.27,9617.32,9996.95,7455.39,7657.4,8323.38,8196.67
27,9157.65,7223.55,6661.78,9323.25,8864.54,6860.43,6641.48,9010.25,8544.14,7453.29,7859.67,7191.18,6980.31,7655.02,8440.06,7986.81,6500.35,8239.08,8247.79,6586.18,8583.44,9150.56,7759.67,8833.83,8671.64,9109.19,10473.77,10777.2,8620.83,5492.28,3371.35,6291.53,10734.44,7635.83,10759.48,10075.74,5257.36,6391.04,7963.7,6551.17,6021.92,9487.66,9108.32,9049.39,10126.78,7001.11,7413.46,7487.99,8910.35,10036.46,9057.98,8104.97,8585.08,10393.05,10483.71,7884.81,7103.97,9295.87,8151.16,8626.1,8248.09,8043.5,8895.79,8646.34,8032.06,7859.35,8045.32,7937.31,6634.4,8490.35,8869.57,7881.36,6498.31,7023.33,9016.15,8030.15,7153.28,7982.85,7858.89,9188.45,7339.02,9568.93,8641.8,8486.93,10162.79,10184.38,7662.2,8214.51,8615.35,8662.52
28,9439.88,7380.95,6819.32,9155.7,8926.81,6919.03,7320.17,9627.49,8708.09,7926.27,8158.94,7296.57,7333.36,7779.23,8944.29,8028.94,7038.72,9145.42,8032.56,7108.11,9244.61,9026.5,8048.16,9441.42,9049.62,9745.61,11116.76,11250.46,8394.42,5240.54,3235.0,8482.74,9931.03,8561.53,10482.96,9930.72,5616.26,6938.02,7144.62,6718.02,6412.23,10186.56,9589.19,9710.71,10455.39,7177.66,8096.06,7748.9,9542.83,10375.9,9375.47,8463.29,9249.82,10659.63,10454.63,8498.1,7640.21,9739.44,8373.65,9013.29,7912.28,8506.92,9282.58,9075.73,7892.21,8301.26,8532.7,8500.2,6138.02,8668.41,9073.8,7947.33,6590.54,7786.49,9255.7,8310.59,7835.31,8102.05,8541.52,9310.86,7656.81,10277.75,8894.27,9000.67,10488.99,10477.6,7764.12,8838.13,9231.98,8921.54
29,9688.95,7262.57,7134.66,9570.66,9352.32,6994.6,7639.28,10112.31,8588.12,8398.38,8468.62,7227.31,7605.56,8180.71,9349.24,8519.9,7373.77,9718.62,8207.82,6836.93,9475.61,8994.96,8522.98,9933.3,9809.39,10190.57,10873.61,11778.81,7825.48,5367.43,3076.44,10291.2,10379.37,9203.53,11249.42,9867.65,6061.59,7368.92,6822.04,7277.96,7067.53,10688.36,10369.26,10203.13,10694.03,7743.78,8753.09,7631.89,10029.11,10529.55,9961.92,8467.62,9640.29,11604.32,10701.89,8943.9,8130.64,9953.95,8992.56,9188.2,7255.61,8801.02,9524.3,8930.45,8121.69,8491.37,9066.18,8340.1,6395.53,8800.98,9396.96,8059.21,6896.75,8293.96,9616.32,8662.7,8164.58,8578.61,9418.92,9667.63,7515.45,10737.0,9000.34,9507.7,11100.39,11235.41,8520.14,9421.88,9807.74,9228.34
